branch_id,year_month,active_customers,active_accounts,average_deposits,average_loan_balance,transaction_count,transaction_volume,branch_transaction_count,interest_income,interest_expense,net_interest_income,fee_income,total_revenue,personnel_cost,fixed_cost,variable_cost,operational_cost,total_operating_cost,credit_loss,pre_provision_profit,net_income
016,2021-01,106,206,88925157.14,278340767.91,2078,53879031.88,218,2979663.42,34277.02,2945386.4,69918.17,3015304.57,495599.22,186872.59,81329.42,139810.9,903612.14,510838.77,2111692.43,1600853.66
017,2021-01,174,350,201333021.36,654350882.83,3111,151209553.3,1301,6917918.04,75960.45,6841957.59,379937.55,7221895.14,2406776.35,785685.47,695125.59,490332.31,4377919.71,805137.57,2843975.43,2038837.85
018,2021-01,156,299,411741913.69,439461979.64,2887,204210961.79,451,4904289.38,483755.7,4420533.68,224220.1,4644753.78,467627.19,204437.88,108854.2,140028.36,920947.64,538386.15,3723806.14,3185420.0
019,2021-01,190,373,317547872.96,438787050.03,3234,197979523.65,1014,5140167.6,479685.54,4660482.06,343752.5,5004234.56,997114.59,488960.67,318567.53,272859.41,2077502.19,452883.23,2926732.36,2473849.13
020,2021-01,114,223,90718964.9,318733176.97,2281,108853664.19,609,3373657.07,37289.22,3336367.85,184584.49,3520952.34,1269383.21,473377.93,259700.92,300317.77,2302779.83,511106.29,1218172.51,707066.22
021,2021-01,84,170,317194276.76,218564488.21,1673,356640905.03,328,2296194.54,72034.35,2224160.19,96997.41,2321157.6,1324693.68,464735.57,195669.82,336941.9,2322040.97,299989.95,-883.37,-300873.31
022,2021-01,115,214,309326361.81,268772642.24,2148,137257571.56,450,2609605.34,181789.82,2427815.52,123528.43,2551343.95,1368766.9,447017.99,250048.31,382384.1,2448217.3,403953.84,103126.66,-300827.19
023,2021-01,109,208,98544149.57,357585301.7,1783,53847210.88,562,3945008.92,68418.57,3876590.35,139513.35,4016103.7,978851.29,417362.48,194125.72,316070.51,1906409.99,374170.94,2109693.71,1735522.77
024,2021-01,93,172,199889785.42,171080798.94,1632,35597588.36,427,1816006.59,748296.08,1067710.52,89357.69,1157068.21,1237695.28,433838.51,188642.29,313048.3,2173224.38,202096.12,-1016156.17,-1218252.29
025,2021-01,150,268,326555193.8,302060733.84,2432,107866695.94,765,3415101.5,236073.63,3179027.87,197248.88,3376276.75,509759.9,241795.79,131670.12,148806.22,1032032.03,312813.51,2344244.72,2031431.21
026,2021-01,146,240,335643096.62,381390867.25,2454,358619752.91,777,4773952.9,121957.2,4651995.71,193649.61,4845645.32,463120.15,246240.66,119576.5,121031.81,949969.11,290601.32,3895676.21,3605074.89
027,2021-01,90,163,100721271.05,289823593.34,1705,53481155.06,426,3173765.71,96343.57,3077422.14,105782.33,3183204.47,1220193.66,390827.14,184719.93,290294.28,2086035.0,352580.81,1097169.47,744588.66
028,2021-01,68,128,131623652.54,224533650.26,1082,124489082.55,326,2395643.09,31823.77,2363819.32,86948.28,2450767.6,482226.67,213709.53,60988.87,132855.04,889780.11,381135.09,1560987.49,1179852.4
029,2021-01,62,106,130710031.58,129248631.6,827,27628449.94,364,1550453.38,53869.31,1496584.07,36460.77,1533044.84,1277529.54,433463.03,135347.88,279304.3,2125644.75,135442.99,-592599.91,-728042.9
030,2021-01,54,92,75872357.76,167509575.26,1034,51320874.28,354,1741865.96,84672.8,1657193.16,57327.77,1714520.93,1346204.54,476880.33,157445.89,347246.11,2327776.88,309436.19,-613255.94,-922692.14
031,2021-01,54,112,88098489.25,90069945.92,961,49565695.94,324,910689.42,45734.42,864955.0,48410.68,913365.68,1234081.0,409144.39,129876.33,254124.94,2027226.66,149055.59,-1113860.98,-1262916.57
032,2021-01,52,82,39906649.86,166463158.15,737,22499086.6,389,1894691.88,40673.24,1854018.64,57147.52,1911166.16,1318348.66,416504.26,134005.72,337114.34,2205972.98,147087.14,-294806.82,-441893.96
033,2021-01,47,76,142901417.69,100695695.72,813,32816045.61,326,1145198.6,414503.77,730694.83,24837.5,755532.33,926572.85,346825.05,93297.41,216292.09,1582987.41,82415.97,-827455.08,-909871.05
034,2021-01,39,61,37081414.68,128435117.88,588,51973265.32,372,1315569.56,9417.72,1306151.84,41501.45,1347653.3,1269531.61,362815.53,110478.54,295088.61,2037914.29,111160.61,-690260.99,-801421.6
035,2021-01,19,44,34492965.85,70286856.92,375,50271833.19,312,777602.87,18957.68,758645.19,16132.64,774777.84,1219572.93,420321.57,90211.91,301874.54,2031980.95,65638.77,-1257203.12,-1322841.89
036,2021-01,19,35,14651138.04,43973370.49,244,3781226.02,155,475830.68,25957.89,449872.79,14124.65,463997.44,620461.41,253036.89,31759.4,166852.1,1072109.79,51752.36,-608112.36,-659864.72
037,2021-01,40,75,51722815.49,68574492.15,598,28235536.42,604,825907.9,10336.73,815571.17,54929.35,870500.53,497161.13,224207.59,66254.0,150202.19,937824.91,25397.61,-67324.39,-92722.0
001,2021-02,173,334,380246022.65,449880722.25,3212,104226533.3,725,4131579.13,137191.62,3994387.5,195419.25,4189806.76,2457171.25,686510.01,627477.49,710111.98,4481270.73,1392000.15,-291463.97,-1683464.12
002,2021-02,159,289,188052939.3,255448662.15,2631,133254378.77,265,2891293.92,181842.11,2709451.81,126282.71,2835734.52,478598.48,198296.76,93732.51,112138.05,882765.8,476284.65,1952968.72,1476684.07
003,2021-02,144,273,139317616.62,300519761.01,2561,108521531.62,436,3224014.34,68092.59,3155921.75,136936.04,3292857.79,1288132.95,381311.96,247640.19,293021.01,2210106.1,2159588.58,1082751.69,-1076836.9
004,2021-02,150,282,295806656.4,258597403.02,2818,526001640.69,255,2679194.04,243952.03,2435242.01,139281.33,2574523.34,494521.31,208431.81,101607.57,117173.15,921733.83,903216.25,1652789.51,749573.26
005,2021-02,142,298,165646755.1,405538702.51,2721,95118214.2,743,3992067.34,153036.07,3839031.27,148255.83,3987287.1,2323129.57,658386.85,521100.92,507329.89,4009947.23,2415611.1,-22660.13,-2438271.23
006,2021-02,142,262,198770974.33,236391323.99,2412,160192960.87,204,2663415.83,157943.24,2505472.59,99882.86,2605355.45,522278.92,171666.95,87507.74,111443.54,892897.14,705982.14,1712458.3,1006476.17
007,2021-02,130,256,189848417.01,291201953.56,2395,90607811.71,232,3028489.58,271621.84,2756867.74,82575.4,2839443.15,465998.15,186796.45,82296.96,110355.64,845447.2,2376904.02,1993995.94,-382908.08
008,2021-02,145,258,237707012.78,315352692.21,2261,102946734.26,448,3254015.33,187432.91,3066582.42,130060.36,3196642.78,1380079.73,408881.61,264121.18,390847.42,2443929.94,-513625.12,752712.83,1266337.95
009,2021-02,127,262,545456577.42,313367386.24,2241,91054013.44,243,3149616.01,1514965.95,1634650.06,99152.34,1733802.4,499095.29,192634.23,84646.8,125813.83,902190.16,690218.14,831612.25,141394.11
010,2021-02,115,233,280881355.53,328777632.98,1935,40295070.61,297,3626351.91,973341.93,2653009.97,101331.18,2754341.15,461309.3,200482.41,75202.0,107333.48,844327.19,1289565.58,1910013.97,620448.39
011,2021-02,124,233,186531824.62,214555827.19,2185,79321476.2,257,2453836.27,229843.7,2223992.57,103205.46,2327198.03,491365.32,222805.43,94845.29,173103.62,982119.67,127389.03,1345078.37,1217689.34
012,2021-02,104,213,359610942.09,282186337.75,1688,270728564.83,404,2909421.12,77672.2,2831748.91,107173.16,2938922.07,1176464.24,407610.78,184869.46,249095.58,2018040.06,201993.43,920882.02,718888.59
013,2021-02,141,263,175010961.9,388512814.65,2746,215320280.56,686,4124557.32,93176.8,4031380.52,134093.62,4165474.15,2346864.57,808810.77,538479.21,492565.98,4186720.52,1138232.93,-21246.37,-1159479.3
014,2021-02,134,237,101760342.13,281133275.56,2167,55501200.4,264,2941009.96,46358.29,2894651.67,89173.25,2983824.92,490529.25,179856.16,82767.76,123293.61,876446.77,267311.52,2107378.15,1840066.63
015,2021-02,142,269,325636317.05,369092185.18,2388,145375947.06,479,4045090.17,451293.79,3593796.39,123941.35,3717737.74,988801.89,521582.24,228331.42,289584.29,2028299.84,-88675.45,1689437.89,1778113.34
016,2021-02,110,207,97634402.25,276189700.82,2130,141057642.94,226,2919381.24,35046.57,2884334.66,71959.8,2956294.47,499316.22,188274.14,83431.39,140859.48,911881.23,569153.58,2044413.23,1475259.66
017,2021-02,178,357,197479257.89,649940865.97,3835,536912457.84,1305,6852649.97,76651.28,6775998.69,445933.99,7221932.68,2424827.17,791578.11,754728.89,494009.8,4465143.97,1182904.83,2756788.71,1573883.88
018,2021-02,159,300,390571721.64,434842968.95,3082,345611360.62,415,4577516.93,485587.89,4091929.04,237079.44,4329008.48,471134.4,205971.17,111424.11,141078.58,929608.25,3178743.61,3399400.23,220656.62
019,2021-02,198,375,312025056.01,441979967.08,3513,173908876.74,1140,4854195.68,482010.13,4372185.55,341039.72,4713225.28,1004592.95,492627.87,343508.91,274905.85,2115635.59,4113082.74,2597589.69,-1515493.05
020,2021-02,118,227,123969891.63,332011950.78,2631,93560205.42,615,3501935.7,43206.16,3458729.54,189667.68,3648397.22,1278903.59,476928.27,278911.57,302570.15,2337313.57,416854.49,1311083.65,894229.16
021,2021-02,81,171,270002881.74,228632042.38,1703,170249552.74,405,2369054.14,70640.89,2298413.25,85975.48,2384388.74,1334628.88,468221.09,209525.84,339468.96,2351844.77,705970.05,32543.96,-673426.09
022,2021-02,118,217,323406461.59,274174282.74,2126,122493201.1,476,2577953.39,184018.73,2393934.65,97627.09,2491561.74,1379032.65,450370.63,255212.44,385251.98,2469867.7,1115917.7,21694.04,-1094223.66
023,2021-02,104,209,145360600.69,365599569.23,2071,140606067.93,559,3889381.37,73849.43,3815531.94,143007.15,3958539.1,986192.67,420492.7,206775.66,318441.04,1931902.06,1915098.62,2026637.03,111538.41
024,2021-02,90,172,209890207.03,180749404.34,1724,57773370.48,449,1859637.13,752862.87,1106774.26,94859.35,1201633.61,1246977.99,437092.3,197123.74,315396.16,2196590.2,381238.07,-994956.58,-1376194.65
025,2021-02,149,269,333546869.46,304762483.14,2487,79501451.17,735,3351426.21,237966.47,3113459.74,200103.09,3313562.83,513583.1,243609.26,132184.46,149922.27,1039299.08,1659887.73,2274263.75,614376.02
026,2021-02,152,244,338201811.8,399340117.36,2666,312805467.66,785,4814572.63,122949.12,4691623.51,186155.29,4877778.8,466593.55,248087.46,124908.39,121939.55,961528.95,2121250.88,3916249.85,1794998.96
027,2021-02,91,166,105233399.52,290163554.92,1596,45899858.35,475,3127899.45,97302.93,3030596.53,108903.35,3139499.88,1229345.11,393758.34,187561.45,292471.48,2103136.39,841356.13,1036363.49,195007.36
028,2021-02,71,132,127991939.79,234481243.73,1202,37492264.26,358,2285050.41,31647.41,2253402.99,72339.82,2325742.82,485843.37,215312.35,65988.48,133851.45,900995.65,2590112.57,1424747.16,-1165365.41
029,2021-02,60,106,139103808.13,128542712.13,878,17410143.22,317,1499310.39,55148.0,1444162.38,35305.66,1479468.04,1287111.01,436714.0,132508.81,281399.08,2137732.91,583411.88,-658264.86,-1241676.75
030,2021-02,52,93,86936997.71,173331812.55,799,39058902.43,391,1730457.73,87319.98,1643137.75,57790.85,1700928.59,1356301.08,480456.94,151364.84,349850.46,2337973.31,992341.07,-637044.72,-1629385.79
031,2021-02,57,116,104870627.03,89968911.0,1090,73032277.26,382,886230.88,48220.59,838010.29,42787.36,880797.66,1243336.61,412212.97,144990.78,256030.87,2056571.23,369433.03,-1175773.57,-1545206.6
032,2021-02,51,83,46528700.44,177524375.53,845,25839291.97,415,1966327.5,41841.27,1924486.23,60565.48,1985051.71,1328236.27,419628.04,144534.28,339642.7,2232041.29,441662.62,-246989.59,-688652.21
033,2021-02,48,78,146694158.56,101347778.99,844,25393090.57,312,1126578.91,416808.65,709770.26,23032.05,732802.3,933522.15,349426.24,94052.33,217914.28,1594915.01,474313.58,-862112.7,-1336426.28
034,2021-02,40,64,38781903.95,143123304.24,661,48628775.4,378,1494237.23,9875.31,1484361.92,42441.62,1526803.54,1279053.1,365536.65,116322.83,297301.77,2058214.35,-111597.54,-531410.81,-419813.27
035,2021-02,23,47,57918982.45,69348832.86,494,88399840.52,375,726955.12,21707.03,705248.09,22809.36,728057.45,1228719.73,423473.98,106335.05,304138.6,2062667.36,663669.13,-1334609.91,-1998279.04
036,2021-02,17,35,16003048.87,46764413.64,318,7779812.42,185,521529.66,26242.86,495286.8,16696.28,511983.08,625114.87,254934.66,37129.47,168103.49,1085282.49,-146165.62,-573299.41,-427133.79
037,2021-02,42,78,45398116.92,71618508.09,761,51044299.53,716,865126.09,9831.39,855294.7,63799.78,919094.49,500889.84,225889.15,76973.47,151328.71,955081.16,108195.48,-35986.68,-144182.16
001,2021-03,178,338,405473839.69,493987259.28,3170,99290896.98,680,4449280.25,140503.06,4308777.19,195367.11,4504144.29,2475462.85,691620.5,620620.65,715398.17,4503102.18,563090.56,1042.12,-562048.44
002,2021-03,164,288,213831433.22,254429418.61,2387,90101723.72,238,2728783.1,184897.61,2543885.5,123615.27,2667500.76,482161.25,199772.92,88660.65,112972.82,883567.63,1755377.97,1783933.13,28555.16
003,2021-03,145,271,162454555.34,306618240.09,2716,124076044.39,388,3076065.87,68259.03,3007806.84,136644.94,3144451.78,1297722.03,384150.51,250472.8,295202.31,2227547.64,1919394.4,916904.14,-1002490.26
004,2021-03,142,282,391306916.14,285121301.71,2805,211554760.21,219,3090968.97,255685.08,2835283.9,114869.17,2950153.07,498202.61,209983.41,100348.83,118045.4,926580.26,-837644.22,2023572.81,2861217.03
005,2021-03,147,300,174342419.15,411695169.03,2613,121153381.15,656,4004825.34,155652.7,3849172.65,147299.47,3996472.12,2340423.33,663287.99,500430.87,511106.54,4015248.73,1465352.01,-18776.61,-1484128.62
006,2021-03,140,265,231276729.72,227978108.45,2539,171503912.87,265,2541540.14,137092.55,2404447.59,106305.95,2510753.54,526166.85,172944.87,93762.4,112273.14,905147.26,14191.51,1605606.28,1591414.77
007,2021-03,138,257,195567770.84,293645017.97,2403,133295989.45,234,2644238.91,273296.59,2370942.33,94737.77,2465680.1,469467.12,188186.99,83240.15,111177.15,852071.41,2905740.84,1613608.69,-1292132.15
008,2021-03,135,258,235302243.75,312482073.98,2506,188415082.78,468,3267340.96,188051.62,3079289.34,143324.5,3222613.84,1390353.27,411925.4,280791.22,393756.96,2476826.84,-609684.88,745787.0,1355471.88
009,2021-03,129,261,548361966.55,312040445.69,2384,108712641.68,283,2999245.42,1521804.51,1477440.92,109938.19,1587379.11,502810.64,194068.23,89836.28,126750.41,913465.57,2077714.85,673913.54,-1403801.31
010,2021-03,116,233,283186865.57,328447615.61,2131,48681582.15,257,3585930.07,977879.72,2608050.36,103625.86,2711676.21,464743.36,201974.84,77343.85,108132.49,852194.54,441970.04,1859481.67,1417511.64
011,2021-03,127,232,198416420.18,227839872.99,2304,103359058.46,252,2496293.35,232278.31,2264015.04,103765.9,2367780.94,495023.13,224464.03,97787.29,174392.23,991666.69,770363.62,1376114.25,605750.64
012,2021-03,101,213,242030770.58,283520868.88,1586,221098446.89,389,2709686.52,65603.23,2644083.29,107523.68,2751606.96,1185222.04,410645.1,180335.24,250949.89,2027152.27,1567872.0,724454.7,-843417.3
013,2021-03,138,261,154484854.94,384831511.79,2525,106198582.23,665,3886079.59,55549.87,3830529.72,132441.33,3962971.05,2364335.02,814831.69,519890.76,496232.72,4195290.2,2763980.56,-232319.15,-2996299.71
014,2021-03,132,239,113634298.4,286384603.76,2283,69268506.75,271,2808129.19,48699.35,2759429.84,97019.72,2856449.56,494180.83,181195.04,85996.47,124211.42,885583.76,2488603.77,1970865.8,-517737.97
015,2021-03,138,269,319878231.65,374721515.89,2531,265412116.9,488,4008132.07,453208.36,3554923.71,150517.73,3705441.45,996162.7,525464.99,236853.33,291740.0,2050221.02,1201994.39,1655220.42,453226.03
016,2021-03,107,208,99902646.43,275493567.54,2185,67783247.08,195,2691726.65,35133.74,2656592.91,73117.29,2729710.2,503033.21,189675.68,83508.31,141908.07,918125.27,1971240.72,1811584.93,-159655.79
017,2021-03,181,356,205231677.04,641620070.79,3330,314185077.0,1265,6628072.26,79146.12,6548926.13,418645.69,6967571.82,2442877.99,797470.75,716132.28,497687.3,4454168.32,2024129.21,2513403.51,489274.3
018,2021-03,156,302,370048522.37,466223867.77,3409,516103045.61,428,4532062.88,487266.32,4044796.56,257087.1,4301883.66,474641.6,207504.45,118623.43,142128.79,942898.27,4340461.76,3358985.39,-981476.37
019,2021-03,202,379,342245765.87,470232942.58,3660,221577645.46,1093,4867409.21,487621.86,4379787.35,350951.43,4730738.78,1012071.31,496295.08,347056.06,276952.3,2132374.75,4028705.61,2598364.04,-1430341.58
020,2021-03,123,228,140381517.2,340053974.5,2414,76490720.09,565,3555767.11,45647.63,3510119.48,185989.98,3696109.46,1288423.96,480478.6,265110.4,304822.53,2338835.5,643709.45,1357273.96,713564.51
021,2021-03,83,172,259134691.74,235338551.02,1664,345315361.88,385,2242925.41,72129.63,2170795.78,91409.01,2262204.79,1344564.08,471706.61,206552.69,341996.02,2364819.41,2616306.07,-102614.62,-2718920.69
022,2021-03,127,220,335732268.48,277836709.9,2252,166990524.61,431,2521999.65,186724.9,2335274.74,120883.9,2456158.64,1389298.4,453723.26,257885.92,388119.86,2489027.45,1805940.76,-32868.81,-1838809.57
023,2021-03,108,210,204035966.99,360038085.6,1998,44159336.2,585,3655939.27,80669.23,3575270.04,147439.43,3722709.47,993534.05,423622.91,208430.31,320811.56,1946398.84,1508533.77,1776310.63,267776.86
024,2021-03,93,173,221652486.56,178916268.84,1586,34286289.08,457,1755801.18,757559.4,998241.78,91965.0,1090206.78,1256260.71,440346.09,193492.75,317744.03,2207843.58,1039914.63,-1117636.8,-2157551.43
025,2021-03,148,268,333425586.33,301340718.74,2640,163605424.02,791,3377209.07,239046.01,3138163.07,212767.48,3350930.55,517406.3,245422.73,139180.5,151038.32,1053047.84,-857095.2,2297882.71,3154977.91
026,2021-03,148,247,325504377.33,395572896.34,2700,355614390.59,746,4531561.58,122642.69,4408918.89,196302.08,4605220.96,470066.95,249934.26,124564.54,122847.29,967413.04,2851166.14,3637807.92,786641.77
027,2021-03,103,170,114965867.24,300403834.74,1612,54197956.62,465,3020096.48,98889.44,2921207.04,106171.32,3027378.36,1238496.57,396689.55,189071.65,294648.69,2118906.45,3627488.33,908471.91,-2719016.42
028,2021-03,69,137,146329911.06,243198947.19,1048,49636187.44,373,2319349.6,34401.09,2284948.51,71061.7,2356010.21,489460.07,216915.17,64574.01,134847.87,905797.12,869319.02,1450213.09,580894.07
029,2021-03,60,108,138729593.57,133779280.54,1049,25638918.13,340,1491281.54,55290.17,1435991.38,36213.57,1472204.95,1296692.48,439964.98,145882.64,283493.86,2166033.97,935043.04,-693829.02,-1628872.06
030,2021-03,54,93,92669496.38,175023655.27,827,27123737.16,387,1648220.37,88748.82,1559471.55,52342.25,1611813.8,1366397.61,484033.54,153789.52,352454.81,2356675.48,1409833.03,-744861.68,-2154694.71
031,2021-03,60,115,117715047.48,93067975.07,1113,42608679.56,361,925411.38,50220.43,875190.95,47142.54,922333.49,1252592.22,415281.55,144335.6,257936.81,2070146.18,-147.18,-1147812.69,-1147665.51
032,2021-03,53,90,48459015.19,187280781.06,774,21123287.12,437,2081297.33,42381.27,2038916.07,60224.94,2099141.01,1338123.89,422751.82,146214.03,342171.06,2249260.79,25188.46,-150119.79,-175308.25
033,2021-03,48,80,152040746.15,109097410.7,801,24535905.08,348,1156794.26,419215.25,737579.02,26729.21,764308.23,940471.45,352027.43,97078.05,219536.47,1609113.4,811551.96,-844805.17,-1656357.13
034,2021-03,41,66,37384122.81,142380673.79,668,59595536.19,398,1466373.11,10445.43,1455927.69,45161.57,1501089.26,1288574.59,368257.76,120537.03,299514.94,2076884.31,330678.45,-575795.05,-906473.51
035,2021-03,24,49,80469733.4,70108422.17,605,44293436.33,328,755766.98,24118.14,731648.84,20967.79,752616.63,1237866.53,426626.39,106721.81,306402.66,2077617.39,-462000.77,-1325000.76,-862999.99
036,2021-03,20,37,17490275.34,47033569.55,372,9201796.45,191,432534.86,26560.33,405974.53,18413.87,424388.4,629768.33,256832.44,39914.79,169354.88,1095870.45,1241395.02,-671482.05,-1912877.07
037,2021-03,48,84,50927477.92,74050382.8,802,70798912.81,685,881462.05,10424.04,871038.01,53891.33,924929.34,504618.55,227570.71,77006.08,152455.23,961650.55,225183.75,-36721.21,-261904.96
001,2021-04,177,339,417569748.68,485447357.0,3161,84072758.6,689,4028340.61,142651.26,3885689.35,198428.36,4084117.72,2493754.45,696731.0,626674.25,720684.37,4537844.07,3663393.64,-453726.35,-4117119.99
002,2021-04,161,288,215549548.21,252667455.17,2383,66865602.61,244,2551576.47,186221.59,2365354.88,127502.23,2492857.11,485724.02,201249.07,89539.57,113807.6,890320.26,1457182.86,1602536.85,145353.99
003,2021-04,147,271,191680566.46,304398926.12,2602,98092819.26,425,2896919.43,72100.04,2824819.39,142048.2,2966867.59,1307311.11,386989.06,251715.3,297383.6,2243399.07,1254168.09,723468.53,-530699.56
004,2021-04,142,283,400386095.98,288863837.38,2597,217562343.91,224,2890207.84,257912.2,2632295.64,111445.21,2743740.85,501883.91,211535.01,97442.15,118917.66,929778.74,3437104.44,1813962.11,-1623142.32
005,2021-04,156,302,182329047.22,414353458.41,2603,64337987.77,613,4000143.57,157269.54,3842874.03,142754.23,3985628.26,2357717.1,668189.13,495204.15,514883.19,4035993.58,63248.29,-50365.32,-113613.61
006,2021-04,138,264,238771411.52,225397932.34,2365,119281283.01,208,2365518.53,139145.19,2226373.34,95378.35,2321751.69,530054.78,174222.78,88200.39,113102.75,905580.7,2182538.68,1416170.98,-766367.7
007,2021-04,136,255,181387266.93,292428546.94,2462,111705592.81,233,2251549.92,270905.9,1980644.02,94002.99,2074647.0,472936.09,189577.53,84693.96,111998.66,859206.24,5076889.98,1215440.77,-3861449.21
008,2021-04,133,259,228378305.31,305517844.71,2415,212824412.11,439,3082654.5,187973.86,2894680.64,136243.28,3030923.92,1400626.82,414969.18,274709.44,396666.49,2486971.93,1207250.03,543951.99,-663298.04
009,2021-04,138,260,568521066.1,311097696.43,2333,264799761.72,229,2744716.83,1531597.99,1213118.85,119127.41,1332246.26,506525.99,195502.24,86785.94,127686.99,916501.16,3871957.33,415745.1,-3456212.23
010,2021-04,118,232,296276194.46,321419227.39,1869,59580390.26,254,3520314.61,983921.25,2536393.35,103619.44,2640012.79,468177.43,203467.26,73104.39,108931.5,853680.57,-706277.32,1786332.22,2492609.53
011,2021-04,130,232,208396642.31,228350371.46,2039,95513893.01,240,2404707.41,234188.48,2170518.93,104341.11,2274860.04,498680.93,226122.63,92209.64,175680.85,992694.05,783477.31,1282165.99,498688.67
012,2021-04,100,211,237285070.36,279241017.22,1750,30688911.89,454,2709352.48,63564.48,2645787.99,103138.13,2748926.12,1193979.84,413679.43,195801.69,252804.2,2056265.16,-518395.41,692660.96,1211056.37
013,2021-04,137,261,149000140.24,415941836.4,2699,147094735.32,708,4107671.57,53880.41,4053791.16,140029.53,4193820.7,2381805.48,820852.61,547656.59,499899.47,4250214.15,879302.78,-56393.46,-935696.24
014,2021-04,126,238,121670103.31,284004359.07,2271,61296152.42,282,2787499.89,50272.43,2737227.46,94921.91,2832149.37,497832.41,182533.92,86853.94,125129.24,892349.5,-91311.22,1939799.87,2031111.09
015,2021-04,151,272,310595172.15,374059440.1,2330,215202491.65,454,3611655.47,453955.51,3157699.96,128551.32,3286251.28,1003523.51,529347.74,227098.17,293895.72,2053865.13,5116577.37,1232386.15,-3884191.23
016,2021-04,109,208,102352550.34,292566938.53,2487,97403410.85,247,2510976.99,35532.37,2475444.62,80830.3,2556274.92,506750.21,191077.23,92924.18,142956.65,933708.26,3427610.72,1622566.66,-1805044.06
017,2021-04,181,360,236553260.17,664315131.87,3669,201368303.02,1289,6597668.87,83033.96,6514634.92,413284.04,6927918.96,2460928.82,803363.39,751399.6,501364.79,4517056.59,3340360.52,2410862.37,-929498.15
018,2021-04,159,303,371152996.67,462628900.53,3208,313560341.48,442,4576624.14,489746.33,4086877.81,233805.61,4320683.42,478148.8,209037.74,116736.63,143179.0,947102.17,-875550.49,3373581.24,4249131.73
019,2021-04,208,384,365465360.31,478078915.63,3646,191518707.72,1090,4640690.78,498742.55,4141948.23,368463.17,4510411.41,1019549.67,499962.28,349569.88,278998.74,2148080.58,3268290.02,2362330.83,-905959.19
