transaction_id,account_id,transaction_datetime,transaction_type,direction,channel,amount,counterparty_type,transfer_scope,counterparty_bank_id,transaction_branch_id,transaction_status,merchant_category,failure_reason
T0000000024,A0003065,2021-01-01 10:55:28,TRANSFER_IN,CREDIT,BRANCH,131.65,BTYT_CUSTOMER,INTERNAL,B000,027,COMPLETED,,
T0000000025,A0007739,2021-01-01 10:55:28,TRANSFER_OUT,DEBIT,BRANCH,131.65,BTYT_CUSTOMER,INTERNAL,B000,027,COMPLETED,,
T0000000026,A0000819,2021-01-01 11:04:13,CASH_DEPOSIT,CREDIT,BRANCH,820.92,OTHER,,,015,COMPLETED,,
T0000000027,A0005177,2021-01-01 11:13:19,TRANSFER_IN,CREDIT,MOBILE,4305.68,EMPLOYER,,,,COMPLETED,,
T0000000028,A0002629,2021-01-01 11:13:49,SERVICE_PAYMENT,DEBIT,MOBILE,2713.66,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000029,A0012171,2021-01-01 11:17:28,CASH_DEPOSIT,CREDIT,BRANCH,6422.24,OTHER,,,002,COMPLETED,,
T0000000030,A0010259,2021-01-01 11:20:34,CASH_WITHDRAWAL,DEBIT,BRANCH,4043.38,OTHER,,,027,COMPLETED,,
T0000000031,A0005790,2021-01-01 11:21:56,TRANSFER_IN,CREDIT,BRANCH,8009.31,OTHER,,,018,COMPLETED,,
T0000000032,A0007072,2021-01-01 11:29:16,CASH_DEPOSIT,CREDIT,BRANCH,1452.46,OTHER,,,017,COMPLETED,,
T0000000033,A0008331,2021-01-01 11:32:48,TRANSFER_IN,CREDIT,MOBILE,18887.0,EMPLOYER,,,,COMPLETED,,
T0000000034,A0000819,2021-01-01 11:34:38,TRANSFER_IN,CREDIT,MOBILE,12178.09,OTHER_BANK,DOMESTIC_EXTERNAL,B009,,COMPLETED,,
T0000000035,A0012171,2021-01-01 11:35:44,TRANSFER_IN,CREDIT,BRANCH,19321.44,EMPLOYER,,,002,COMPLETED,,
T0000000036,A0010381,2021-01-01 11:38:07,TRANSFER_IN,CREDIT,BRANCH,9533.93,OTHER_BANK,DOMESTIC_EXTERNAL,B004,005,COMPLETED,,
T0000000037,A0001887,2021-01-01 11:42:28,CASH_DEPOSIT,CREDIT,BRANCH,126.44,OTHER,,,002,COMPLETED,,
T0000000038,A0007072,2021-01-01 11:51:42,CASH_DEPOSIT,CREDIT,BRANCH,1328.27,OTHER,,,017,COMPLETED,,
T0000000039,A0006611,2021-01-01 12:02:05,DEBIT_PURCHASE,DEBIT,POS,806.28,MERCHANT,,,,COMPLETED,RESTAURANTS,
T0000000040,A0002627,2021-01-01 12:08:39,CASH_WITHDRAWAL,DEBIT,BRANCH,4446.53,OTHER,,,024,COMPLETED,,
T0000000041,A0002481,2021-01-01 12:08:48,TRANSFER_OUT,DEBIT,BRANCH,7771.22,SUPPLIER,,,035,COMPLETED,,
T0000000042,A0002676,2021-01-01 12:23:21,CASH_WITHDRAWAL,DEBIT,BRANCH,229.57,OTHER,,,031,COMPLETED,,
T0000000043,A0001487,2021-01-01 12:49:52,CASH_DEPOSIT,CREDIT,BRANCH,11102.45,OTHER,,,018,COMPLETED,,
T0000000044,A0003106,2021-01-01 12:53:28,TRANSFER_IN,CREDIT,BRANCH,1223.64,EMPLOYER,,,029,COMPLETED,,
T0000000045,A0000819,2021-01-01 13:26:18,CASH_DEPOSIT,CREDIT,BRANCH,3051.15,OTHER,,,005,COMPLETED,,
T0000000046,A0008330,2021-01-01 13:34:34,TRANSFER_IN,CREDIT,MOBILE,3794.1,EMPLOYER,,,,COMPLETED,,
T0000000047,A0003106,2021-01-01 13:44:25,TRANSFER_OUT,DEBIT,BRANCH,18337.52,BTYT_CUSTOMER,INTERNAL,B000,024,COMPLETED,,
T0000000048,A0006926,2021-01-01 13:44:25,TRANSFER_IN,CREDIT,BRANCH,18337.52,BTYT_CUSTOMER,INTERNAL,B000,024,COMPLETED,,
T0000000049,A0008554,2021-01-01 13:44:51,TRANSFER_IN,CREDIT,BRANCH,7543.21,OTHER,,,031,COMPLETED,,
T0000000050,A0002675,2021-01-01 14:07:53,CASH_DEPOSIT,CREDIT,BRANCH,124869.99,OTHER,,,015,COMPLETED,,
T0000000051,A0007633,2021-01-01 14:11:12,SERVICE_PAYMENT,DEBIT,BRANCH,9876.77,SERVICE_PROVIDER,,,004,COMPLETED,,
T0000000052,A0000324,2021-01-01 14:22:40,TRANSFER_IN,CREDIT,MOBILE,9794.01,EMPLOYER,,,,COMPLETED,,
T0000000053,A0002675,2021-01-01 14:29:19,CASH_WITHDRAWAL,DEBIT,BRANCH,65729.84,OTHER,,,036,COMPLETED,,
T0000000054,A0010278,2021-01-01 14:48:07,TRANSFER_IN,CREDIT,MOBILE,21336.22,EMPLOYER,,,,COMPLETED,,
T0000000055,A0002826,2021-01-01 14:48:22,DEBIT_PURCHASE,DEBIT,POS,20964.7,MERCHANT,,,,COMPLETED,TRAVEL,
T0000000056,A0002481,2021-01-01 15:00:12,TRANSFER_OUT,DEBIT,WEB,2123.54,GOVERNMENT,,,,FAILED,,TECHNICAL_ERROR
T0000000057,A0010381,2021-01-01 15:02:30,TRANSFER_IN,CREDIT,BRANCH,4077.21,EMPLOYER,,,027,COMPLETED,,
T0000000058,A0001921,2021-01-01 15:03:08,SERVICE_PAYMENT,DEBIT,MOBILE,507.51,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000059,A0011354,2021-01-01 15:09:16,CASH_DEPOSIT,CREDIT,BRANCH,1507.96,OTHER,,,026,COMPLETED,,
T0000000060,A0000303,2021-01-01 15:22:52,DEBIT_PURCHASE,DEBIT,POS,1249.15,MERCHANT,,,,COMPLETED,GROCERIES,
T0000000061,A0002481,2021-01-01 15:27:14,CASH_WITHDRAWAL,DEBIT,BRANCH,3755.61,OTHER,,,037,COMPLETED,,
T0000000062,A0002675,2021-01-01 15:28:38,TRANSFER_IN,CREDIT,MOBILE,35507.29,OTHER_BANK,INTERNATIONAL,B101,,COMPLETED,,
T0000000063,A0001485,2021-01-01 15:28:44,TRANSFER_IN,CREDIT,BRANCH,92375.94,EMPLOYER,,,012,COMPLETED,,
T0000000064,A0002819,2021-01-01 15:31:45,CASH_WITHDRAWAL,DEBIT,BRANCH,1323.22,OTHER,,,023,COMPLETED,,
T0000000065,A0003781,2021-01-01 15:36:42,TRANSFER_OUT,DEBIT,BRANCH,50664.8,BTYT_CUSTOMER,INTERNAL,B000,023,COMPLETED,,
T0000000066,A0009797,2021-01-01 15:36:42,TRANSFER_IN,CREDIT,BRANCH,50664.8,BTYT_CUSTOMER,INTERNAL,B000,023,COMPLETED,,
T0000000067,A0002481,2021-01-01 15:41:28,TRANSFER_OUT,DEBIT,BRANCH,9794.86,OTHER_BANK,DOMESTIC_EXTERNAL,B010,007,COMPLETED,,
T0000000068,A0000819,2021-01-01 15:42:44,TRANSFER_IN,CREDIT,BRANCH,6076.76,OTHER_BANK,DOMESTIC_EXTERNAL,B001,014,COMPLETED,,
T0000000069,A0002755,2021-01-01 15:46:50,TRANSFER_OUT,DEBIT,BRANCH,20366.84,OTHER_BANK,DOMESTIC_EXTERNAL,B007,002,COMPLETED,,
T0000000070,A0007633,2021-01-01 15:56:27,TRANSFER_IN,CREDIT,BRANCH,103304.4,EMPLOYER,,,037,COMPLETED,,
T0000000071,A0011889,2021-01-01 15:58:21,CASH_DEPOSIT,CREDIT,BRANCH,7897.42,OTHER,,,026,COMPLETED,,
T0000000072,A0006928,2021-01-01 16:07:29,CASH_DEPOSIT,CREDIT,BRANCH,5237.93,OTHER,,,031,COMPLETED,,
T0000000073,A0002675,2021-01-01 16:08:45,TRANSFER_IN,CREDIT,MOBILE,56260.27,OTHER_BANK,DOMESTIC_EXTERNAL,B001,,COMPLETED,,
T0000000074,A0008372,2021-01-01 16:10:32,DEBIT_PURCHASE,DEBIT,POS,830.29,MERCHANT,,,,COMPLETED,TRANSPORT,
T0000000075,A0005087,2021-01-01 16:12:24,DEBIT_PURCHASE,DEBIT,POS,4113.92,MERCHANT,,,,COMPLETED,HOME,
T0000000076,A0004156,2021-01-01 16:16:43,CASH_DEPOSIT,CREDIT,BRANCH,7023.65,OTHER,,,027,COMPLETED,,
T0000000077,A0009443,2021-01-01 16:17:15,SERVICE_PAYMENT,DEBIT,MOBILE,129.75,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000078,A0002676,2021-01-01 16:21:51,TRANSFER_OUT,DEBIT,MOBILE,1511.85,SUPPLIER,,,,COMPLETED,,
T0000000079,A0002073,2021-01-01 16:25:02,TRANSFER_IN,CREDIT,BRANCH,383.17,BTYT_CUSTOMER,INTERNAL,B000,032,COMPLETED,,
T0000000080,A0008370,2021-01-01 16:25:02,TRANSFER_OUT,DEBIT,BRANCH,383.17,BTYT_CUSTOMER,INTERNAL,B000,032,COMPLETED,,
T0000000081,A0002624,2021-01-01 16:37:09,TRANSFER_IN,CREDIT,MOBILE,4759.68,OTHER_BANK,DOMESTIC_EXTERNAL,B011,,COMPLETED,,
T0000000082,A0002675,2021-01-01 16:43:46,TRANSFER_OUT,DEBIT,MOBILE,4368.22,SUPPLIER,,,,COMPLETED,,
T0000000083,A0002481,2021-01-01 16:44:01,TRANSFER_OUT,DEBIT,MOBILE,7752.92,SUPPLIER,,,,COMPLETED,,
T0000000084,A0002675,2021-01-01 16:49:37,TRANSFER_OUT,DEBIT,MOBILE,622004.44,BTYT_CUSTOMER,INTERNAL,B000,,COMPLETED,,
T0000000085,A0005179,2021-01-01 16:49:37,TRANSFER_IN,CREDIT,MOBILE,622004.44,BTYT_CUSTOMER,INTERNAL,B000,,COMPLETED,,
T0000000086,A0008005,2021-01-01 16:58:33,CASH_DEPOSIT,CREDIT,BRANCH,709.72,OTHER,,,029,COMPLETED,,
T0000000087,A0003106,2021-01-01 17:02:20,TRANSFER_IN,CREDIT,MOBILE,26520.03,BTYT_CUSTOMER,INTERNAL,B000,,COMPLETED,,
T0000000088,A0012520,2021-01-01 17:02:20,TRANSFER_OUT,DEBIT,MOBILE,26520.03,BTYT_CUSTOMER,INTERNAL,B000,,COMPLETED,,
T0000000089,A0002481,2021-01-01 17:28:07,TRANSFER_IN,CREDIT,WEB,38763.54,BTYT_CUSTOMER,INTERNAL,B000,,FAILED,,INSUFFICIENT_FUNDS
T0000000090,A0007885,2021-01-01 17:28:59,DEBIT_PURCHASE,DEBIT,POS,639.68,MERCHANT,,,,COMPLETED,HEALTHCARE,
T0000000091,A0003010,2021-01-01 17:53:48,TRANSFER_IN,CREDIT,WEB,13963.09,BTYT_CUSTOMER,INTERNAL,B000,,COMPLETED,,
T0000000092,A0007740,2021-01-01 17:53:48,TRANSFER_OUT,DEBIT,WEB,13963.09,BTYT_CUSTOMER,INTERNAL,B000,,COMPLETED,,
T0000000093,A0002675,2021-01-01 18:55:42,CASH_DEPOSIT,CREDIT,ATM,158189.49,OTHER,,,,COMPLETED,,
T0000000094,A0012519,2021-01-01 18:58:52,TRANSFER_OUT,DEBIT,MOBILE,1018.72,GOVERNMENT,,,,COMPLETED,,
T0000000095,A0007745,2021-01-01 19:10:11,TRANSFER_OUT,DEBIT,WEB,39151.89,OTHER,,,,FAILED,,INSUFFICIENT_FUNDS
T0000000096,A0002675,2021-01-01 19:15:47,TRANSFER_OUT,DEBIT,MOBILE,30554.03,BTYT_CUSTOMER,INTERNAL,B000,,COMPLETED,,
T0000000097,A0009609,2021-01-01 19:15:47,TRANSFER_IN,CREDIT,MOBILE,30554.03,BTYT_CUSTOMER,INTERNAL,B000,,COMPLETED,,
T0000000098,A0003888,2021-01-01 19:49:35,TRANSFER_IN,CREDIT,WEB,690.91,OTHER_BANK,DOMESTIC_EXTERNAL,B001,,COMPLETED,,
T0000000099,A0006612,2021-01-01 21:20:16,SERVICE_PAYMENT,DEBIT,MOBILE,73.0,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000100,A0008281,2021-01-01 21:36:10,DEBIT_PURCHASE,DEBIT,POS,1319.75,MERCHANT,,,,COMPLETED,FUEL,
T0000000101,A0002622,2021-01-01 22:19:34,CASH_WITHDRAWAL,DEBIT,ATM,1726.17,OTHER,,,,COMPLETED,,
T0000000102,A0003347,2021-01-01 23:23:32,DEBIT_PURCHASE,DEBIT,POS,436.31,MERCHANT,,,,COMPLETED,EDUCATION,
T0000000103,A0009797,2021-01-01 23:30:20,DEBIT_PURCHASE,DEBIT,POS,3837.37,MERCHANT,,,,COMPLETED,UTILITIES,
T0000000104,A0002819,2021-01-01 23:31:47,TRANSFER_OUT,DEBIT,MOBILE,1287.77,OTHER_BANK,DOMESTIC_EXTERNAL,B004,,COMPLETED,,
T0000000105,A0012172,2021-01-01 23:57:04,TRANSFER_IN,CREDIT,MOBILE,31372.76,BTYT_CUSTOMER,INTERNAL,B000,,FAILED,,INSUFFICIENT_FUNDS
T0000000106,A0005790,2021-01-02 00:04:48,SERVICE_PAYMENT,DEBIT,AUTOMATIC,1508.28,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000107,A0003106,2021-01-02 02:18:38,SERVICE_PAYMENT,DEBIT,AUTOMATIC,2444.68,GOVERNMENT,,,,COMPLETED,,
T0000000108,A0009795,2021-01-02 05:20:56,TRANSFER_IN,CREDIT,MOBILE,85629.96,EMPLOYER,,,,COMPLETED,,
T0000000109,A0011354,2021-01-02 05:28:27,TRANSFER_OUT,DEBIT,WEB,8178.5,OTHER_BANK,DOMESTIC_EXTERNAL,B011,,COMPLETED,,
T0000000110,A0000509,2021-01-02 06:21:33,SERVICE_PAYMENT,DEBIT,AUTOMATIC,1643.25,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000111,A0009609,2021-01-02 10:10:14,DEBIT_PURCHASE,DEBIT,POS,3127.5,MERCHANT,,,,COMPLETED,RETAIL,
T0000000112,A0010278,2021-01-02 11:31:26,TRANSFER_OUT,DEBIT,MOBILE,30167.14,OTHER_BANK,DOMESTIC_EXTERNAL,B004,,COMPLETED,,
T0000000113,A0010381,2021-01-02 12:15:29,LOAN_PAYMENT,DEBIT,MOBILE,5129.79,LOAN_ACCOUNT,,,,COMPLETED,,
T0000000114,A0000807,2021-01-02 12:17:24,DEBIT_PURCHASE,DEBIT,POS,377.87,MERCHANT,,,,COMPLETED,ECOMMERCE,
T0000000115,A0002622,2021-01-02 12:37:08,TRANSFER_IN,CREDIT,MOBILE,1537.34,EMPLOYER,,,,COMPLETED,,
T0000000116,A0009985,2021-01-02 12:39:53,CASH_DEPOSIT,CREDIT,ATM,5314.29,OTHER,,,,COMPLETED,,
T0000000117,A0003782,2021-01-02 13:10:18,DEBIT_PURCHASE,DEBIT,POS,1370.42,MERCHANT,,,,COMPLETED,GROCERIES,
T0000000118,A0001135,2021-01-02 13:21:32,LOAN_PAYMENT,DEBIT,MOBILE,31867.73,LOAN_ACCOUNT,,,,FAILED,,INSUFFICIENT_FUNDS
T0000000119,A0006611,2021-01-02 13:42:40,CASH_DEPOSIT,CREDIT,ATM,10247.16,OTHER,,,,COMPLETED,,
T0000000120,A0008325,2021-01-02 14:08:57,SERVICE_PAYMENT,DEBIT,WEB,1963.2,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000121,A0001337,2021-01-02 14:15:16,TRANSFER_OUT,DEBIT,MOBILE,30067.63,BTYT_CUSTOMER,INTERNAL,B000,,COMPLETED,,
T0000000122,A0005820,2021-01-02 14:15:16,TRANSFER_IN,CREDIT,MOBILE,30067.63,BTYT_CUSTOMER,INTERNAL,B000,,COMPLETED,,
T0000000123,A0008892,2021-01-02 14:28:25,TRANSFER_IN,CREDIT,WEB,18314.08,EMPLOYER,,,,COMPLETED,,
T0000000124,A0002675,2021-01-02 14:30:05,DEBIT_PURCHASE,DEBIT,POS,31373.47,MERCHANT,,,,COMPLETED,AUTOMOTIVE,
T0000000125,A0007189,2021-01-02 15:33:03,CASH_DEPOSIT,CREDIT,ATM,12085.33,OTHER,,,,COMPLETED,,
T0000000126,A0003065,2021-01-02 15:34:01,TRANSFER_OUT,DEBIT,WEB,171.13,OTHER_BANK,INTERNATIONAL,B107,,COMPLETED,,
T0000000127,A0011718,2021-01-02 15:34:20,TRANSFER_OUT,DEBIT,MOBILE,1587.08,OTHER_BANK,DOMESTIC_EXTERNAL,B007,,COMPLETED,,
T0000000128,A0005284,2021-01-02 16:20:16,DEBIT_PURCHASE,DEBIT,POS,1042.22,MERCHANT,,,,COMPLETED,UTILITIES,
T0000000129,A0000325,2021-01-02 16:44:19,TRANSFER_IN,CREDIT,MOBILE,3270.59,OTHER,,,,COMPLETED,,
T0000000130,A0002675,2021-01-02 16:45:06,TRANSFER_OUT,DEBIT,MOBILE,9813.2,SUPPLIER,,,,COMPLETED,,
T0000000131,A0008331,2021-01-02 16:50:23,TRANSFER_IN,CREDIT,MOBILE,43451.53,EMPLOYER,,,,COMPLETED,,
T0000000132,A0002624,2021-01-02 16:58:32,TRANSFER_IN,CREDIT,MOBILE,2298.52,EMPLOYER,,,,COMPLETED,,
T0000000133,A0011464,2021-01-02 17:51:50,SERVICE_PAYMENT,DEBIT,WEB,770.25,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000134,A0003347,2021-01-02 17:55:11,TRANSFER_OUT,DEBIT,MOBILE,6016.51,OTHER_BANK,DOMESTIC_EXTERNAL,B001,,COMPLETED,,
T0000000135,A0002620,2021-01-02 17:55:53,SERVICE_PAYMENT,DEBIT,MOBILE,1740.83,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000136,A0010278,2021-01-02 18:31:06,TRANSFER_IN,CREDIT,WEB,8160.22,EMPLOYER,,,,COMPLETED,,
T0000000137,A0009797,2021-01-02 18:46:55,TRANSFER_IN,CREDIT,MOBILE,74549.33,EMPLOYER,,,,COMPLETED,,
T0000000138,A0002055,2021-01-02 18:58:19,CASH_WITHDRAWAL,DEBIT,ATM,539.4,OTHER,,,,COMPLETED,,
T0000000139,A0010278,2021-01-02 19:23:40,TRANSFER_IN,CREDIT,MOBILE,23710.7,EMPLOYER,,,,COMPLETED,,
T0000000140,A0007769,2021-01-02 19:38:41,CASH_DEPOSIT,CREDIT,ATM,484.65,OTHER,,,,COMPLETED,,
T0000000141,A0012171,2021-01-02 19:39:47,TRANSFER_IN,CREDIT,MOBILE,74760.25,EMPLOYER,,,,COMPLETED,,
T0000000142,A0002675,2021-01-02 19:46:33,TRANSFER_OUT,DEBIT,MOBILE,95634.86,SUPPLIER,,,,COMPLETED,,
T0000000143,A0000807,2021-01-02 20:21:58,DEBIT_PURCHASE,DEBIT,POS,2190.97,MERCHANT,,,,COMPLETED,TRAVEL,
T0000000144,A0011552,2021-01-02 20:23:17,DEBIT_PURCHASE,DEBIT,POS,22.25,MERCHANT,,,,COMPLETED,PROFESSIONAL_SERVICES,
T0000000145,A0005284,2021-01-02 20:37:47,TRANSFER_IN,CREDIT,MOBILE,3133.47,BTYT_CUSTOMER,INTERNAL,B000,,COMPLETED,,
T0000000146,A0007763,2021-01-02 20:37:47,TRANSFER_OUT,DEBIT,MOBILE,3133.47,BTYT_CUSTOMER,INTERNAL,B000,,COMPLETED,,
T0000000147,A0008634,2021-01-02 23:37:30,TRANSFER_OUT,DEBIT,MOBILE,1314.16,BTYT_CUSTOMER,INTERNAL,B000,,COMPLETED,,
T0000000148,A0011465,2021-01-02 23:37:30,TRANSFER_IN,CREDIT,MOBILE,1314.16,BTYT_CUSTOMER,INTERNAL,B000,,COMPLETED,,
T0000000149,A0011255,2021-01-02 23:41:33,TRANSFER_OUT,DEBIT,MOBILE,285.5,OTHER,,,,COMPLETED,,
T0000000150,A0010259,2021-01-03 00:06:34,SERVICE_PAYMENT,DEBIT,AUTOMATIC,1883.7,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000151,A0010791,2021-01-03 01:19:08,INTEREST_CREDIT,CREDIT,AUTOMATIC,338.92,OTHER,,,,COMPLETED,,
T0000000152,A0000807,2021-01-03 05:24:27,CASH_WITHDRAWAL,DEBIT,ATM,1204.45,OTHER,,,,COMPLETED,,
T0000000153,A0011257,2021-01-03 07:52:53,INTEREST_CREDIT,CREDIT,AUTOMATIC,19.64,OTHER,,,,COMPLETED,,
T0000000154,A0005284,2021-01-03 08:15:39,CASH_WITHDRAWAL,DEBIT,ATM,788.98,OTHER,,,,COMPLETED,,
T0000000155,A0008372,2021-01-03 08:16:52,CASH_WITHDRAWAL,DEBIT,ATM,5120.75,OTHER,,,,COMPLETED,,
T0000000156,A0005284,2021-01-03 09:06:46,SERVICE_PAYMENT,DEBIT,AUTOMATIC,1046.52,GOVERNMENT,,,,COMPLETED,,
T0000000157,A0011094,2021-01-03 10:12:49,TRANSFER_IN,CREDIT,WEB,23652.43,EMPLOYER,,,,COMPLETED,,
T0000000158,A0002826,2021-01-03 10:20:01,DEBIT_PURCHASE,DEBIT,POS,7163.49,MERCHANT,,,,COMPLETED,HOME,
T0000000159,A0010278,2021-01-03 11:37:08,SERVICE_PAYMENT,DEBIT,WEB,2120.8,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000160,A0008331,2021-01-03 11:43:06,DEBIT_PURCHASE,DEBIT,POS,657.45,MERCHANT,,,,COMPLETED,TRANSPORT,
T0000000161,A0006611,2021-01-03 11:57:49,SERVICE_PAYMENT,DEBIT,MOBILE,2270.94,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000162,A0001134,2021-01-03 12:06:40,TRANSFER_IN,CREDIT,WEB,24582.55,BTYT_CUSTOMER,INTERNAL,B000,,COMPLETED,,
T0000000163,A0005087,2021-01-03 12:06:40,TRANSFER_OUT,DEBIT,WEB,24582.55,BTYT_CUSTOMER,INTERNAL,B000,,COMPLETED,,
T0000000164,A0000995,2021-01-03 12:19:43,TRANSFER_IN,CREDIT,MOBILE,46359.18,EMPLOYER,,,,COMPLETED,,
T0000000165,A0007191,2021-01-03 14:02:25,TRANSFER_IN,CREDIT,MOBILE,65765.79,EMPLOYER,,,,COMPLETED,,
T0000000166,A0007634,2021-01-03 14:26:32,SERVICE_PAYMENT,DEBIT,MOBILE,6363.23,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000167,A0009609,2021-01-03 14:51:32,DEBIT_PURCHASE,DEBIT,POS,3337.16,MERCHANT,,,,COMPLETED,HOME,
T0000000168,A0001935,2021-01-03 14:52:04,CASH_WITHDRAWAL,DEBIT,ATM,520.31,OTHER,,,,COMPLETED,,
T0000000169,A0000896,2021-01-03 15:01:09,TRANSFER_IN,CREDIT,WEB,40545.47,EMPLOYER,,,,COMPLETED,,
T0000000170,A0012171,2021-01-03 15:02:28,TRANSFER_IN,CREDIT,WEB,74644.67,EMPLOYER,,,,COMPLETED,,
T0000000171,A0009797,2021-01-03 15:09:21,TRANSFER_OUT,DEBIT,WEB,37600.65,OTHER_BANK,DOMESTIC_EXTERNAL,B006,,COMPLETED,,
T0000000172,A0010259,2021-01-03 15:20:47,DEBIT_PURCHASE,DEBIT,POS,671.58,MERCHANT,,,,COMPLETED,EDUCATION,
T0000000173,A0007633,2021-01-03 15:52:24,SERVICE_PAYMENT,DEBIT,MOBILE,4093.5,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000174,A0010278,2021-01-03 15:57:30,DEBIT_PURCHASE,DEBIT,POS,2551.79,MERCHANT,,,,COMPLETED,RETAIL,
T0000000175,A0008325,2021-01-03 16:25:08,TRANSFER_IN,CREDIT,WEB,5660.52,EMPLOYER,,,,COMPLETED,,
T0000000176,A0001485,2021-01-03 16:52:05,TRANSFER_IN,CREDIT,WEB,44250.1,EMPLOYER,,,,COMPLETED,,
T0000000177,A0003347,2021-01-03 18:04:01,TRANSFER_IN,CREDIT,WEB,22604.91,EMPLOYER,,,,COMPLETED,,
T0000000178,A0009609,2021-01-03 18:13:02,TRANSFER_IN,CREDIT,MOBILE,1253.02,EMPLOYER,,,,COMPLETED,,
