loan_id,year_month,outstanding_balance,current_interest_rate,scheduled_payment,actual_payment,days_past_due,delinquency_status,arrears_amount
L0000004,2022-08,992991.15,15.4425,33901.12,33901.12,0,CURRENT,0.0
L0000004,2022-09,972058.1,16.005,34177.08,34177.08,0,CURRENT,0.0
L0000004,2022-10,955317.54,16.005,34177.08,29705.38,16,DPD_1_30,4471.7
L0000004,2022-11,968059.09,16.005,34337.81,0.0,46,DPD_31_60,38809.51
L0000004,2022-12,930158.34,16.005,35132.02,50642.3,16,DPD_1_30,23299.23
L0000004,2023-01,907558.68,16.005,34993.53,34993.53,16,DPD_1_30,23299.23
L0000004,2023-02,861460.75,16.005,35001.6,58193.16,13,DPD_1_30,107.67
L0000004,2023-03,848105.54,16.1925,34189.64,24979.54,16,DPD_1_30,9317.77
L0000004,2023-04,819022.95,16.1925,34565.01,40526.72,15,DPD_1_30,3356.06
L0000004,2023-05,793324.96,16.1925,34315.22,36749.68,16,DPD_1_30,921.6
L0000004,2023-06,769268.17,16.1925,34210.24,34761.72,15,DPD_1_30,370.13
L0000004,2023-07,745462.75,16.1925,34185.74,34185.74,16,DPD_1_30,370.13
L0000004,2023-08,727487.94,16.1925,34185.74,28033.89,16,DPD_1_30,6521.97
L0000004,2023-09,718348.15,15.63,34281.4,18615.32,15,DPD_1_30,22188.05
L0000004,2023-10,692658.94,15.63,35045.7,35045.7,16,DPD_1_30,22188.05
L0000004,2023-11,653996.94,15.63,35045.7,47683.89,15,DPD_1_30,9549.86
L0000004,2023-12,638271.91,15.63,34381.29,24243.34,16,DPD_1_30,19687.82
L0000004,2024-01,624456.12,15.63,34936.2,22129.28,16,DPD_1_30,32494.73
L0000004,2024-02,580489.49,15.63,35332.31,52023.69,14,DPD_1_30,15803.36
L0000004,2024-03,542560.82,15.13,34548.84,45247.67,16,DPD_1_30,5104.53
L0000004,2024-04,510928.05,15.13,33880.75,38473.56,15,DPD_1_30,511.71
L0000004,2024-05,483552.45,15.13,33578.9,33817.55,16,DPD_1_30,273.06
L0000004,2024-06,489649.24,15.13,33562.34,0.0,46,DPD_31_60,33835.4
L0000004,2024-07,446906.81,15.13,35583.46,48839.23,16,DPD_1_30,20579.63
L0000004,2024-08,417519.12,15.13,35022.44,35022.44,16,DPD_1_30,20579.63
L0000004,2024-09,372290.05,14.755,34948.72,50362.82,15,DPD_1_30,5165.53
L0000004,2024-10,0.0,14.755,33559.25,376867.66,0,CURRENT,0.0
L0000005,2026-08,12550000.0,13.79,62750.0,0.0,17,DPD_1_30,62750.0
L0000005,2026-09,12694220.42,13.79,290652.01,0.0,47,DPD_31_60,353402.01
L0000005,2026-10,12838440.83,13.79,294083.33,0.0,78,DPD_61_90,647485.34
L0000005,2026-11,12982661.25,13.79,297637.5,0.0,108,DPD_90_PLUS,945122.83
L0000005,2026-12,13126881.67,13.79,301320.99,0.0,139,DPD_90_PLUS,1246443.82
L0000006,2021-01,4637467.0,17.3,64357.6,4198.66,108,DPD_90_PLUS,253092.2
L0000006,2021-02,4636362.27,17.3,64373.58,64373.58,105,DPD_90_PLUS,253092.2
L0000006,2021-03,4635241.6,17.3,64374.49,64374.49,106,DPD_90_PLUS,253092.2
L0000006,2021-04,4634104.75,17.3,64375.64,64375.64,105,DPD_90_PLUS,253092.2
L0000006,2021-05,4632951.48,17.3,64377.03,64377.03,105,DPD_90_PLUS,253092.2
L0000006,2021-06,4696159.55,17.3,64377.98,0.0,135,DPD_90_PLUS,317470.18
L0000006,2021-07,4749247.72,17.3,64395.16,10119.9,166,DPD_90_PLUS,371745.44
L0000006,2021-08,4760927.14,17.3,64412.6,51528.65,169,DPD_90_PLUS,384629.4
L0000006,2021-09,4824119.28,17.3,64414.07,0.0,199,DPD_90_PLUS,449043.47
L0000006,2021-10,4822879.4,17.3,64432.03,64432.03,199,DPD_90_PLUS,449043.47
L0000006,2021-11,4821621.6,17.3,64433.78,64433.78,199,DPD_90_PLUS,449043.47
L0000006,2021-12,4884781.2,17.3,64435.56,0.0,230,DPD_90_PLUS,513479.03
L0000006,2022-01,4908880.61,17.3,64454.33,39060.19,261,DPD_90_PLUS,538873.17
L0000006,2022-02,4972040.21,17.3,64473.39,0.0,289,DPD_90_PLUS,603346.56
L0000006,2022-03,4970707.08,17.3,64492.73,64492.73,289,DPD_90_PLUS,603346.56
L0000006,2022-04,4995800.84,17.3,64495.38,38049.21,289,DPD_90_PLUS,629792.73
L0000006,2022-05,5005408.1,17.3,64498.07,53518.84,289,DPD_90_PLUS,640771.95
L0000006,2022-06,5068517.09,17.3,64500.79,0.0,319,DPD_90_PLUS,705272.74
L0000006,2022-07,5077525.07,17.3,64521.3,54101.01,350,DPD_90_PLUS,715693.04
L0000006,2022-08,5140634.07,17.3,64542.13,0.0,381,DPD_90_PLUS,780235.16
L0000006,2022-09,5200319.08,17.3,64563.26,3423.97,411,DPD_90_PLUS,841374.45
L0000006,2022-10,4370574.11,17.3,64584.72,892853.96,16,DPD_1_30,13105.21
L0000006,2022-11,4433415.57,17.3,64332.61,0.0,46,DPD_31_60,77437.83
L0000006,2022-12,4496257.02,17.3,64354.63,0.0,77,DPD_61_90,141792.45
L0000006,2023-01,4559098.47,17.3,64376.98,0.0,108,DPD_90_PLUS,206169.43
L0000006,2023-02,4621939.92,17.3,64399.66,0.0,136,DPD_90_PLUS,270569.09
L0000006,2023-03,4639948.49,17.3,64422.69,44832.88,136,DPD_90_PLUS,290158.9
L0000006,2023-04,4665752.98,17.3,64424.25,37015.69,136,DPD_90_PLUS,317567.46
L0000006,2023-05,4720594.52,17.3,64425.92,7957.14,167,DPD_90_PLUS,374036.24
L0000006,2023-06,4783393.2,17.3,64450.0,0.0,197,DPD_90_PLUS,438486.24
L0000006,2023-07,4781717.44,17.3,64474.44,64474.44,197,DPD_90_PLUS,438486.24
L0000006,2023-08,4793747.3,17.3,64476.85,50747.0,228,DPD_90_PLUS,452216.08
L0000006,2023-09,4792022.3,17.3,64496.2,64496.2,227,DPD_90_PLUS,452216.08
L0000006,2023-10,4816383.99,17.3,64497.24,38385.65,230,DPD_90_PLUS,478327.68
L0000006,2023-11,4814608.57,17.3,64507.68,64507.68,229,DPD_90_PLUS,478327.68
L0000006,2023-12,4812807.47,17.3,64510.56,64510.56,230,DPD_90_PLUS,478327.68
L0000006,2024-01,4810980.33,17.3,64513.49,64513.49,230,DPD_90_PLUS,478327.68
L0000006,2024-02,4809126.76,17.3,64516.45,64516.45,229,DPD_90_PLUS,478327.68
L0000006,2024-03,4818133.17,17.3,64519.46,53632.66,229,DPD_90_PLUS,489214.48
L0000006,2024-04,4816225.6,17.3,64522.5,64522.5,228,DPD_90_PLUS,489214.48
L0000006,2024-05,4878816.0,17.3,64525.58,0.0,259,DPD_90_PLUS,553740.06
L0000006,2024-06,4876852.06,17.3,64554.36,64554.36,259,DPD_90_PLUS,553740.06
L0000006,2024-07,4874859.69,17.3,64557.91,64557.91,259,DPD_90_PLUS,553740.06
L0000006,2024-08,4872838.48,17.3,64561.52,64561.52,260,DPD_90_PLUS,553740.06
L0000006,2024-09,4926582.05,17.3,64565.18,8771.14,290,DPD_90_PLUS,609534.1
L0000006,2024-10,4989096.77,17.3,64595.72,0.0,321,DPD_90_PLUS,674129.82
L0000006,2024-11,4996558.39,17.3,64626.74,55053.09,320,DPD_90_PLUS,683703.47
L0000006,2024-12,4994415.77,17.3,64631.37,64631.37,320,DPD_90_PLUS,683703.47
L0000006,2025-01,5002519.39,17.3,64636.08,54358.79,322,DPD_90_PLUS,693980.76
L0000006,2025-02,5000314.22,17.3,64640.86,64640.86,319,DPD_90_PLUS,693980.76
L0000006,2025-03,5015515.08,17.3,64645.71,47207.71,350,DPD_90_PLUS,711418.75
L0000006,2025-04,5013245.07,17.3,64663.75,64663.75,350,DPD_90_PLUS,711418.75
L0000006,2025-05,5017490.32,17.3,64666.69,58118.59,350,DPD_90_PLUS,717966.85
L0000006,2025-06,5015153.43,17.3,64690.07,64690.07,350,DPD_90_PLUS,717966.85
L0000006,2025-07,4309304.59,17.3,64695.65,768173.7,16,DPD_1_30,14488.8
L0000006,2025-08,4306912.74,17.3,64342.96,64342.96,16,DPD_1_30,14488.8
L0000006,2025-09,4322773.38,16.8667,62941.12,44505.38,15,DPD_1_30,32924.55
L0000006,2025-10,4291030.03,16.8667,62943.81,92075.75,16,DPD_1_30,3792.6
L0000006,2025-11,4286191.48,16.8667,62944.34,65134.76,15,DPD_1_30,1602.18
L0000006,2025-12,4283506.76,16.8667,62929.52,62929.52,16,DPD_1_30,1602.18
L0000006,2026-01,4289442.81,16.8667,62929.52,54271.02,16,DPD_1_30,10260.69
L0000006,2026-02,4349627.35,16.8667,62945.99,0.0,44,DPD_31_60,73206.68
L0000006,2026-03,4377814.34,16.8667,62986.61,31997.56,44,DPD_31_60,104195.73
L0000006,2026-04,4437960.63,16.8667,62987.79,0.0,74,DPD_61_90,167183.52
L0000006,2026-05,4463159.89,16.8667,63029.64,34947.02,105,DPD_90_PLUS,195266.14
L0000006,2026-06,4295056.86,16.8667,63072.14,228249.31,15,DPD_1_30,30088.97
L0000006,2026-07,4355044.48,16.8667,81987.62,0.0,46,DPD_31_60,112076.59
L0000006,2026-08,4415032.1,16.8667,62992.5,0.0,77,DPD_61_90,175069.09
L0000006,2026-09,4474326.18,16.6717,62420.38,0.0,107,DPD_90_PLUS,237489.47
L0000006,2026-10,4533620.27,16.6717,62466.14,0.0,138,DPD_90_PLUS,299955.61
L0000006,2026-11,4592914.35,16.6717,62512.6,0.0,168,DPD_90_PLUS,362468.21
L0000006,2026-12,4652208.44,16.6717,62559.78,0.0,199,DPD_90_PLUS,425027.99
L0000007,2023-02,2000.0,16.49,0.0,0.0,0,CURRENT,0.0
L0000007,2023-03,1677.94,16.49,349.55,349.55,0,CURRENT,0.0
L0000007,2023-04,1445.72,16.49,349.55,255.27,21,DPD_1_30,94.27
L0000007,2023-05,1465.59,16.49,373.93,0.0,52,DPD_31_60,468.21
L0000007,2023-06,1260.42,16.49,495.21,225.03,52,DPD_31_60,738.39
L0000007,2023-07,1013.5,16.49,539.08,263.97,52,DPD_31_60,1013.5
L0000007,2023-08,404.1,16.49,13.69,623.09,53,DPD_31_60,404.1
L0000007,2023-09,115.18,16.49,5.36,294.29,83,DPD_61_90,115.18
L0000007,2023-10,39.9,16.49,1.32,76.59,114,DPD_90_PLUS,39.9
L0000007,2023-11,6.81,16.49,0.27,33.36,82,DPD_61_90,6.81
L0000007,2023-12,1.71,16.49,0.0,5.11,113,DPD_90_PLUS,1.7
L0000007,2024-01,0.14,16.49,0.0,1.58,83,DPD_61_90,0.13
L0000007,2024-02,0.04,16.49,0.0,0.1,112,DPD_90_PLUS,0.03
L0000007,2024-03,0.02,16.49,0.0,0.02,143,DPD_90_PLUS,0.01
L0000007,2024-04,0.01,16.49,0.0,0.01,0,CURRENT,0.0
L0000007,2024-05,0.01,16.49,0.0,0.0,0,CURRENT,0.0
L0000007,2024-06,0.01,16.49,0.0,0.0,0,CURRENT,0.0
L0000007,2024-07,0.01,16.49,0.0,0.0,0,CURRENT,0.0
L0000007,2024-08,0.0,16.49,0.0,0.01,0,CURRENT,0.0
L0000008,2023-11,13000.0,12.06,0.0,0.0,0,CURRENT,0.0
L0000008,2023-12,12518.33,12.06,612.32,612.32,0,CURRENT,0.0
L0000008,2024-01,12031.82,12.06,612.32,612.32,0,CURRENT,0.0
L0000008,2024-02,11616.21,12.06,612.32,536.53,21,DPD_1_30,75.79
L0000008,2024-03,11399.96,12.06,616.34,333.0,23,DPD_1_30,359.13
L0000008,2024-04,11206.67,12.06,632.05,307.86,53,DPD_31_60,683.33
L0000008,2024-05,10673.51,11.96,643.71,643.71,53,DPD_31_60,683.33
L0000008,2024-06,10134.84,11.96,643.95,643.95,53,DPD_31_60,683.33
L0000008,2024-07,10177.01,11.96,644.29,57.78,53,DPD_31_60,1269.84
L0000008,2024-08,9597.99,11.96,678.59,678.59,54,DPD_31_60,1269.84
L0000008,2024-09,9692.19,11.96,681.5,0.0,84,DPD_61_90,1951.34
L0000008,2024-10,9356.54,11.96,726.66,429.85,115,DPD_90_PLUS,2248.15
L0000008,2024-11,6762.69,11.8475,746.74,2683.39,22,DPD_1_30,311.5
L0000008,2024-12,6381.38,11.8475,600.37,448.07,23,DPD_1_30,463.8
L0000008,2025-01,6444.38,11.8475,615.05,0.0,54,DPD_31_60,1078.86
L0000008,2025-02,0.0,11.8475,673.3,6507.39,0,CURRENT,0.0
L0000009,2021-01,34403.39,21.92,2642.86,2642.86,0,CURRENT,0.0
L0000009,2021-02,32388.96,21.92,2642.86,2642.86,0,CURRENT,0.0
L0000009,2021-03,30337.73,21.92,2642.86,2642.86,0,CURRENT,0.0
L0000009,2021-04,28249.04,21.92,2642.86,2642.86,0,CURRENT,0.0
L0000009,2021-05,26122.19,21.92,2642.86,2642.86,0,CURRENT,0.0
L0000009,2021-06,23956.49,21.92,2642.86,2642.86,0,CURRENT,0.0
L0000009,2021-07,21751.23,21.92,2642.86,2642.86,0,CURRENT,0.0
L0000009,2021-08,19505.69,21.92,2642.86,2642.86,0,CURRENT,0.0
L0000009,2021-09,17219.13,21.92,2642.86,2642.86,0,CURRENT,0.0
L0000009,2021-10,14890.8,21.92,2642.86,2642.86,0,CURRENT,0.0
L0000009,2021-11,12519.95,21.92,2642.86,2642.86,0,CURRENT,0.0
L0000009,2021-12,10105.78,21.92,2642.86,2642.86,0,CURRENT,0.0
L0000009,2022-01,7647.52,21.92,2642.86,2642.86,0,CURRENT,0.0
L0000009,2022-02,5144.35,21.92,2642.86,2642.86,0,CURRENT,0.0
L0000009,2022-03,2595.45,21.92,2642.86,2642.86,0,CURRENT,0.0
L0000009,2022-04,0.0,21.92,2642.86,2642.86,0,CURRENT,0.0
L0000009,2022-05,0.08,21.92,0.0,0.0,0,CURRENT,0.0
L0000009,2022-06,0.08,21.92,0.0,0.0,0,CURRENT,0.0
L0000009,2022-07,0.08,21.92,0.0,0.0,0,CURRENT,0.0
L0000009,2022-08,0.08,21.92,0.0,0.0,0,CURRENT,0.0
L0000009,2022-09,0.08,21.92,0.0,0.0,0,CURRENT,0.0
L0000009,2022-10,0.08,21.92,0.0,0.0,0,CURRENT,0.0
L0000009,2022-11,0.08,21.92,0.0,0.0,0,CURRENT,0.0
L0000009,2022-12,0.0,21.92,0.0,0.08,0,CURRENT,0.0
L0000010,2021-12,295000.0,19.49,0.0,0.0,0,CURRENT,0.0
L0000010,2022-01,290894.3,19.49,8896.99,8896.99,0,CURRENT,0.0
L0000010,2022-02,286721.91,19.49,8896.99,8896.99,0,CURRENT,0.0
L0000010,2022-03,282481.76,19.49,8896.99,8896.99,0,CURRENT,0.0
L0000010,2022-04,278172.74,19.49,8896.99,8896.99,0,CURRENT,0.0
L0000010,2022-05,273793.74,19.49,8896.99,8896.99,0,CURRENT,0.0
L0000010,2022-06,269343.61,19.49,8896.99,8896.99,0,CURRENT,0.0
L0000010,2022-07,264821.21,19.49,8896.99,8896.99,0,CURRENT,0.0
L0000010,2022-08,260225.35,19.49,8896.99,8896.99,0,CURRENT,0.0
L0000010,2022-09,255554.85,19.49,8896.99,8896.99,0,CURRENT,0.0
L0000010,2022-10,250808.49,19.49,8896.99,8896.99,0,CURRENT,0.0
L0000010,2022-11,245985.05,19.49,8896.99,8896.99,0,CURRENT,0.0
L0000010,2022-12,243268.93,19.49,8896.99,6711.33,24,DPD_1_30,2185.67
L0000010,2023-01,236653.52,19.49,8977.65,10566.5,24,DPD_1_30,596.82
L0000010,2023-02,231333.8,19.49,8917.78,9163.36,21,DPD_1_30,351.23
L0000010,2023-03,225912.97,19.49,8908.32,9178.08,24,DPD_1_30,81.48
L0000010,2023-04,220647.99,19.49,8897.7,8934.19,23,DPD_1_30,45.0
L0000010,2023-05,215304.09,19.49,8896.23,8927.59,24,DPD_1_30,13.64
L0000010,2023-06,209901.25,19.49,8894.93,8899.74,23,DPD_1_30,8.83
L0000010,2023-07,204415.66,19.49,8894.73,8894.73,24,DPD_1_30,8.83
L0000010,2023-08,198833.1,19.49,8894.73,8902.62,24,DPD_1_30,0.94
L0000010,2023-09,193167.31,19.49,8894.38,8895.17,23,DPD_1_30,0.14
L0000010,2023-10,187410.24,19.49,8894.34,8894.43,24,DPD_1_30,0.05
L0000010,2023-11,181559.75,19.49,8894.34,8894.34,23,DPD_1_30,0.05
L0000010,2023-12,184508.59,19.49,8894.34,0.0,54,DPD_31_60,8894.39
L0000010,2024-01,183098.41,19.49,9195.46,4359.02,55,DPD_31_60,13730.83
L0000010,2024-02,186024.33,19.49,9449.14,0.0,84,DPD_61_90,23179.97
L0000010,2024-03,179146.12,19.49,9804.14,9804.14,84,DPD_61_90,23179.97
L0000010,2024-04,150697.12,19.49,9805.44,31263.59,23,DPD_1_30,1721.82
L0000010,2024-05,144259.42,19.49,8885.28,8885.28,24,DPD_1_30,1721.82
L0000010,2024-06,137717.15,19.49,8885.28,8885.28,23,DPD_1_30,1721.82
L0000010,2024-07,130217.55,19.49,8885.28,9736.36,24,DPD_1_30,870.74
L0000010,2024-08,123504.92,19.49,8827.58,8827.58,24,DPD_1_30,870.74
L0000010,2024-09,116083.91,19.49,8827.58,9426.94,23,DPD_1_30,271.38
L0000010,2024-10,109187.07,19.49,8782.24,8782.24,24,DPD_1_30,271.38
L0000010,2024-11,102178.21,19.49,8782.24,8782.24,23,DPD_1_30,271.38
L0000010,2024-12,103837.75,19.49,8782.24,0.0,54,DPD_31_60,9053.62
L0000010,2025-01,96056.99,19.49,9440.31,9440.31,24,DPD_1_30,9053.62
L0000010,2025-02,92022.53,19.49,9478.98,5573.91,52,DPD_31_60,12958.68
L0000010,2025-03,83616.02,19.49,9876.11,9876.11,52,DPD_31_60,12958.68
L0000010,2025-04,67521.35,19.49,9884.52,17428.86,23,DPD_1_30,5414.33
L0000010,2025-05,59549.38,19.49,9068.63,9068.63,24,DPD_1_30,5414.33
L0000010,2025-06,51447.93,19.49,9068.63,9068.63,23,DPD_1_30,5414.33
L0000010,2025-07,43214.9,19.49,9068.63,9068.63,24,DPD_1_30,5414.33
L0000010,2025-08,34848.15,19.49,9068.63,9068.63,24,DPD_1_30,5414.33
L0000010,2025-09,26345.51,19.49,9068.63,9068.63,23,DPD_1_30,5414.33
L0000010,2025-10,13279.62,19.49,9068.63,13493.79,24,DPD_1_30,989.18
L0000010,2025-11,0.0,19.49,6802.0,13495.3,0,CURRENT,0.0
L0000011,2021-01,3084365.86,19.65,85501.37,85501.37,0,CURRENT,0.0
L0000011,2021-02,3049370.98,19.65,85501.37,85501.37,0,CURRENT,0.0
L0000011,2021-03,3013803.06,19.65,85501.37,85501.37,0,CURRENT,0.0
L0000011,2021-04,2977652.72,19.65,85501.37,85501.37,0,CURRENT,0.0
L0000011,2021-05,2940910.41,19.65,85501.37,85501.37,0,CURRENT,0.0
L0000011,2021-06,2903566.45,19.65,85501.37,85501.37,0,CURRENT,0.0
L0000011,2021-07,2899298.5,19.65,85501.37,51813.85,22,DPD_1_30,33687.52
L0000011,2021-08,2868185.73,19.65,86506.51,78588.78,22,DPD_1_30,41605.24
L0000011,2021-09,2813270.24,19.65,86668.1,101839.87,21,DPD_1_30,26433.48
L0000011,2021-10,2773055.79,19.65,86281.76,86281.76,22,DPD_1_30,26433.48
L0000011,2021-11,2818464.57,19.65,86281.76,0.0,52,DPD_31_60,112715.23
L0000011,2021-12,2802075.98,19.65,87572.52,61797.39,52,DPD_31_60,138490.36
L0000011,2022-01,2678428.73,19.65,88076.94,168623.18,22,DPD_1_30,57944.12
L0000011,2022-02,2669769.08,19.65,86775.89,52275.87,50,DPD_31_60,92444.14
L0000011,2022-03,2581056.05,19.65,86965.54,131716.28,22,DPD_1_30,47693.41
L0000011,2022-04,2536458.08,19.65,86801.67,86801.67,21,DPD_1_30,47693.41
L0000011,2022-05,2491118.43,19.65,86823.46,86823.46,22,DPD_1_30,47693.41
L0000011,2022-06,2464306.09,19.65,86849.34,67565.86,21,DPD_1_30,66976.89
L0000011,2022-07,2461037.11,19.65,86876.23,43280.06,52,DPD_31_60,110573.05
L0000011,2022-08,2448647.34,19.65,87763.13,52034.08,53,DPD_31_60,146302.11
L0000011,2022-09,2487903.6,19.65,88666.39,0.0,83,DPD_61_90,234968.5
L0000011,2022-10,2248056.64,19.65,90532.31,279103.23,22,DPD_1_30,46397.58
L0000011,2022-11,2198117.87,19.65,86750.7,86750.7,21,DPD_1_30,46397.58
L0000011,2022-12,2160311.13,19.65,86750.7,73800.92,22,DPD_1_30,59347.37
L0000011,2023-01,2064818.02,19.65,86926.8,130727.53,22,DPD_1_30,15546.63
L0000011,2023-02,2037760.36,19.65,85469.35,60869.05,19,DPD_1_30,40146.93
L0000011,2023-03,1957264.47,19.65,86513.76,113864.21,22,DPD_1_30,12796.47
L0000011,2023-04,1918541.36,19.65,85321.5,70773.32,21,DPD_1_30,27344.65
L0000011,2023-05,1842832.95,19.65,85973.43,107124.52,22,DPD_1_30,6193.56
L0000011,2023-06,1873009.34,19.65,84997.86,0.0,52,DPD_31_60,91191.42
L0000011,2023-07,1766159.51,19.65,87603.95,137026.21,22,DPD_1_30,41769.15
L0000011,2023-08,1755472.55,19.65,86659.62,39607.83,53,DPD_31_60,88820.94
L0000011,2023-09,1622217.57,19.65,87579.31,161527.26,21,DPD_1_30,14872.99
L0000011,2023-10,1563567.32,19.65,85214.06,85214.06,22,DPD_1_30,14872.99
L0000011,2023-11,1503956.68,19.65,85214.06,85214.06,21,DPD_1_30,14872.99
L0000011,2023-12,1443369.9,19.65,85214.06,85214.06,22,DPD_1_30,14872.99
L0000011,2024-01,1458666.49,19.65,85214.06,8338.6,53,DPD_31_60,91748.46
L0000011,2024-02,1393667.77,19.65,88497.35,88497.35,51,DPD_31_60,91748.46
L0000011,2024-03,1350714.94,19.65,88506.17,65389.35,51,DPD_31_60,114865.28
L0000011,2024-04,1234086.47,19.65,90147.14,138379.03,21,DPD_1_30,66633.39
L0000011,2024-05,1182428.29,19.65,88301.43,71866.35,22,DPD_1_30,83068.47
L0000011,2024-06,1054118.19,19.65,88411.99,147427.14,21,DPD_1_30,24053.32
L0000011,2024-07,976971.83,19.65,84866.36,94407.55,22,DPD_1_30,14512.13
L0000011,2024-08,930230.97,19.65,84045.56,62738.78,22,DPD_1_30,35818.92
L0000011,2024-09,828563.6,19.65,86015.74,116899.9,21,DPD_1_30,4934.75
L0000011,2024-10,759206.55,19.65,82924.77,82924.77,22,DPD_1_30,4934.75
L0000011,2024-11,686449.58,19.65,82924.77,85188.98,21,DPD_1_30,2670.55
L0000011,2024-12,612748.31,19.65,82652.15,84941.88,22,DPD_1_30,380.82
L0000011,2025-01,540437.62,19.65,82344.45,82344.45,22,DPD_1_30,380.82
L0000011,2025-02,466942.84,19.65,82344.45,82344.45,19,DPD_1_30,380.82
L0000011,2025-03,406984.27,19.65,82344.45,67604.77,22,DPD_1_30,15120.5
L0000011,2025-04,314810.01,19.65,85438.77,98838.63,21,DPD_1_30,1720.64
L0000011,2025-05,319965.02,19.65,81950.55,0.0,52,DPD_31_60,83671.19
L0000011,2025-06,276308.09,19.65,108391.95,48811.94,52,DPD_31_60,143251.2
L0000011,2025-07,280748.23,19.65,137497.02,0.0,83,DPD_61_90,280748.23
L0000011,2025-08,0.0,19.65,4440.13,285188.36,0,CURRENT,0.0
L0000012,2021-01,19477886.17,13.93,258109.61,165193.11,13,DPD_1_30,92916.5
L0000012,2021-02,19703292.99,13.93,258545.05,0.0,41,DPD_31_60,351461.54
L0000012,2021-03,19669712.77,13.93,258987.03,258987.03,41,DPD_31_60,351461.54
L0000012,2021-04,19491719.67,13.93,258998.76,403020.29,12,DPD_1_30,207440.01
L0000012,2021-05,19715972.37,13.93,258560.46,0.0,43,DPD_31_60,466000.47
L0000012,2021-06,19736883.89,13.93,259020.47,203341.18,73,DPD_61_90,521679.76
L0000012,2021-07,19960789.82,13.93,259086.22,0.0,104,DPD_90_PLUS,780765.98
L0000012,2021-08,19925136.11,13.93,259559.63,259559.63,105,DPD_90_PLUS,780765.98
L0000012,2021-09,19988958.3,13.93,259564.31,159673.89,104,DPD_90_PLUS,880656.39
L0000012,2021-10,19952408.77,13.93,260009.61,260009.61,105,DPD_90_PLUS,880656.39
L0000012,2021-11,19396427.88,13.93,260033.72,779037.39,43,DPD_31_60,361652.73
L0000012,2021-12,19015851.0,13.93,259085.62,602392.42,13,DPD_1_30,18345.94
L0000012,2022-01,19059927.67,13.93,258335.98,176665.67,13,DPD_1_30,100016.24
L0000012,2022-02,19280457.04,13.93,258597.98,0.0,41,DPD_31_60,358614.22
L0000012,2022-03,19500986.41,13.93,259117.22,0.0,72,DPD_61_90,617731.44
L0000012,2022-04,19721515.78,13.93,259644.61,0.0,102,DPD_90_PLUS,877376.05
L0000012,2022-05,18808486.71,13.93,260180.31,1133558.45,13,DPD_1_30,3997.92
L0000012,2022-06,18768691.52,13.93,258130.37,258130.37,12,DPD_1_30,3997.92
L0000012,2022-07,18728434.37,13.93,258130.37,258130.37,13,DPD_1_30,3997.92
L0000012,2022-08,18687709.91,13.93,258130.37,258130.37,13,DPD_1_30,3997.92
L0000012,2022-09,18646512.7,13.93,258130.37,258130.37,12,DPD_1_30,3997.92
L0000012,2022-10,18862967.63,13.93,258130.37,0.0,43,DPD_31_60,262128.29
L0000012,2022-11,18820713.97,13.93,258708.59,258708.59,43,DPD_31_60,262128.29
L0000012,2022-12,19036678.41,13.93,258708.59,0.0,74,DPD_61_90,520836.89
L0000012,2023-01,19252642.85,13.93,259304.36,0.0,105,DPD_90_PLUS,780141.25
L0000012,2023-02,18507260.57,13.93,259909.84,961346.73,10,DPD_1_30,78704.36
L0000012,2023-03,18576722.35,13.93,258680.16,144973.18,13,DPD_1_30,192411.34
