loan_id,origination_month_internal,lifecycle_seed,resolution_month_internal,terminal_event_internal,pre2021_inherited_state
L0000104,2021-10,700104,2025-03,EARLY_PREPAYMENT,CURRENT
L0000105,2023-07,700105,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000106,2019-06,700106,,OPEN_DEFAULT_AT_CUTOFF,SEVERE_DELINQUENCY
L0000107,2022-04,700107,2025-05,SCHEDULED_MATURITY,CURRENT
L0000108,2026-09,700108,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000109,2001-11,700109,2024-09,WRITE_OFF,EARLY_DELINQUENCY
L0000110,2005-07,700110,2010-04,EARLY_PREPAYMENT,CURRENT
L0000111,2009-04,700111,2026-10,SEVERE_RECOGNIZED_AT_CUTOFF,SEVERE_DELINQUENCY
L0000112,2010-10,700112,2022-08,WRITE_OFF,SEVERE_DELINQUENCY
L0000113,2014-10,700113,2026-08,WRITE_OFF,SEVERE_DELINQUENCY
L0000114,2019-10,700114,2025-09,SCHEDULED_MATURITY,CURRENT
L0000115,2008-01,700115,2013-02,SCHEDULED_MATURITY,CURRENT
L0000116,2009-12,700116,2013-10,SCHEDULED_MATURITY,CURRENT
L0000117,2010-06,700117,2014-03,EARLY_PREPAYMENT,CURRENT
L0000118,2011-08,700118,2012-11,SCHEDULED_MATURITY,CURRENT
L0000119,2015-10,700119,2018-12,SCHEDULED_MATURITY,CURRENT
L0000120,2016-05,700120,2016-05,EARLY_PREPAYMENT,CURRENT
L0000121,2019-05,700121,2020-05,EARLY_PREPAYMENT,CURRENT
L0000122,2002-04,700122,2022-01,WRITE_OFF,SEVERE_DELINQUENCY
L0000123,2004-10,700123,2014-12,SCHEDULED_MATURITY,CURRENT
L0000124,2005-11,700124,2005-11,EARLY_PREPAYMENT,CURRENT
L0000125,2006-08,700125,2007-01,EARLY_PREPAYMENT,CURRENT
L0000126,2007-07,700126,2008-06,SCHEDULED_MATURITY,CURRENT
L0000127,2009-05,700127,2011-03,SCHEDULED_MATURITY,CURRENT
L0000128,2011-10,700128,2018-09,EARLY_PREPAYMENT,EARLY_DELINQUENCY
L0000129,2021-11,700129,2024-01,EARLY_PREPAYMENT,CURRENT
L0000130,2000-02,700130,2001-02,SCHEDULED_MATURITY,CURRENT
L0000131,2007-05,700131,2024-10,EARLY_PREPAYMENT,EARLY_DELINQUENCY
L0000132,2011-07,700132,2017-06,SCHEDULED_MATURITY,CURRENT
L0000133,2021-05,700133,2022-07,SCHEDULED_MATURITY,CURRENT
L0000134,2021-02,700134,2024-08,EARLY_PREPAYMENT,CURRENT
L0000135,2022-09,700135,2024-05,EARLY_PREPAYMENT,CURRENT
L0000136,1998-06,700136,2002-10,SCHEDULED_MATURITY,CURRENT
L0000137,2001-04,700137,2026-05,SEVERE_RECOGNIZED_AT_CUTOFF,EARLY_DELINQUENCY
L0000138,2002-08,700138,2026-08,SEVERE_RECOGNIZED_AT_CUTOFF,SEVERE_DELINQUENCY
L0000139,2000-01,700139,2003-10,EARLY_PREPAYMENT,CURRENT
L0000140,2010-10,700140,2012-07,SCHEDULED_MATURITY,CURRENT
L0000141,2020-08,700141,2023-09,EARLY_PREPAYMENT,CURRENT
L0000142,2025-04,700142,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000143,2026-05,700143,2026-10,EARLY_PREPAYMENT,CURRENT
L0000144,2021-01,700144,2023-04,EARLY_PREPAYMENT,CURRENT
L0000145,2025-11,700145,2025-11,EARLY_PREPAYMENT,CURRENT
L0000146,2021-02,700146,2023-06,SCHEDULED_MATURITY,CURRENT
L0000147,2022-01,700147,2026-05,SEVERE_RECOGNIZED_AT_CUTOFF,CURRENT
L0000148,2023-10,700148,2026-07,EARLY_PREPAYMENT,CURRENT
L0000149,1998-11,700149,2003-05,EARLY_PREPAYMENT,CURRENT
L0000150,2000-08,700150,2025-05,EARLY_PREPAYMENT,CURRENT
L0000151,2003-04,700151,2003-04,EARLY_PREPAYMENT,CURRENT
L0000152,2013-08,700152,2023-12,EARLY_PREPAYMENT,CURRENT
L0000153,2020-09,700153,2023-01,EARLY_PREPAYMENT,CURRENT
L0000154,2021-01,700154,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000155,2024-02,700155,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000156,2019-04,700156,2022-02,SCHEDULED_MATURITY,CURRENT
L0000157,2020-04,700157,2023-10,WRITE_OFF,EARLY_DELINQUENCY
L0000158,2025-09,700158,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000159,2014-11,700159,2019-01,EARLY_PREPAYMENT,CURRENT
L0000160,2021-12,700160,2022-09,EARLY_PREPAYMENT,CURRENT
L0000161,2010-08,700161,,OPEN_DEFAULT_AT_CUTOFF,SEVERE_DELINQUENCY
L0000162,2015-06,700162,2017-11,SCHEDULED_MATURITY,CURRENT
L0000163,2018-08,700163,2023-09,SCHEDULED_MATURITY,CURRENT
L0000164,2019-12,700164,2020-03,EARLY_PREPAYMENT,CURRENT
L0000165,2020-04,700165,2022-08,SCHEDULED_MATURITY,CURRENT
L0000166,2023-07,700166,2026-10,SEVERE_RECOGNIZED_AT_CUTOFF,CURRENT
L0000167,2025-07,700167,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000168,2026-12,700168,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000169,2021-07,700169,2026-11,SCHEDULED_MATURITY,CURRENT
L0000170,2025-08,700170,,OPEN_DEFAULT_AT_CUTOFF,CURRENT
L0000171,2024-04,700171,2026-01,EARLY_PREPAYMENT,CURRENT
L0000172,2024-03,700172,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000173,2026-10,700173,2026-11,EARLY_PREPAYMENT,CURRENT
L0000174,2026-02,700174,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000175,2022-10,700175,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000176,2025-09,700176,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000177,2011-11,700177,2013-01,EARLY_PREPAYMENT,CURRENT
L0000178,2016-05,700178,2024-06,WRITE_OFF,SEVERE_DELINQUENCY
L0000179,2018-01,700179,2020-09,SCHEDULED_MATURITY,CURRENT
L0000180,2026-11,700180,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000181,2015-01,700181,2018-11,SCHEDULED_MATURITY,CURRENT
L0000182,2021-08,700182,2021-10,EARLY_PREPAYMENT,CURRENT
L0000183,2020-01,700183,2020-05,EARLY_PREPAYMENT,CURRENT
L0000184,2026-09,700184,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000185,2009-04,700185,2026-11,RESTRUCTURE_AFTER_DEFAULT,EARLY_DELINQUENCY
L0000186,2013-05,700186,2017-09,SCHEDULED_MATURITY,CURRENT
L0000187,2016-03,700187,,OPEN_SEVERE_AT_CUTOFF,CURRENT
L0000188,2012-01,700188,2014-04,SCHEDULED_MATURITY,CURRENT
L0000189,2014-07,700189,2020-01,EARLY_PREPAYMENT,CURRENT
L0000190,2017-01,700190,,OPEN_CURRENT_AT_CUTOFF,EARLY_DELINQUENCY
L0000191,2018-08,700191,2021-08,SCHEDULED_MATURITY,CURRENT
L0000192,2019-04,700192,2024-06,SCHEDULED_MATURITY,CURRENT
L0000193,2026-10,700193,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000194,2018-03,700194,2019-09,SCHEDULED_MATURITY,CURRENT
L0000195,2020-04,700195,2025-03,SCHEDULED_MATURITY,CURRENT
L0000196,2022-10,700196,2025-04,EARLY_PREPAYMENT,CURRENT
L0000197,2005-03,700197,2006-12,SCHEDULED_MATURITY,CURRENT
L0000198,2012-09,700198,2012-09,EARLY_PREPAYMENT,CURRENT
L0000199,2013-01,700199,2026-07,SEVERE_RECOGNIZED_AT_CUTOFF,SEVERE_DELINQUENCY
L0000200,2019-03,700200,,OPEN_DEFAULT_AT_CUTOFF,SEVERE_DELINQUENCY
L0000201,2022-08,700201,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000202,2017-08,700202,2017-08,FACILITY_EXPIRY,CURRENT
L0000203,2022-06,700203,2026-07,EARLY_PREPAYMENT,CURRENT
L0000204,2024-01,700204,2025-08,FACILITY_EXPIRY,CURRENT
L0000205,2025-05,700205,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000206,2025-11,700206,2026-01,EARLY_PREPAYMENT,CURRENT
L0000207,2026-02,700207,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000208,2012-10,700208,,OPEN_SEVERE_AT_CUTOFF,CURRENT
L0000209,2016-08,700209,2024-06,EARLY_PREPAYMENT,CURRENT
L0000210,2025-03,700210,2026-01,EARLY_PREPAYMENT,CURRENT
L0000211,2021-02,700211,,OPEN_DEFAULT_AT_CUTOFF,CURRENT
L0000212,2023-11,700212,2026-07,SEVERE_RECOGNIZED_AT_CUTOFF,CURRENT
L0000213,2024-06,700213,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000214,2025-06,700214,2026-07,EARLY_PREPAYMENT,CURRENT
L0000215,2025-08,700215,2026-04,EARLY_PREPAYMENT,CURRENT
L0000216,2021-11,700216,2022-04,EARLY_PREPAYMENT,CURRENT
L0000217,2020-07,700217,2024-05,WRITE_OFF,EARLY_DELINQUENCY
L0000218,2024-12,700218,2026-01,RESTRUCTURE_AFTER_DEFAULT,CURRENT
L0000219,2015-04,700219,,OPEN_SEVERE_AT_CUTOFF,EARLY_DELINQUENCY
L0000220,2022-07,700220,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000221,2026-01,700221,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000222,2023-01,700222,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000223,2023-04,700223,2026-07,SCHEDULED_MATURITY,CURRENT
L0000224,2026-03,700224,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000225,1999-03,700225,2001-04,SCHEDULED_MATURITY,CURRENT
L0000226,2002-04,700226,2026-09,RESTRUCTURE_AFTER_DEFAULT,EARLY_DELINQUENCY
L0000227,2004-11,700227,2023-03,WRITE_OFF,SEVERE_DELINQUENCY
L0000228,2005-12,700228,,OPEN_SEVERE_AT_CUTOFF,EARLY_DELINQUENCY
L0000229,2013-07,700229,2026-09,SEVERE_RECOGNIZED_AT_CUTOFF,SEVERE_DELINQUENCY
L0000230,2015-12,700230,2020-08,EARLY_PREPAYMENT,CURRENT
L0000231,2016-02,700231,2020-04,SCHEDULED_MATURITY,CURRENT
L0000232,2020-10,700232,2024-04,EARLY_PREPAYMENT,CURRENT
L0000233,2018-11,700233,2021-01,EARLY_PREPAYMENT,EARLY_DELINQUENCY
L0000234,2021-10,700234,2023-04,EARLY_PREPAYMENT,CURRENT
L0000235,2021-04,700235,2026-06,EARLY_PREPAYMENT,CURRENT
L0000236,2026-05,700236,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000237,2016-10,700237,2019-11,SCHEDULED_MATURITY,CURRENT
L0000238,2022-09,700238,2026-12,EARLY_PREPAYMENT,CURRENT
L0000239,2024-01,700239,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000240,2025-12,700240,2026-03,EARLY_PREPAYMENT,CURRENT
L0000241,2026-11,700241,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000242,2014-10,700242,2019-08,SCHEDULED_MATURITY,CURRENT
L0000243,2019-04,700243,2021-03,EARLY_PREPAYMENT,CURRENT
L0000244,2022-07,700244,2024-02,EARLY_PREPAYMENT,CURRENT
L0000245,2024-08,700245,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000246,2022-02,700246,2023-10,SCHEDULED_MATURITY,CURRENT
L0000247,2023-04,700247,2026-08,EARLY_PREPAYMENT,CURRENT
L0000248,2025-08,700248,2026-10,FACILITY_EXPIRY,CURRENT
L0000249,2015-02,700249,2015-03,EARLY_PREPAYMENT,CURRENT
L0000250,2019-12,700250,2024-07,EARLY_PREPAYMENT,CURRENT
L0000251,2021-01,700251,2023-03,SCHEDULED_MATURITY,CURRENT
L0000252,2024-02,700252,2026-03,SCHEDULED_MATURITY,CURRENT
L0000253,2024-05,700253,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000254,2026-03,700254,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000255,2024-12,700255,2026-08,RESTRUCTURE_AFTER_DEFAULT,CURRENT
L0000256,1999-09,700256,2003-11,SCHEDULED_MATURITY,CURRENT
L0000257,2001-02,700257,2005-09,SCHEDULED_MATURITY,CURRENT
L0000258,2012-04,700258,2013-06,SCHEDULED_MATURITY,CURRENT
L0000259,2017-08,700259,2021-05,EARLY_PREPAYMENT,EARLY_DELINQUENCY
L0000260,2018-06,700260,2019-01,SCHEDULED_MATURITY,CURRENT
L0000261,2022-05,700261,2026-02,EARLY_PREPAYMENT,CURRENT
L0000262,2021-03,700262,2025-10,SCHEDULED_MATURITY,CURRENT
L0000263,2021-04,700263,2026-12,SCHEDULED_MATURITY,CURRENT
L0000264,2023-12,700264,2026-07,SEVERE_RECOGNIZED_AT_CUTOFF,CURRENT
L0000265,2025-09,700265,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000266,2019-04,700266,2021-02,FACILITY_EXPIRY,CURRENT
L0000267,2022-03,700267,2026-02,WRITE_OFF,CURRENT
L0000268,2023-02,700268,2025-09,SCHEDULED_MATURITY,CURRENT
L0000269,2026-12,700269,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000270,2008-07,700270,2013-02,EARLY_PREPAYMENT,CURRENT
L0000271,2021-09,700271,2023-03,SCHEDULED_MATURITY,CURRENT
L0000272,2023-01,700272,2024-07,EARLY_PREPAYMENT,CURRENT
L0000273,2024-10,700273,,OPEN_DEFAULT_AT_CUTOFF,CURRENT
L0000274,2025-05,700274,2026-11,EARLY_PREPAYMENT,CURRENT
L0000275,2011-02,700275,2012-04,SCHEDULED_MATURITY,CURRENT
L0000276,2015-03,700276,2017-03,SCHEDULED_MATURITY,CURRENT
L0000277,2017-10,700277,2018-09,SCHEDULED_MATURITY,CURRENT
L0000278,2023-12,700278,2024-12,SCHEDULED_MATURITY,CURRENT
L0000279,2009-03,700279,,OPEN_DEFAULT_AT_CUTOFF,EARLY_DELINQUENCY
L0000280,2014-10,700280,2015-05,FACILITY_EXPIRY,CURRENT
L0000281,2018-10,700281,2020-08,SCHEDULED_MATURITY,CURRENT
L0000282,2019-05,700282,2021-11,SCHEDULED_MATURITY,CURRENT
L0000283,2025-04,700283,2026-07,SEVERE_RECOGNIZED_AT_CUTOFF,CURRENT
L0000284,2014-06,700284,2015-07,SCHEDULED_MATURITY,CURRENT
L0000285,2017-05,700285,2017-05,EARLY_PREPAYMENT,CURRENT
L0000286,2021-08,700286,2023-06,SCHEDULED_MATURITY,CURRENT
L0000287,2022-09,700287,2024-08,EARLY_PREPAYMENT,CURRENT
L0000288,2023-04,700288,2026-02,EARLY_PREPAYMENT,CURRENT
L0000289,2002-01,700289,2006-08,SCHEDULED_MATURITY,CURRENT
L0000290,2006-09,700290,2011-02,EARLY_PREPAYMENT,CURRENT
L0000291,2011-03,700291,2016-02,SCHEDULED_MATURITY,CURRENT
L0000292,2012-02,700292,,OPEN_DEFAULT_AT_CUTOFF,EARLY_DELINQUENCY
L0000293,2013-07,700293,2023-09,SCHEDULED_MATURITY,CURRENT
L0000294,2017-08,700294,2019-12,SCHEDULED_MATURITY,CURRENT
L0000295,2022-04,700295,2024-01,EARLY_PREPAYMENT,CURRENT
L0000296,2025-08,700296,2025-08,EARLY_PREPAYMENT,CURRENT
L0000297,2025-09,700297,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000298,2017-05,700298,2019-11,SCHEDULED_MATURITY,EARLY_DELINQUENCY
L0000299,2019-08,700299,2024-04,EARLY_PREPAYMENT,CURRENT
L0000300,2021-12,700300,2026-03,RESTRUCTURE_AFTER_DEFAULT,CURRENT
L0000301,2024-03,700301,,OPEN_SEVERE_AT_CUTOFF,CURRENT
L0000302,2025-04,700302,2026-10,RESTRUCTURE_AFTER_DEFAULT,CURRENT
L0000303,2003-12,700303,2008-12,SCHEDULED_MATURITY,CURRENT
L0000304,2006-01,700304,2026-05,FACILITY_EXPIRY,CURRENT
L0000305,2007-05,700305,2012-08,SCHEDULED_MATURITY,CURRENT
L0000306,2009-04,700306,2012-11,SCHEDULED_MATURITY,CURRENT
L0000307,2013-07,700307,2020-08,SCHEDULED_MATURITY,CURRENT
L0000308,2016-07,700308,2018-11,SCHEDULED_MATURITY,CURRENT
L0000309,2018-07,700309,2026-08,SEVERE_RECOGNIZED_AT_CUTOFF,EARLY_DELINQUENCY
L0000310,2019-09,700310,2019-09,EARLY_PREPAYMENT,CURRENT
L0000311,2024-10,700311,2026-12,EARLY_PREPAYMENT,CURRENT
L0000312,2010-09,700312,2016-08,SCHEDULED_MATURITY,CURRENT
L0000313,2016-08,700313,2018-09,SCHEDULED_MATURITY,CURRENT
L0000314,2022-07,700314,2024-01,EARLY_PREPAYMENT,CURRENT
L0000315,2026-09,700315,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000316,1998-07,700316,1998-09,EARLY_PREPAYMENT,CURRENT
L0000317,2001-11,700317,,OPEN_DEFAULT_AT_CUTOFF,SEVERE_DELINQUENCY
L0000318,2011-11,700318,2026-08,WRITE_OFF,SEVERE_DELINQUENCY
L0000319,2022-03,700319,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000320,2023-08,700320,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000321,2020-12,700321,2021-07,FACILITY_EXPIRY,EARLY_DELINQUENCY
L0000322,2026-07,700322,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000323,2022-03,700323,2026-08,EARLY_PREPAYMENT,CURRENT
L0000324,2024-04,700324,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000325,2026-03,700325,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000326,2008-12,700326,2010-06,EARLY_PREPAYMENT,CURRENT
L0000327,2026-06,700327,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000328,2020-11,700328,,OPEN_SEVERE_AT_CUTOFF,EARLY_DELINQUENCY
L0000329,2023-09,700329,2024-01,EARLY_PREPAYMENT,CURRENT
L0000330,2008-04,700330,2016-02,EARLY_PREPAYMENT,CURRENT
L0000331,2014-02,700331,,OPEN_SEVERE_AT_CUTOFF,EARLY_DELINQUENCY
L0000332,2010-10,700332,2022-12,WRITE_OFF,SEVERE_DELINQUENCY
L0000333,2020-09,700333,2022-04,EARLY_PREPAYMENT,CURRENT
L0000334,2025-12,700334,2026-10,EARLY_PREPAYMENT,CURRENT
L0000335,2025-12,700335,2026-12,EARLY_PREPAYMENT,CURRENT
L0000336,2019-08,700336,2025-02,EARLY_PREPAYMENT,CURRENT
L0000337,2023-03,700337,2024-03,SCHEDULED_MATURITY,CURRENT
L0000338,2026-02,700338,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000339,2017-03,700339,2019-11,SCHEDULED_MATURITY,CURRENT
L0000340,2022-09,700340,2024-02,EARLY_PREPAYMENT,CURRENT
L0000341,2003-01,700341,2004-05,SCHEDULED_MATURITY,CURRENT
