campaign_id,customer_id,selection_date,exposure_status,exposure_date,response_status,response_date
M001,C0014549,2021-02-07,EXPOSED,2021-03-11,NO_RESPONSE,
M001,C0014664,2021-02-07,NOT_EXPOSED,,,
M001,C0017132,2021-02-07,EXPOSED,2021-03-11,NO_RESPONSE,
M001,C0017191,2021-02-07,EXPOSED,2021-04-04,NEUTRAL,2021-04-10
M001,C0017406,2021-02-07,NOT_EXPOSED,,,
M001,C0002427,2021-02-08,EXPOSED,2021-02-20,NEUTRAL,2021-02-24
M001,C0006728,2021-02-08,NOT_EXPOSED,,,
M001,C0006920,2021-02-08,EXPOSED,2021-03-16,POSITIVE,2021-03-20
M001,C0016534,2021-02-08,EXPOSED,2021-03-09,NO_RESPONSE,
M001,C0019283,2021-02-08,EXPOSED,2021-02-25,NO_RESPONSE,
M001,C0004656,2021-02-09,EXPOSED,2021-03-05,NO_RESPONSE,
M001,C0008815,2021-02-09,EXPOSED,2021-04-06,NO_RESPONSE,
M001,C0010761,2021-02-09,NOT_EXPOSED,,,
M001,C0012042,2021-02-09,EXPOSED,2021-04-05,NO_RESPONSE,
M001,C0015416,2021-02-09,NOT_EXPOSED,,,
M001,C0016489,2021-02-09,EXPOSED,2021-02-15,NO_RESPONSE,
M001,C0019457,2021-02-09,EXPOSED,2021-03-31,POSITIVE,2021-04-04
M001,C0003396,2021-02-10,EXPOSED,2021-03-02,NO_RESPONSE,
M001,C0003937,2021-02-10,EXPOSED,2021-04-10,NO_RESPONSE,
M001,C0008584,2021-02-10,EXPOSED,2021-03-26,NO_RESPONSE,
M001,C0009023,2021-02-10,EXPOSED,2021-04-02,NO_RESPONSE,
M001,C0010359,2021-02-10,EXPOSED,2021-04-10,NO_RESPONSE,
M001,C0011351,2021-02-10,EXPOSED,2021-02-19,NO_RESPONSE,
M001,C0011977,2021-02-10,EXPOSED,2021-04-01,NO_RESPONSE,
M001,C0013862,2021-02-10,EXPOSED,2021-03-14,NEUTRAL,2021-03-16
M001,C0015997,2021-02-10,EXPOSED,2021-02-17,NO_RESPONSE,
M001,C0001996,2021-02-11,EXPOSED,2021-04-06,NO_RESPONSE,
M001,C0002402,2021-02-11,EXPOSED,2021-03-10,NO_RESPONSE,
M001,C0003799,2021-02-11,EXPOSED,2021-02-15,NO_RESPONSE,
M001,C0010868,2021-02-11,EXPOSED,2021-03-01,NO_RESPONSE,
M001,C0016289,2021-02-11,EXPOSED,2021-03-19,POSITIVE,2021-03-21
M001,C0017466,2021-02-11,EXPOSED,2021-03-16,POSITIVE,2021-03-19
M001,C0017906,2021-02-11,EXPOSED,2021-03-20,NEUTRAL,2021-03-27
M001,C0000383,2021-02-12,NOT_EXPOSED,,,
M001,C0001291,2021-02-12,EXPOSED,2021-03-04,NO_RESPONSE,
M001,C0006162,2021-02-12,EXPOSED,2021-03-10,NO_RESPONSE,
M001,C0009913,2021-02-12,EXPOSED,2021-03-24,NO_RESPONSE,
M001,C0011243,2021-02-12,NOT_EXPOSED,,,
M001,C0014932,2021-02-12,EXPOSED,2021-03-28,NO_RESPONSE,
M001,C0002631,2021-02-13,EXPOSED,2021-03-29,NO_RESPONSE,
M001,C0005505,2021-02-13,NOT_EXPOSED,,,
M001,C0007305,2021-02-13,EXPOSED,2021-02-25,NO_RESPONSE,
M001,C0012602,2021-02-13,EXPOSED,2021-04-03,NO_RESPONSE,
M001,C0017781,2021-02-13,EXPOSED,2021-02-28,NO_RESPONSE,
M001,C0001432,2021-02-14,EXPOSED,2021-03-25,NO_RESPONSE,
M001,C0004314,2021-02-14,EXPOSED,2021-02-19,NO_RESPONSE,
M001,C0006083,2021-02-14,EXPOSED,2021-03-21,NO_RESPONSE,
M001,C0006402,2021-02-14,EXPOSED,2021-02-24,NO_RESPONSE,
M001,C0009336,2021-02-14,EXPOSED,2021-03-18,POSITIVE,2021-03-20
M001,C0010467,2021-02-14,EXPOSED,2021-04-17,NO_RESPONSE,
M001,C0015206,2021-02-14,EXPOSED,2021-03-27,NO_RESPONSE,
M001,C0018223,2021-02-14,EXPOSED,2021-02-14,NO_RESPONSE,
M001,C0001598,2021-02-15,EXPOSED,2021-03-15,NO_RESPONSE,
M001,C0003075,2021-02-15,EXPOSED,2021-03-07,NO_RESPONSE,
M001,C0005132,2021-02-15,EXPOSED,2021-03-16,NO_RESPONSE,
M001,C0005798,2021-02-15,EXPOSED,2021-03-28,NO_RESPONSE,
M001,C0006694,2021-02-15,EXPOSED,2021-03-27,NO_RESPONSE,
M001,C0007256,2021-02-15,EXPOSED,2021-04-01,NO_RESPONSE,
M001,C0010828,2021-02-15,EXPOSED,2021-02-26,NO_RESPONSE,
M001,C0012169,2021-02-15,EXPOSED,2021-02-26,NO_RESPONSE,
M001,C0012502,2021-02-15,EXPOSED,2021-03-08,POSITIVE,2021-03-09
M001,C0013832,2021-02-15,EXPOSED,2021-03-04,NO_RESPONSE,
M001,C0014301,2021-02-15,EXPOSED,2021-03-13,NO_RESPONSE,
M001,C0016466,2021-02-15,EXPOSED,2021-03-13,POSITIVE,2021-03-19
M001,C0017094,2021-02-15,EXPOSED,2021-03-13,NEUTRAL,2021-03-16
M001,C0001548,2021-02-16,EXPOSED,2021-03-16,NO_RESPONSE,
M001,C0005184,2021-02-16,EXPOSED,2021-03-29,POSITIVE,2021-04-08
M001,C0005614,2021-02-16,EXPOSED,2021-03-31,NO_RESPONSE,
M001,C0006404,2021-02-16,EXPOSED,2021-03-10,NO_RESPONSE,
M001,C0006539,2021-02-16,EXPOSED,2021-04-11,NO_RESPONSE,
M001,C0011818,2021-02-16,NOT_EXPOSED,,,
M001,C0013112,2021-02-16,EXPOSED,2021-02-18,NO_RESPONSE,
M001,C0013514,2021-02-16,EXPOSED,2021-03-15,NO_RESPONSE,
M001,C0013899,2021-02-16,EXPOSED,2021-02-20,NEGATIVE,2021-02-24
M001,C0014590,2021-02-16,EXPOSED,2021-03-12,NO_RESPONSE,
M001,C0014663,2021-02-16,EXPOSED,2021-03-01,NO_RESPONSE,
M001,C0015033,2021-02-16,EXPOSED,2021-03-09,NEGATIVE,2021-03-12
M001,C0015688,2021-02-16,EXPOSED,2021-03-18,NO_RESPONSE,
M001,C0000235,2021-02-17,EXPOSED,2021-02-20,NO_RESPONSE,
M001,C0002758,2021-02-17,EXPOSED,2021-04-03,NO_RESPONSE,
M001,C0003081,2021-02-17,EXPOSED,2021-02-17,NO_RESPONSE,
M001,C0006975,2021-02-17,EXPOSED,2021-03-11,NO_RESPONSE,
M001,C0007147,2021-02-17,EXPOSED,2021-02-25,NEUTRAL,2021-03-03
M001,C0008568,2021-02-17,EXPOSED,2021-03-06,NO_RESPONSE,
M001,C0013343,2021-02-17,EXPOSED,2021-03-01,NO_RESPONSE,
M001,C0013466,2021-02-17,EXPOSED,2021-03-20,NO_RESPONSE,
M001,C0017539,2021-02-17,NOT_EXPOSED,,,
M001,C0017842,2021-02-17,EXPOSED,2021-04-08,NO_RESPONSE,
M001,C0001648,2021-02-18,EXPOSED,2021-04-01,POSITIVE,2021-04-05
M001,C0004783,2021-02-18,EXPOSED,2021-03-28,NO_RESPONSE,
M001,C0005309,2021-02-18,EXPOSED,2021-03-12,NO_RESPONSE,
M001,C0005639,2021-02-18,EXPOSED,2021-03-13,NO_RESPONSE,
M001,C0009906,2021-02-18,EXPOSED,2021-04-06,POSITIVE,2021-04-18
M001,C0011840,2021-02-18,EXPOSED,2021-02-28,NO_RESPONSE,
M001,C0012882,2021-02-18,EXPOSED,2021-04-17,POSITIVE,2021-04-18
M001,C0014556,2021-02-18,EXPOSED,2021-03-28,POSITIVE,2021-04-01
M001,C0015576,2021-02-18,EXPOSED,2021-04-10,POSITIVE,2021-04-13
M001,C0015742,2021-02-18,EXPOSED,2021-03-02,NO_RESPONSE,
M001,C0017213,2021-02-18,EXPOSED,2021-02-19,NO_RESPONSE,
M001,C0000204,2021-02-19,EXPOSED,2021-04-15,NO_RESPONSE,
M001,C0000222,2021-02-19,EXPOSED,2021-03-14,NO_RESPONSE,
M001,C0003691,2021-02-19,EXPOSED,2021-04-25,NO_RESPONSE,
M001,C0006163,2021-02-19,EXPOSED,2021-04-06,NO_RESPONSE,
M001,C0008375,2021-02-19,EXPOSED,2021-04-22,NO_RESPONSE,
M001,C0008415,2021-02-19,EXPOSED,2021-03-27,POSITIVE,2021-03-30
M001,C0008630,2021-02-19,EXPOSED,2021-04-05,POSITIVE,2021-04-09
M001,C0009053,2021-02-19,EXPOSED,2021-04-10,NO_RESPONSE,
M001,C0011272,2021-02-19,EXPOSED,2021-02-24,NO_RESPONSE,
M001,C0012043,2021-02-19,EXPOSED,2021-03-16,NO_RESPONSE,
M001,C0015138,2021-02-19,EXPOSED,2021-04-07,NO_RESPONSE,
M001,C0015276,2021-02-19,EXPOSED,2021-04-12,NEUTRAL,2021-04-22
M001,C0016615,2021-02-19,EXPOSED,2021-02-21,NEGATIVE,2021-03-02
M001,C0003365,2021-02-20,EXPOSED,2021-03-16,NO_RESPONSE,
M001,C0004389,2021-02-20,EXPOSED,2021-04-05,NEUTRAL,2021-04-05
M001,C0005204,2021-02-20,EXPOSED,2021-04-01,NO_RESPONSE,
M001,C0005880,2021-02-20,EXPOSED,2021-04-05,NO_RESPONSE,
M001,C0007730,2021-02-20,EXPOSED,2021-02-25,NO_RESPONSE,
M001,C0010480,2021-02-20,EXPOSED,2021-03-20,NO_RESPONSE,
M001,C0013052,2021-02-20,NOT_EXPOSED,,,
M001,C0013484,2021-02-20,EXPOSED,2021-03-04,NEUTRAL,2021-03-08
M001,C0016121,2021-02-20,NOT_EXPOSED,,,
M001,C0017800,2021-02-20,EXPOSED,2021-03-29,NO_RESPONSE,
M001,C0002637,2021-02-21,EXPOSED,2021-03-02,NO_RESPONSE,
M001,C0003614,2021-02-21,EXPOSED,2021-03-01,NO_RESPONSE,
M001,C0005015,2021-02-21,EXPOSED,2021-03-15,NO_RESPONSE,
M001,C0005319,2021-02-21,NOT_EXPOSED,,,
M001,C0006323,2021-02-21,EXPOSED,2021-03-13,NO_RESPONSE,
M001,C0006421,2021-02-21,NOT_EXPOSED,,,
M001,C0006913,2021-02-21,EXPOSED,2021-03-24,NO_RESPONSE,
M001,C0007164,2021-02-21,EXPOSED,2021-02-22,NO_RESPONSE,
M001,C0009815,2021-02-21,EXPOSED,2021-03-30,NEUTRAL,2021-04-08
M001,C0010479,2021-02-21,EXPOSED,2021-03-16,NO_RESPONSE,
M001,C0010713,2021-02-21,EXPOSED,2021-03-07,NO_RESPONSE,
M001,C0011677,2021-02-21,EXPOSED,2021-02-28,NO_RESPONSE,
M001,C0012966,2021-02-21,EXPOSED,2021-03-26,NO_RESPONSE,
M001,C0015616,2021-02-21,EXPOSED,2021-02-24,NO_RESPONSE,
M001,C0015797,2021-02-21,EXPOSED,2021-03-23,NO_RESPONSE,
M001,C0016191,2021-02-21,EXPOSED,2021-03-13,NO_RESPONSE,
M001,C0018518,2021-02-21,EXPOSED,2021-03-29,NO_RESPONSE,
M001,C0019687,2021-02-21,EXPOSED,2021-03-23,NO_RESPONSE,
M001,C0000343,2021-02-22,NOT_EXPOSED,,,
M001,C0006581,2021-02-22,EXPOSED,2021-03-04,NO_RESPONSE,
M001,C0007664,2021-02-22,EXPOSED,2021-04-12,NO_RESPONSE,
M001,C0009239,2021-02-22,NOT_EXPOSED,,,
M001,C0014996,2021-02-22,EXPOSED,2021-04-06,NO_RESPONSE,
M001,C0019733,2021-02-22,EXPOSED,2021-03-10,NEUTRAL,2021-03-11
M001,C0000023,2021-02-23,EXPOSED,2021-03-13,NO_RESPONSE,
M001,C0001011,2021-02-23,NOT_EXPOSED,,,
M001,C0001897,2021-02-23,EXPOSED,2021-03-18,NO_RESPONSE,
M001,C0003532,2021-02-23,EXPOSED,2021-02-25,NO_RESPONSE,
M001,C0004791,2021-02-23,EXPOSED,2021-03-26,NO_RESPONSE,
M001,C0005692,2021-02-23,NOT_EXPOSED,,,
M001,C0007393,2021-02-23,EXPOSED,2021-04-03,NO_RESPONSE,
M001,C0011810,2021-02-23,EXPOSED,2021-03-24,NO_RESPONSE,
M001,C0013353,2021-02-23,EXPOSED,2021-02-28,NO_RESPONSE,
M001,C0015945,2021-02-23,EXPOSED,2021-04-06,NO_RESPONSE,
M001,C0016418,2021-02-23,EXPOSED,2021-04-02,NO_RESPONSE,
M001,C0016927,2021-02-23,EXPOSED,2021-03-09,NO_RESPONSE,
M001,C0018080,2021-02-23,EXPOSED,2021-03-31,NEUTRAL,2021-04-05
M001,C0018285,2021-02-23,EXPOSED,2021-03-11,NO_RESPONSE,
M001,C0003705,2021-02-24,EXPOSED,2021-03-17,NEUTRAL,2021-03-20
M001,C0004916,2021-02-24,EXPOSED,2021-04-04,NO_RESPONSE,
M001,C0005666,2021-02-24,EXPOSED,2021-03-19,NEUTRAL,2021-03-24
M001,C0006983,2021-02-24,EXPOSED,2021-04-17,NO_RESPONSE,
M001,C0008350,2021-02-24,EXPOSED,2021-03-05,NEUTRAL,2021-03-07
M001,C0010504,2021-02-24,EXPOSED,2021-04-10,NO_RESPONSE,
M001,C0011781,2021-02-24,EXPOSED,2021-04-03,NO_RESPONSE,
M001,C0012958,2021-02-24,EXPOSED,2021-03-22,NEUTRAL,2021-03-26
M001,C0013704,2021-02-24,EXPOSED,2021-03-31,NO_RESPONSE,
M001,C0014169,2021-02-24,EXPOSED,2021-03-26,NO_RESPONSE,
M001,C0018026,2021-02-24,EXPOSED,2021-03-02,NO_RESPONSE,
M001,C0018953,2021-02-24,EXPOSED,2021-03-06,NO_RESPONSE,
M001,C0019236,2021-02-24,EXPOSED,2021-03-26,NO_RESPONSE,
M001,C0000289,2021-02-25,EXPOSED,2021-03-17,NEUTRAL,2021-03-31
M001,C0000396,2021-02-25,EXPOSED,2021-03-29,NEUTRAL,2021-04-01
M001,C0000817,2021-02-25,EXPOSED,2021-03-21,NO_RESPONSE,
M001,C0008097,2021-02-25,EXPOSED,2021-04-13,NO_RESPONSE,
M001,C0012591,2021-02-25,EXPOSED,2021-03-06,NO_RESPONSE,
M001,C0013547,2021-02-25,EXPOSED,2021-03-01,NO_RESPONSE,
M001,C0013772,2021-02-25,NOT_EXPOSED,,,
M001,C0016027,2021-02-25,EXPOSED,2021-03-02,NO_RESPONSE,
M001,C0005005,2021-02-26,NOT_EXPOSED,,,
M001,C0007091,2021-02-26,EXPOSED,2021-02-28,NO_RESPONSE,
M001,C0007464,2021-02-26,EXPOSED,2021-03-14,NO_RESPONSE,
M001,C0010668,2021-02-26,EXPOSED,2021-04-12,NO_RESPONSE,
M001,C0011314,2021-02-26,NOT_EXPOSED,,,
M001,C0012468,2021-02-26,EXPOSED,2021-03-05,NO_RESPONSE,
M001,C0015374,2021-02-26,EXPOSED,2021-03-14,NO_RESPONSE,
M001,C0019816,2021-02-26,EXPOSED,2021-03-16,NO_RESPONSE,
M001,C0019920,2021-02-26,EXPOSED,2021-03-19,NO_RESPONSE,
M001,C0006790,2021-02-27,EXPOSED,2021-03-12,NO_RESPONSE,
M001,C0009702,2021-02-27,EXPOSED,2021-03-01,NO_RESPONSE,
M001,C0012192,2021-02-27,NOT_EXPOSED,,,
M001,C0018033,2021-02-27,NOT_EXPOSED,,,
M001,C0019242,2021-02-27,EXPOSED,2021-04-10,NO_RESPONSE,
M001,C0002209,2021-02-28,NOT_EXPOSED,,,
M001,C0003545,2021-02-28,EXPOSED,2021-03-29,NO_RESPONSE,
M001,C0004816,2021-02-28,EXPOSED,2021-03-02,NO_RESPONSE,
M001,C0006001,2021-02-28,EXPOSED,2021-03-29,POSITIVE,2021-04-03
M001,C0008278,2021-02-28,NOT_EXPOSED,,,
M001,C0008607,2021-02-28,NOT_EXPOSED,,,
M001,C0010535,2021-02-28,EXPOSED,2021-03-02,NO_RESPONSE,
M001,C0016618,2021-02-28,EXPOSED,2021-03-24,NO_RESPONSE,
M001,C0017316,2021-02-28,NOT_EXPOSED,,,
M001,C0017542,2021-02-28,EXPOSED,2021-03-31,NO_RESPONSE,
M001,C0018481,2021-02-28,EXPOSED,2021-03-20,NO_RESPONSE,
M001,C0018581,2021-02-28,NOT_EXPOSED,,,
M001,C0018976,2021-02-28,NOT_EXPOSED,,,
M001,C0000362,2021-03-01,EXPOSED,2021-03-07,NO_RESPONSE,
M001,C0001874,2021-03-01,EXPOSED,2021-04-10,NO_RESPONSE,
M001,C0005600,2021-03-01,EXPOSED,2021-03-01,NO_RESPONSE,
M001,C0005895,2021-03-01,EXPOSED,2021-03-29,NO_RESPONSE,
M001,C0006368,2021-03-01,EXPOSED,2021-03-24,NEUTRAL,2021-03-29
M001,C0007063,2021-03-01,NOT_EXPOSED,,,
M001,C0008300,2021-03-01,NOT_EXPOSED,,,
M001,C0013938,2021-03-01,EXPOSED,2021-03-15,NO_RESPONSE,
M001,C0014197,2021-03-01,EXPOSED,2021-03-02,POSITIVE,2021-03-23
M001,C0014259,2021-03-01,EXPOSED,2021-03-14,NEGATIVE,2021-03-16
M001,C0014679,2021-03-01,NOT_EXPOSED,,,
M001,C0019584,2021-03-01,EXPOSED,2021-03-27,NO_RESPONSE,
M001,C0019791,2021-03-01,EXPOSED,2021-03-10,NO_RESPONSE,
M001,C0001581,2021-03-02,EXPOSED,2021-04-14,POSITIVE,2021-04-26
M001,C0003526,2021-03-02,EXPOSED,2021-03-29,NO_RESPONSE,
M001,C0005035,2021-03-02,EXPOSED,2021-03-05,POSITIVE,2021-03-11
M001,C0007236,2021-03-02,EXPOSED,2021-04-10,NO_RESPONSE,
M001,C0008525,2021-03-02,NOT_EXPOSED,,,
M001,C0008830,2021-03-02,EXPOSED,2021-04-07,NO_RESPONSE,
M001,C0000182,2021-03-03,NOT_EXPOSED,,,
M001,C0001998,2021-03-03,EXPOSED,2021-03-26,NO_RESPONSE,
M001,C0003788,2021-03-03,EXPOSED,2021-03-20,POSITIVE,2021-03-21
M001,C0005042,2021-03-03,EXPOSED,2021-04-02,NO_RESPONSE,
M001,C0005254,2021-03-03,EXPOSED,2021-03-30,NO_RESPONSE,
M001,C0005496,2021-03-03,EXPOSED,2021-04-23,NO_RESPONSE,
M001,C0005738,2021-03-03,NOT_EXPOSED,,,
M001,C0008633,2021-03-03,EXPOSED,2021-03-04,NO_RESPONSE,
M001,C0009200,2021-03-03,NOT_EXPOSED,,,
M001,C0013758,2021-03-03,EXPOSED,2021-03-31,NO_RESPONSE,
M001,C0019194,2021-03-03,EXPOSED,2021-03-17,NO_RESPONSE,
M001,C0019408,2021-03-03,EXPOSED,2021-04-03,NO_RESPONSE,
M001,C0000105,2021-03-04,EXPOSED,2021-03-25,NO_RESPONSE,
M001,C0003182,2021-03-04,EXPOSED,2021-04-07,NO_RESPONSE,
M001,C0004899,2021-03-04,NOT_EXPOSED,,,
M001,C0006929,2021-03-04,EXPOSED,2021-03-30,NO_RESPONSE,
M001,C0009312,2021-03-04,EXPOSED,2021-03-25,NO_RESPONSE,
M001,C0011295,2021-03-04,EXPOSED,2021-04-03,POSITIVE,2021-04-10
M001,C0016600,2021-03-04,EXPOSED,2021-03-15,NO_RESPONSE,
M001,C0019597,2021-03-04,EXPOSED,2021-03-22,NO_RESPONSE,
M001,C0019863,2021-03-04,EXPOSED,2021-03-25,NO_RESPONSE,
M001,C0003427,2021-03-05,EXPOSED,2021-04-05,NO_RESPONSE,
M001,C0004951,2021-03-05,EXPOSED,2021-03-12,NO_RESPONSE,
M001,C0005978,2021-03-05,NOT_EXPOSED,,,
M001,C0007718,2021-03-05,EXPOSED,2021-04-18,POSITIVE,2021-04-26
M001,C0008022,2021-03-05,EXPOSED,2021-03-30,NO_RESPONSE,
M001,C0011482,2021-03-05,EXPOSED,2021-03-23,NO_RESPONSE,
M001,C0011898,2021-03-05,EXPOSED,2021-04-05,NO_RESPONSE,
M001,C0014279,2021-03-05,EXPOSED,2021-04-09,POSITIVE,2021-04-14
M001,C0015417,2021-03-05,NOT_EXPOSED,,,
M001,C0016216,2021-03-05,EXPOSED,2021-04-04,NO_RESPONSE,
M001,C0018528,2021-03-05,EXPOSED,2021-03-17,NO_RESPONSE,
M001,C0018548,2021-03-05,EXPOSED,2021-03-28,NO_RESPONSE,
M001,C0001206,2021-03-06,EXPOSED,2021-04-19,NEUTRAL,2021-04-28
M001,C0003128,2021-03-06,EXPOSED,2021-03-07,NEGATIVE,2021-03-10
M001,C0005916,2021-03-06,NOT_EXPOSED,,,
M001,C0008806,2021-03-06,EXPOSED,2021-04-08,NEGATIVE,2021-04-12
M001,C0009962,2021-03-06,EXPOSED,2021-03-16,NO_RESPONSE,
M001,C0011564,2021-03-06,EXPOSED,2021-03-20,NO_RESPONSE,
M001,C0011928,2021-03-06,EXPOSED,2021-03-19,POSITIVE,2021-03-21
M001,C0014992,2021-03-06,EXPOSED,2021-03-21,NO_RESPONSE,
M001,C0015578,2021-03-06,EXPOSED,2021-03-09,NO_RESPONSE,
M001,C0017105,2021-03-06,EXPOSED,2021-03-24,NO_RESPONSE,
M001,C0000670,2021-03-07,EXPOSED,2021-04-16,NO_RESPONSE,
M001,C0001052,2021-03-07,EXPOSED,2021-03-24,NO_RESPONSE,
M001,C0001706,2021-03-07,EXPOSED,2021-03-12,POSITIVE,2021-03-15
M001,C0003384,2021-03-07,EXPOSED,2021-03-16,NO_RESPONSE,
M001,C0005503,2021-03-07,EXPOSED,2021-03-20,NO_RESPONSE,
M001,C0007862,2021-03-07,EXPOSED,2021-04-23,NO_RESPONSE,
M001,C0008423,2021-03-07,NOT_EXPOSED,,,
M001,C0012164,2021-03-07,EXPOSED,2021-04-18,NO_RESPONSE,
M001,C0012175,2021-03-07,EXPOSED,2021-03-10,NO_RESPONSE,
M001,C0013414,2021-03-07,EXPOSED,2021-03-08,NO_RESPONSE,
M001,C0016045,2021-03-07,EXPOSED,2021-03-17,NEGATIVE,2021-03-18
M001,C0018462,2021-03-07,NOT_EXPOSED,,,
M001,C0019308,2021-03-07,EXPOSED,2021-04-18,NO_RESPONSE,
M001,C0002491,2021-03-08,EXPOSED,2021-03-26,NO_RESPONSE,
M001,C0014101,2021-03-08,EXPOSED,2021-04-08,NO_RESPONSE,
M001,C0014926,2021-03-08,EXPOSED,2021-03-13,NO_RESPONSE,
M001,C0015104,2021-03-08,EXPOSED,2021-03-24,NEUTRAL,2021-03-30
M001,C0015575,2021-03-08,EXPOSED,2021-03-24,POSITIVE,2021-04-01
M001,C0018900,2021-03-08,EXPOSED,2021-04-07,NO_RESPONSE,
M001,C0000768,2021-03-09,EXPOSED,2021-03-24,NO_RESPONSE,
M001,C0001038,2021-03-09,EXPOSED,2021-03-17,POSITIVE,2021-03-23
M001,C0006110,2021-03-09,NOT_EXPOSED,,,
M001,C0006220,2021-03-09,EXPOSED,2021-04-14,NO_RESPONSE,
M001,C0009406,2021-03-09,EXPOSED,2021-03-19,NEUTRAL,2021-03-19
M001,C0010917,2021-03-09,EXPOSED,2021-03-12,NO_RESPONSE,
M001,C0012541,2021-03-09,EXPOSED,2021-03-29,NEUTRAL,2021-04-01
M001,C0014168,2021-03-09,NOT_EXPOSED,,,
M001,C0017476,2021-03-09,EXPOSED,2021-03-18,NO_RESPONSE,
M001,C0000709,2021-03-10,EXPOSED,2021-03-27,NO_RESPONSE,
M001,C0003522,2021-03-10,EXPOSED,2021-04-14,POSITIVE,2021-04-16
M001,C0004972,2021-03-10,EXPOSED,2021-04-09,POSITIVE,2021-04-20
M001,C0005714,2021-03-10,EXPOSED,2021-03-10,NO_RESPONSE,
M001,C0009207,2021-03-10,EXPOSED,2021-03-13,NO_RESPONSE,
M001,C0010119,2021-03-10,EXPOSED,2021-03-11,NO_RESPONSE,
M001,C0010128,2021-03-10,EXPOSED,2021-04-20,NEGATIVE,2021-04-22
M001,C0010137,2021-03-10,NOT_EXPOSED,,,
M001,C0013713,2021-03-10,EXPOSED,2021-03-19,NEUTRAL,2021-03-24
M001,C0014320,2021-03-10,EXPOSED,2021-04-05,NO_RESPONSE,
M001,C0019099,2021-03-10,EXPOSED,2021-03-29,NO_RESPONSE,
M001,C0001950,2021-03-11,EXPOSED,2021-04-20,NO_RESPONSE,
M001,C0002025,2021-03-11,EXPOSED,2021-03-16,NO_RESPONSE,
M001,C0004298,2021-03-11,EXPOSED,2021-03-13,NO_RESPONSE,
M001,C0006271,2021-03-11,EXPOSED,2021-03-18,NO_RESPONSE,
M001,C0007455,2021-03-11,EXPOSED,2021-03-28,NO_RESPONSE,
M001,C0008299,2021-03-11,EXPOSED,2021-03-20,NO_RESPONSE,
M001,C0011299,2021-03-11,EXPOSED,2021-04-26,NO_RESPONSE,
M001,C0011598,2021-03-11,EXPOSED,2021-03-20,NO_RESPONSE,
M001,C0012304,2021-03-11,EXPOSED,2021-03-23,NO_RESPONSE,
M001,C0014270,2021-03-11,NOT_EXPOSED,,,
M001,C0015598,2021-03-11,EXPOSED,2021-03-30,NO_RESPONSE,
M001,C0018401,2021-03-11,EXPOSED,2021-04-11,NO_RESPONSE,
