transaction_id,account_id,transaction_datetime,transaction_type,direction,channel,amount,counterparty_type,transfer_scope,counterparty_institution_id,transaction_branch_id,transaction_status,merchant_category,failure_reason
T0000000026,A0000060,2021-01-04 10:12:49,TRANSFER_OUT,DEBIT,MOBILE,5439.47,FINANCIAL_INSTITUTION,DOMESTIC_EXTERNAL,BANK_B007,,COMPLETED,,
T0000000027,A0000009,2021-01-04 10:49:26,TRANSFER_IN,CREDIT,WEB,3636.02,EMPLOYER,,,,COMPLETED,,
T0000000028,A0000039,2021-01-04 10:56:37,TRANSFER_IN,CREDIT,BRANCH,18475.75,FINANCIAL_INSTITUTION,DOMESTIC_EXTERNAL,BANK_B009,026,COMPLETED,,
T0000000029,A0000067,2021-01-04 14:24:43,TRANSFER_IN,CREDIT,WEB,116529.41,EMPLOYER,,,,COMPLETED,,
T0000000030,A0000029,2021-01-04 16:48:31,CASH_DEPOSIT,CREDIT,ATM,32.8,OTHER,,,,COMPLETED,,
T0000000031,A0000061,2021-01-04 17:33:44,TRANSFER_OUT,DEBIT,MOBILE,5420.21,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000032,A0000063,2021-01-04 17:33:44,TRANSFER_IN,CREDIT,MOBILE,5420.21,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000033,A0000017,2021-01-05 02:15:51,INTEREST_CREDIT,CREDIT,AUTOMATIC,8.82,OTHER,,,,COMPLETED,,
T0000000034,A0000026,2021-01-05 10:18:22,TRANSFER_OUT,DEBIT,BRANCH,14087.95,BTYT_CUSTOMER,INTERNAL,BANK_B000,017,COMPLETED,,
T0000000035,A0000054,2021-01-05 10:18:22,TRANSFER_IN,CREDIT,BRANCH,14087.95,BTYT_CUSTOMER,INTERNAL,BANK_B000,017,COMPLETED,,
T0000000036,A0000021,2021-01-05 13:23:37,TRANSFER_IN,CREDIT,WEB,1941.35,FINANCIAL_INSTITUTION,INTERNATIONAL,BANK_B104,,COMPLETED,,
T0000000037,A0000009,2021-01-05 13:51:25,TRANSFER_OUT,DEBIT,MOBILE,5441.57,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000038,A0000067,2021-01-05 13:51:25,TRANSFER_IN,CREDIT,MOBILE,5441.57,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000039,A0000072,2021-01-06 08:55:21,SERVICE_PAYMENT,DEBIT,AUTOMATIC,960.29,GOVERNMENT,,,,COMPLETED,,
T0000000040,A0000067,2021-01-06 09:48:58,TRANSFER_IN,CREDIT,WEB,5664.59,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000041,A0000072,2021-01-06 09:48:58,TRANSFER_OUT,DEBIT,WEB,5664.59,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000042,A0000008,2021-01-06 09:56:54,CASH_WITHDRAWAL,DEBIT,BRANCH,491.09,OTHER,,,025,COMPLETED,,
T0000000043,A0000039,2021-01-06 12:05:02,TRANSFER_IN,CREDIT,BRANCH,1690.33,FINANCIAL_INSTITUTION,INTERNATIONAL,BANK_B103,029,COMPLETED,,
T0000000044,A0000009,2021-01-06 12:47:13,CASH_WITHDRAWAL,DEBIT,BRANCH,774.6,OTHER,,,024,COMPLETED,,
T0000000045,A0000060,2021-01-06 13:46:59,TRANSFER_OUT,DEBIT,MOBILE,1922.87,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000046,A0000063,2021-01-06 13:46:59,TRANSFER_IN,CREDIT,MOBILE,1922.87,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000047,A0000090,2021-01-06 13:52:01,CASH_WITHDRAWAL,DEBIT,ATM,2129.08,OTHER,,,,COMPLETED,,
T0000000048,A0000026,2021-01-06 15:13:06,SERVICE_PAYMENT,DEBIT,MOBILE,4507.53,GOVERNMENT,,,,COMPLETED,,
T0000000049,A0000058,2021-01-06 17:09:29,TRANSFER_IN,CREDIT,WEB,10995.26,FINANCIAL_INSTITUTION,DOMESTIC_EXTERNAL,IEDE_OCA_BLUE,,COMPLETED,,
T0000000050,A0000008,2021-01-06 18:48:14,TRANSFER_OUT,DEBIT,WEB,892.37,FINANCIAL_INSTITUTION,DOMESTIC_EXTERNAL,BANK_B001,,COMPLETED,,
T0000000051,A0000009,2021-01-07 07:28:59,SERVICE_PAYMENT,DEBIT,AUTOMATIC,765.6,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000052,A0000004,2021-01-07 09:58:53,SERVICE_PAYMENT,DEBIT,BRANCH,548.95,SERVICE_PROVIDER,,,033,COMPLETED,,
T0000000053,A0000063,2021-01-07 13:12:30,TRANSFER_IN,CREDIT,BRANCH,2234.58,GOVERNMENT,,,004,COMPLETED,,
T0000000054,A0000072,2021-01-07 13:58:34,CASH_WITHDRAWAL,DEBIT,ATM,1135.28,OTHER,,,,COMPLETED,,
T0000000055,A0000004,2021-01-07 14:10:55,SERVICE_PAYMENT,DEBIT,MOBILE,1421.05,GOVERNMENT,,,,COMPLETED,,
T0000000056,A0000004,2021-01-07 16:13:08,TRANSFER_IN,CREDIT,BRANCH,4070.13,FINANCIAL_INSTITUTION,INTERNATIONAL,BANK_B102,031,COMPLETED,,
T0000000057,A0000009,2021-01-07 23:08:43,TRANSFER_IN,CREDIT,WEB,4466.21,OTHER,,,,COMPLETED,,
T0000000058,A0000067,2021-01-08 02:03:53,SERVICE_PAYMENT,DEBIT,AUTOMATIC,2770.43,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000059,A0000072,2021-01-08 06:43:40,TRANSFER_OUT,DEBIT,WEB,1300.09,GOVERNMENT,,,,COMPLETED,,
T0000000060,A0000061,2021-01-08 07:02:03,TRANSFER_IN,CREDIT,MOBILE,5983.68,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000061,A0000063,2021-01-08 07:02:03,TRANSFER_OUT,DEBIT,MOBILE,5983.68,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000062,A0000061,2021-01-08 09:58:21,TRANSFER_OUT,DEBIT,BRANCH,837.07,BTYT_CUSTOMER,INTERNAL,BANK_B000,026,COMPLETED,,
T0000000063,A0000081,2021-01-08 09:58:21,TRANSFER_IN,CREDIT,BRANCH,837.07,BTYT_CUSTOMER,INTERNAL,BANK_B000,026,COMPLETED,,
T0000000064,A0000061,2021-01-08 10:15:45,TRANSFER_OUT,DEBIT,BRANCH,20373.06,BTYT_CUSTOMER,INTERNAL,BANK_B000,030,COMPLETED,,
T0000000065,A0000072,2021-01-08 10:15:45,TRANSFER_IN,CREDIT,BRANCH,20373.06,BTYT_CUSTOMER,INTERNAL,BANK_B000,030,COMPLETED,,
T0000000066,A0000029,2021-01-08 10:33:55,CASH_WITHDRAWAL,DEBIT,BRANCH,10.5,OTHER,,,003,COMPLETED,,
T0000000067,A0000026,2021-01-08 11:12:06,SERVICE_PAYMENT,DEBIT,BRANCH,3991.15,SERVICE_PROVIDER,,,030,COMPLETED,,
T0000000068,A0000004,2021-01-08 11:55:16,TRANSFER_IN,CREDIT,MOBILE,898.41,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000069,A0000056,2021-01-08 11:55:16,TRANSFER_OUT,DEBIT,MOBILE,898.41,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000070,A0000009,2021-01-08 13:44:53,SERVICE_PAYMENT,DEBIT,BRANCH,708.81,SERVICE_PROVIDER,,,007,COMPLETED,,
T0000000071,A0000004,2021-01-08 13:48:39,TRANSFER_OUT,DEBIT,WEB,5786.78,FINANCIAL_INSTITUTION,DOMESTIC_EXTERNAL,BANK_B006,,COMPLETED,,
T0000000072,A0000072,2021-01-08 14:51:14,TRANSFER_IN,CREDIT,MOBILE,3908.91,FINANCIAL_INSTITUTION,DOMESTIC_EXTERNAL,BANK_B004,,COMPLETED,,
T0000000073,A0000054,2021-01-08 16:40:19,TRANSFER_IN,CREDIT,BRANCH,8801.32,BTYT_CUSTOMER,INTERNAL,BANK_B000,005,COMPLETED,,
T0000000074,A0000061,2021-01-08 16:40:19,TRANSFER_OUT,DEBIT,BRANCH,8801.32,BTYT_CUSTOMER,INTERNAL,BANK_B000,005,COMPLETED,,
T0000000075,A0000058,2021-01-08 19:18:42,TRANSFER_OUT,DEBIT,MOBILE,7693.02,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000076,A0000071,2021-01-08 19:18:42,TRANSFER_IN,CREDIT,MOBILE,7693.02,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000077,A0000061,2021-01-08 19:34:18,TRANSFER_IN,CREDIT,MOBILE,21923.58,FINANCIAL_INSTITUTION,DOMESTIC_EXTERNAL,BANK_B001,,COMPLETED,,
T0000000078,A0000081,2021-01-10 05:54:03,TRANSFER_OUT,DEBIT,MOBILE,5538.82,OTHER,,,,COMPLETED,,
T0000000079,A0000090,2021-01-10 09:02:04,LOAN_PAYMENT,DEBIT,AUTOMATIC,15985.59,LOAN_ACCOUNT,,,,COMPLETED,,
T0000000080,A0000009,2021-01-10 20:59:26,SERVICE_PAYMENT,DEBIT,MOBILE,948.51,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000081,A0000018,2021-01-11 08:20:36,CASH_WITHDRAWAL,DEBIT,ATM,7238.9,OTHER,,,,COMPLETED,,
T0000000082,A0000026,2021-01-11 10:08:44,SERVICE_PAYMENT,DEBIT,BRANCH,2511.81,SERVICE_PROVIDER,,,020,COMPLETED,,
T0000000083,A0000081,2021-01-11 10:08:52,SERVICE_PAYMENT,DEBIT,WEB,1937.52,GOVERNMENT,,,,COMPLETED,,
T0000000084,A0000009,2021-01-11 11:35:01,TRANSFER_IN,CREDIT,WEB,9987.27,FINANCIAL_INSTITUTION,DOMESTIC_EXTERNAL,BANK_B010,,COMPLETED,,
T0000000085,A0000054,2021-01-11 13:02:19,SERVICE_PAYMENT,DEBIT,MOBILE,1670.59,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000086,A0000061,2021-01-11 13:15:17,TRANSFER_OUT,DEBIT,MOBILE,21911.52,FINANCIAL_INSTITUTION,DOMESTIC_EXTERNAL,BANK_B002,,COMPLETED,,
T0000000087,A0000026,2021-01-11 14:28:38,SERVICE_PAYMENT,DEBIT,BRANCH,889.52,SERVICE_PROVIDER,,,021,COMPLETED,,
T0000000088,A0000061,2021-01-11 15:24:52,TRANSFER_OUT,DEBIT,WEB,32166.87,FINANCIAL_INSTITUTION,DOMESTIC_EXTERNAL,BANK_B001,,COMPLETED,,
T0000000089,A0000081,2021-01-11 16:54:44,TRANSFER_IN,CREDIT,BRANCH,30656.5,EMPLOYER,,,022,COMPLETED,,
T0000000090,A0000026,2021-01-11 18:53:41,CASH_WITHDRAWAL,DEBIT,ATM,3938.38,OTHER,,,,COMPLETED,,
T0000000091,A0000018,2021-01-12 07:02:59,CASH_WITHDRAWAL,DEBIT,ATM,6414.01,OTHER,,,,COMPLETED,,
T0000000092,A0000004,2021-01-12 08:52:12,TRANSFER_IN,CREDIT,WEB,978.21,FINANCIAL_INSTITUTION,DOMESTIC_EXTERNAL,BANK_B009,,COMPLETED,,
T0000000093,A0000004,2021-01-12 10:46:12,TRANSFER_IN,CREDIT,BRANCH,1790.86,BTYT_CUSTOMER,INTERNAL,BANK_B000,031,COMPLETED,,
T0000000094,A0000039,2021-01-12 10:46:12,TRANSFER_OUT,DEBIT,BRANCH,1790.86,BTYT_CUSTOMER,INTERNAL,BANK_B000,031,COMPLETED,,
T0000000095,A0000060,2021-01-12 10:59:48,TRANSFER_IN,CREDIT,MOBILE,14331.63,OTHER,,,,COMPLETED,,
T0000000096,A0000026,2021-01-12 11:27:26,TRANSFER_IN,CREDIT,BRANCH,3163.68,BTYT_CUSTOMER,INTERNAL,BANK_B000,018,COMPLETED,,
T0000000097,A0000054,2021-01-12 11:27:26,TRANSFER_OUT,DEBIT,BRANCH,3163.68,BTYT_CUSTOMER,INTERNAL,BANK_B000,018,COMPLETED,,
T0000000098,A0000004,2021-01-12 11:43:01,TRANSFER_IN,CREDIT,WEB,453.11,FINANCIAL_INSTITUTION,DOMESTIC_EXTERNAL,IEDE_PREX,,COMPLETED,,
T0000000099,A0000067,2021-01-12 12:57:22,CASH_WITHDRAWAL,DEBIT,BRANCH,8474.27,OTHER,,,019,COMPLETED,,
T0000000100,A0000009,2021-01-12 14:40:30,SERVICE_PAYMENT,DEBIT,WEB,892.17,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000101,A0000039,2021-01-13 09:15:31,CASH_DEPOSIT,CREDIT,ATM,1606.76,OTHER,,,,COMPLETED,,
T0000000102,A0000072,2021-01-13 09:37:27,TRANSFER_IN,CREDIT,MOBILE,13488.64,BTYT_CUSTOMER,INTERNAL,BANK_B000,,FAILED,,INSUFFICIENT_FUNDS
T0000000103,A0000021,2021-01-13 11:12:43,TRANSFER_IN,CREDIT,MOBILE,6775.83,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000104,A0000039,2021-01-13 11:12:43,TRANSFER_OUT,DEBIT,MOBILE,6775.83,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000105,A0000026,2021-01-13 12:08:58,TRANSFER_IN,CREDIT,BRANCH,8250.82,FINANCIAL_INSTITUTION,INTERNATIONAL,BANK_B101,025,COMPLETED,,
T0000000106,A0000009,2021-01-13 13:11:27,TRANSFER_OUT,DEBIT,MOBILE,4128.49,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000107,A0000018,2021-01-13 13:11:27,TRANSFER_IN,CREDIT,MOBILE,4128.49,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000108,A0000009,2021-01-13 14:04:43,CASH_DEPOSIT,CREDIT,BRANCH,1769.62,OTHER,,,017,COMPLETED,,
T0000000109,A0000058,2021-01-13 14:53:17,CASH_DEPOSIT,CREDIT,BRANCH,4390.09,OTHER,,,014,COMPLETED,,
T0000000110,A0000009,2021-01-13 18:53:31,TRANSFER_OUT,DEBIT,MOBILE,10966.78,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000111,A0000063,2021-01-13 18:53:31,TRANSFER_IN,CREDIT,MOBILE,10966.78,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000112,A0000009,2021-01-13 21:33:38,SERVICE_PAYMENT,DEBIT,WEB,1150.28,GOVERNMENT,,,,COMPLETED,,
T0000000113,A0000054,2021-01-14 08:08:43,SERVICE_PAYMENT,DEBIT,AUTOMATIC,446.14,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000114,A0000072,2021-01-14 08:57:32,TRANSFER_OUT,DEBIT,MOBILE,10744.18,OTHER,,,,COMPLETED,,
T0000000115,A0000008,2021-01-14 09:26:03,TRANSFER_IN,CREDIT,BRANCH,23951.72,BTYT_CUSTOMER,INTERNAL,BANK_B000,012,COMPLETED,,
T0000000116,A0000060,2021-01-14 09:26:03,TRANSFER_OUT,DEBIT,BRANCH,23951.72,BTYT_CUSTOMER,INTERNAL,BANK_B000,012,COMPLETED,,
T0000000117,A0000061,2021-01-14 11:57:30,TRANSFER_OUT,DEBIT,BRANCH,66.24,BTYT_CUSTOMER,INTERNAL,BANK_B000,005,COMPLETED,,
T0000000118,A0000071,2021-01-14 11:57:30,TRANSFER_IN,CREDIT,BRANCH,66.24,BTYT_CUSTOMER,INTERNAL,BANK_B000,005,COMPLETED,,
T0000000119,A0000004,2021-01-14 14:13:44,CASH_DEPOSIT,CREDIT,ATM,651.1,OTHER,,,,COMPLETED,,
T0000000120,A0000020,2021-01-14 16:58:12,CASH_WITHDRAWAL,DEBIT,ATM,9493.64,OTHER,,,,COMPLETED,,
T0000000121,A0000004,2021-01-15 05:04:02,TRANSFER_OUT,DEBIT,MOBILE,1787.63,FINANCIAL_INSTITUTION,INTERNATIONAL,BANK_B101,,COMPLETED,,
T0000000122,A0000021,2021-01-15 08:09:02,TRANSFER_IN,CREDIT,MOBILE,807.76,FINANCIAL_INSTITUTION,INTERNATIONAL,BANK_B103,,COMPLETED,,
T0000000123,A0000072,2021-01-15 09:36:04,TRANSFER_IN,CREDIT,WEB,11930.07,FINANCIAL_INSTITUTION,DOMESTIC_EXTERNAL,BANK_B011,,COMPLETED,,
T0000000124,A0000060,2021-01-15 10:16:41,CASH_DEPOSIT,CREDIT,BRANCH,2946.51,OTHER,,,019,COMPLETED,,
T0000000125,A0000039,2021-01-15 10:33:38,SERVICE_PAYMENT,DEBIT,BRANCH,1635.22,SERVICE_PROVIDER,,,034,COMPLETED,,
T0000000126,A0000039,2021-01-15 11:06:26,TRANSFER_IN,CREDIT,BRANCH,8923.01,BTYT_CUSTOMER,INTERNAL,BANK_B000,035,FAILED,,INSUFFICIENT_FUNDS
T0000000127,A0000063,2021-01-15 12:40:38,CASH_WITHDRAWAL,DEBIT,ATM,1177.65,OTHER,,,,COMPLETED,,
T0000000128,A0000072,2021-01-15 13:17:54,TRANSFER_OUT,DEBIT,WEB,5555.22,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000129,A0000081,2021-01-15 13:17:54,TRANSFER_IN,CREDIT,WEB,5555.22,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000130,A0000008,2021-01-15 13:57:43,LOAN_PAYMENT,DEBIT,BRANCH,4198.66,LOAN_ACCOUNT,,,016,COMPLETED,,
T0000000131,A0000008,2021-01-15 16:05:37,TRANSFER_OUT,DEBIT,BRANCH,1764.2,OTHER,,,001,COMPLETED,,
T0000000132,A0000073,2021-01-16 03:28:45,SERVICE_PAYMENT,DEBIT,AUTOMATIC,42.19,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000133,A0000063,2021-01-16 07:51:09,SERVICE_PAYMENT,DEBIT,AUTOMATIC,571.89,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000134,A0000080,2021-01-16 09:33:47,TRANSFER_OUT,DEBIT,WEB,272.77,OTHER,,,,COMPLETED,,
T0000000135,A0000009,2021-01-16 11:21:13,SERVICE_PAYMENT,DEBIT,WEB,1598.41,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000136,A0000058,2021-01-16 11:54:09,TRANSFER_OUT,DEBIT,MOBILE,18311.84,FINANCIAL_INSTITUTION,DOMESTIC_EXTERNAL,BANK_B001,,COMPLETED,,
T0000000137,A0000060,2021-01-16 15:05:22,TRANSFER_OUT,DEBIT,MOBILE,4466.16,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000138,A0000071,2021-01-16 15:05:22,TRANSFER_IN,CREDIT,MOBILE,4466.16,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000139,A0000009,2021-01-16 16:31:53,TRANSFER_IN,CREDIT,MOBILE,638.96,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000140,A0000067,2021-01-16 16:31:53,TRANSFER_OUT,DEBIT,MOBILE,638.96,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000141,A0000061,2021-01-16 17:06:07,SERVICE_PAYMENT,DEBIT,MOBILE,3146.99,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000142,A0000009,2021-01-17 07:18:19,TRANSFER_IN,CREDIT,MOBILE,1798.18,GOVERNMENT,,,,COMPLETED,,
T0000000143,A0000008,2021-01-17 15:24:22,TRANSFER_IN,CREDIT,WEB,11872.52,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000144,A0000080,2021-01-17 15:24:22,TRANSFER_OUT,DEBIT,WEB,11872.52,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000145,A0000058,2021-01-17 17:24:20,TRANSFER_IN,CREDIT,MOBILE,1037.84,OTHER,,,,COMPLETED,,
T0000000146,A0000058,2021-01-17 20:04:00,CASH_DEPOSIT,CREDIT,ATM,5522.03,OTHER,,,,COMPLETED,,
T0000000147,A0000061,2021-01-17 22:48:05,TRANSFER_OUT,DEBIT,WEB,30436.16,OTHER,,,,COMPLETED,,
T0000000148,A0000060,2021-01-18 11:17:54,CASH_WITHDRAWAL,DEBIT,ATM,4235.1,OTHER,,,,COMPLETED,,
T0000000149,A0000060,2021-01-18 11:30:57,CASH_DEPOSIT,CREDIT,BRANCH,4813.08,OTHER,,,033,COMPLETED,,
T0000000150,A0000080,2021-01-18 23:25:00,CASH_DEPOSIT,CREDIT,ATM,2347.65,OTHER,,,,COMPLETED,,
T0000000151,A0000072,2021-01-19 02:01:52,LOAN_PAYMENT,DEBIT,AUTOMATIC,12178.25,LOAN_ACCOUNT,,,,COMPLETED,,
T0000000152,A0000008,2021-01-19 11:55:03,TRANSFER_IN,CREDIT,BRANCH,3525.41,FINANCIAL_INSTITUTION,DOMESTIC_EXTERNAL,IEDE_MIDINERO,001,COMPLETED,,
T0000000153,A0000080,2021-01-19 15:14:56,TRANSFER_IN,CREDIT,MOBILE,1973.45,GOVERNMENT,,,,COMPLETED,,
T0000000154,A0000058,2021-01-19 15:39:14,TRANSFER_OUT,DEBIT,BRANCH,13789.67,BTYT_CUSTOMER,INTERNAL,BANK_B000,016,FAILED,,INSUFFICIENT_FUNDS
T0000000155,A0000026,2021-01-19 16:33:21,TRANSFER_OUT,DEBIT,BRANCH,2478.49,FINANCIAL_INSTITUTION,DOMESTIC_EXTERNAL,IEDE_OCA_BLUE,019,COMPLETED,,
T0000000156,A0000039,2021-01-20 08:45:01,SERVICE_PAYMENT,DEBIT,AUTOMATIC,998.51,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000157,A0000004,2021-01-20 09:07:24,TRANSFER_IN,CREDIT,MOBILE,7408.73,FINANCIAL_INSTITUTION,INTERNATIONAL,BANK_B101,,COMPLETED,,
T0000000158,A0000060,2021-01-20 11:20:30,CASH_DEPOSIT,CREDIT,BRANCH,6664.74,OTHER,,,019,COMPLETED,,
T0000000159,A0000009,2021-01-20 17:02:11,TRANSFER_OUT,DEBIT,MOBILE,6843.87,FINANCIAL_INSTITUTION,DOMESTIC_EXTERNAL,BANK_B002,,COMPLETED,,
T0000000160,A0000026,2021-01-20 22:41:56,TRANSFER_OUT,DEBIT,WEB,6244.64,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000161,A0000063,2021-01-20 22:41:56,TRANSFER_IN,CREDIT,WEB,6244.64,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000162,A0000067,2021-01-21 01:23:12,SERVICE_PAYMENT,DEBIT,AUTOMATIC,8564.7,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000163,A0000009,2021-01-21 11:06:41,CASH_DEPOSIT,CREDIT,ATM,736.84,OTHER,,,,COMPLETED,,
T0000000164,A0000081,2021-01-21 11:24:22,SERVICE_PAYMENT,DEBIT,BRANCH,2468.79,SERVICE_PROVIDER,,,026,COMPLETED,,
T0000000165,A0000004,2021-01-21 13:28:47,TRANSFER_IN,CREDIT,MOBILE,814.2,FINANCIAL_INSTITUTION,INTERNATIONAL,BANK_B104,,COMPLETED,,
T0000000166,A0000073,2021-01-21 17:00:38,TRANSFER_IN,CREDIT,MOBILE,22.63,FINANCIAL_INSTITUTION,DOMESTIC_EXTERNAL,BANK_B006,,COMPLETED,,
T0000000167,A0000004,2021-01-22 10:06:24,TRANSFER_IN,CREDIT,BRANCH,674.86,OTHER,,,032,COMPLETED,,
