idio_event_id,customer_id,agent_type,region,sector,event_type,event_name,direction,start_month,end_month,recovery_end_month,duration_months,recovery_months,raw_magnitude,mediated_share,residual_idiosyncratic_intensity,shared_stress_at_start,shared_positive_at_start,realized_probability
IE0000024,C0000016,HOUSEHOLD,CENTER,HOUSEHOLD,INCOME_REDUCTION,Income reduction,NEGATIVE,2023-12,2024-05,2024-09,6,4,0.54214402,0.18800544,-0.44021799,0.0,0.02553962,0.0047061846
IE0000025,C0000042,BUSINESS,CENTER,SME_GENERAL,INCOME_REDUCTION,Income reduction,NEGATIVE,2024-01,2024-04,2024-10,4,6,0.49024713,0.15775654,-0.41290744,0.0,0.03875585,0.0014183398
IE0000026,C0000024,HOUSEHOLD,CENTER,HOUSEHOLD,INCOME_REDUCTION,Income reduction,NEGATIVE,2024-03,2024-07,2025-01,5,6,0.49441214,0.16508382,-0.4127927,0.0,0.05084087,0.0047150257
IE0000027,C0000038,HOUSEHOLD,CENTER,HOUSEHOLD,INCOME_REDUCTION,Income reduction,NEGATIVE,2024-10,2024-11,2025-04,2,5,0.30066274,0.30280009,-0.20962203,0.58182118,0.0,0.006465315
IE0000028,C0000036,HOUSEHOLD,CENTER,HOUSEHOLD,INCOME_REDUCTION,Income reduction,NEGATIVE,2024-12,2025-01,2025-05,2,4,0.40283211,0.42290669,-0.23247172,1.11218791,0.0,0.0086362288
IE0000029,C0000004,HOUSEHOLD,CENTER,HOUSEHOLD,INCOME_REDUCTION,Income reduction,NEGATIVE,2025-02,2025-03,2025-09,2,6,0.84299787,0.33583218,-0.55989205,0.70877165,0.0,0.0069296344
IE0000030,C0000048,HOUSEHOLD,CENTER,HOUSEHOLD,INCOME_REDUCTION,Income reduction,NEGATIVE,2025-03,2025-09,2026-02,7,5,0.30971004,0.36888451,-0.1954628,0.80128244,0.0,0.0072887083
IE0000031,C0000044,HOUSEHOLD,CENTER,HOUSEHOLD,INCOME_REDUCTION,Income reduction,NEGATIVE,2025-12,2026-02,2026-06,3,4,0.39613364,0.12434141,-0.34687783,0.0,0.17907517,0.0045444632
IE0000032,C0000002,HOUSEHOLD,CENTER,HOUSEHOLD,EXTRAORDINARY_EXPENSE,Extraordinary expense,NEGATIVE,2021-05,2021-06,2021-10,2,4,0.31974419,0.18725444,-0.25987067,0.0,0.0,0.003829643
IE0000033,C0000034,HOUSEHOLD,CENTER,HOUSEHOLD,EXTRAORDINARY_EXPENSE,Extraordinary expense,NEGATIVE,2021-10,2021-10,2022-01,1,3,0.25096752,0.1467359,-0.21414157,0.0,0.0,0.003829643
IE0000034,C0000007,HOUSEHOLD,CENTER,HOUSEHOLD,EXTRAORDINARY_EXPENSE,Extraordinary expense,NEGATIVE,2022-04,2022-04,2022-05,1,1,0.32205424,0.22746141,-0.24879933,0.0,0.0,0.003829643
IE0000035,C0000025,HOUSEHOLD,CENTER,HOUSEHOLD,EXTRAORDINARY_EXPENSE,Extraordinary expense,NEGATIVE,2022-06,2022-08,2022-11,3,3,0.32436851,0.09975755,-0.2920103,0.0,0.0,0.003829643
IE0000036,C0000025,HOUSEHOLD,CENTER,HOUSEHOLD,EXTRAORDINARY_EXPENSE,Extraordinary expense,NEGATIVE,2023-04,2023-06,2023-07,3,1,0.39965136,0.12869936,-0.34821648,0.0,0.0,0.003829643
IE0000037,C0000030,HOUSEHOLD,CENTER,HOUSEHOLD,EXTRAORDINARY_EXPENSE,Extraordinary expense,NEGATIVE,2023-10,2023-10,2024-02,1,4,0.16008198,0.15581647,-0.13513857,0.0,0.0,0.003829643
IE0000038,C0000009,HOUSEHOLD,CENTER,HOUSEHOLD,EXTRAORDINARY_EXPENSE,Extraordinary expense,NEGATIVE,2023-11,2023-12,2024-02,2,2,0.23355794,0.11941749,-0.20566704,0.0,0.0,0.003829643
IE0000039,C0000033,HOUSEHOLD,CENTER,HOUSEHOLD,EXTRAORDINARY_EXPENSE,Extraordinary expense,NEGATIVE,2023-11,2023-12,2024-02,2,2,0.14871884,0.06101963,-0.13964407,0.0,0.0,0.003829643
IE0000040,C0000029,HOUSEHOLD,CENTER,HOUSEHOLD,EXTRAORDINARY_EXPENSE,Extraordinary expense,NEGATIVE,2024-09,2024-09,2024-11,1,2,0.23245365,0.33556339,-0.15445072,0.60775132,0.00272616,0.0039478207
IE0000041,C0000017,HOUSEHOLD,CENTER,HOUSEHOLD,EXTRAORDINARY_EXPENSE,Extraordinary expense,NEGATIVE,2025-04,2025-04,2025-07,1,3,0.55858262,0.18723039,-0.45399898,0.49365416,0.0,0.0039249696
IE0000042,C0000014,HOUSEHOLD,CENTER,HOUSEHOLD,EXTRAORDINARY_EXPENSE,Extraordinary expense,NEGATIVE,2025-12,2025-12,2026-01,1,1,0.42606846,0.13484262,-0.36861628,0.0,0.18245034,0.0038174815
IE0000043,C0000027,HOUSEHOLD,CENTER,HOUSEHOLD,EXTRAORDINARY_EXPENSE,Extraordinary expense,NEGATIVE,2026-05,2026-07,2026-09,3,2,0.45648201,0.15090997,-0.38759433,0.0,0.0,0.003829643
IE0000044,C0000013,HOUSEHOLD,CENTER,HOUSEHOLD,EXTRAORDINARY_EXPENSE,Extraordinary expense,NEGATIVE,2026-11,2026-11,2026-12,1,2,0.29540008,0.29019916,-0.20967523,0.39897615,0.0,0.0039065055
IE0000045,C0000006,HOUSEHOLD,CENTER,HOUSEHOLD,BUSINESS_REVENUE_DROP,Business revenue drop,NEGATIVE,2022-09,2023-02,2023-07,6,5,0.45887007,0.18420969,-0.37434175,0.0,0.0,0.0002141336
IE0000046,C0000021,BUSINESS,CENTER,SME_GENERAL,BUSINESS_REVENUE_DROP,Business revenue drop,NEGATIVE,2023-10,2024-02,2024-04,5,2,0.67303423,0.13627485,-0.58131659,0.0,0.0,0.0042653188
IE0000047,C0000022,BUSINESS,CENTER,SME_GENERAL,BUSINESS_DISTRESS,Business distress,NEGATIVE,2023-11,2024-08,2025-01,10,5,0.71682487,0.19055882,-0.58022757,0.0,0.0,0.0016821426
IE0000048,C0000047,HOUSEHOLD,CENTER,HOUSEHOLD,POSITIVE_INCOME_SHOCK,Positive income shock,POSITIVE,2021-01,2021-03,2021-06,3,3,0.63993861,0.12952086,0.55705321,0.0,0.0,0.003829643
IE0000049,C0000006,HOUSEHOLD,CENTER,HOUSEHOLD,POSITIVE_INCOME_SHOCK,Positive income shock,POSITIVE,2021-07,2021-10,2022-01,4,3,0.67283047,0.02,0.65937386,0.0,0.0,0.003829643
IE0000050,C0000020,HOUSEHOLD,CENTER,HOUSEHOLD,POSITIVE_INCOME_SHOCK,Positive income shock,POSITIVE,2021-07,2021-08,2022-01,2,5,0.53161812,0.19882024,0.42592168,0.0,0.0,0.003829643
IE0000051,C0000012,HOUSEHOLD,CENTER,HOUSEHOLD,POSITIVE_INCOME_SHOCK,Positive income shock,POSITIVE,2021-10,2021-11,2022-04,2,5,0.30788127,0.2201974,0.24008662,0.0,0.0,0.003829643
IE0000052,C0000041,HOUSEHOLD,CENTER,HOUSEHOLD,POSITIVE_INCOME_SHOCK,Positive income shock,POSITIVE,2022-04,2022-10,2023-01,7,3,0.22677747,0.08643349,0.2071763,0.0,0.0,0.003829643
IE0000053,C0000014,HOUSEHOLD,CENTER,HOUSEHOLD,POSITIVE_INCOME_SHOCK,Positive income shock,POSITIVE,2022-09,2023-02,2023-04,6,2,0.40247466,0.02,0.39442517,0.0,0.0,0.003829643
IE0000054,C0000026,HOUSEHOLD,CENTER,HOUSEHOLD,POSITIVE_INCOME_SHOCK,Positive income shock,POSITIVE,2023-05,2023-08,2023-11,4,3,0.49954578,0.08887931,0.4551465,0.0,0.0,0.003829643
IE0000055,C0000046,HOUSEHOLD,CENTER,HOUSEHOLD,POSITIVE_INCOME_SHOCK,Positive income shock,POSITIVE,2023-05,2023-06,2023-08,2,2,0.599242,0.05589469,0.56574755,0.0,0.0,0.003829643
IE0000056,C0000021,BUSINESS,CENTER,SME_GENERAL,POSITIVE_INCOME_SHOCK,Positive income shock,POSITIVE,2023-06,2023-08,2023-09,3,1,0.35741749,0.09584775,0.32315983,0.0,0.0,0.0017269769
IE0000057,C0000037,HOUSEHOLD,CENTER,HOUSEHOLD,POSITIVE_INCOME_SHOCK,Positive income shock,POSITIVE,2023-07,2023-08,2023-12,2,4,0.31332913,0.02,0.30706254,0.0,0.0,0.003829643
IE0000058,C0000005,HOUSEHOLD,CENTER,HOUSEHOLD,POSITIVE_INCOME_SHOCK,Positive income shock,POSITIVE,2024-01,2024-07,2024-09,7,2,0.39945709,0.13929918,0.34381304,0.0,0.06729622,0.0039225634
IE0000059,C0000002,HOUSEHOLD,CENTER,HOUSEHOLD,POSITIVE_INCOME_SHOCK,Positive income shock,POSITIVE,2024-05,2024-06,2024-07,2,1,0.4971308,0.12357372,0.4356985,0.0,0.01920952,0.0038574459
IE0000060,C0000010,HOUSEHOLD,CENTER,HOUSEHOLD,POSITIVE_INCOME_SHOCK,Positive income shock,POSITIVE,2024-05,2024-06,2024-11,2,5,0.30501867,0.13436305,0.26403543,0.0,0.0174185,0.0038539545
IE0000061,C0000032,HOUSEHOLD,CENTER,HOUSEHOLD,POSITIVE_INCOME_SHOCK,Positive income shock,POSITIVE,2025-05,2025-07,2025-10,3,3,0.49159254,0.0680717,0.458129,0.39551624,0.0,0.0036998571
IE0000062,C0000023,HOUSEHOLD,CENTER,HOUSEHOLD,POSITIVE_INCOME_SHOCK,Positive income shock,POSITIVE,2025-12,2026-04,2026-08,5,4,0.24119955,0.15762144,0.20318133,0.0,0.16207892,0.0039873744
IE0000063,C0000008,HOUSEHOLD,CENTER,HOUSEHOLD,POSITIVE_INCOME_SHOCK,Positive income shock,POSITIVE,2026-05,2026-06,2026-07,2,1,0.36394567,0.09108517,0.33079562,0.0,0.0,0.003829643
IE0000064,C0000016,HOUSEHOLD,CENTER,HOUSEHOLD,POSITIVE_INCOME_SHOCK,Positive income shock,POSITIVE,2026-07,2026-08,2026-09,2,1,0.32447109,0.1104488,0.28863365,0.0,0.0,0.003829643
IE0000065,C0000038,HOUSEHOLD,CENTER,HOUSEHOLD,POSITIVE_INCOME_SHOCK,Positive income shock,POSITIVE,2026-11,2026-12,2026-12,2,4,0.2556698,0.07628592,0.23616579,0.37858253,0.0,0.0037053229
IE0000066,C0000018,BUSINESS,CENTER,SME_GENERAL,BUSINESS_EXPANSION,Business expansion,POSITIVE,2025-01,2025-04,2025-08,4,4,0.39466307,0.1493975,0.3357014,1.10002325,0.0,0.0022591462
IE0000067,C0000015,BUSINESS,CENTER,SME_GENERAL,BUSINESS_EXPANSION,Business expansion,POSITIVE,2026-03,2026-05,2026-06,3,1,0.43729899,0.17072781,0.36263989,0.0,0.31968708,0.002789504
