shock_id,scope_type,scope_value,exposure_multiplier
ES003,SECTOR,TRADE_IMPORT,1.01482582
ES003,SECTOR,TRADE_EXPORT,0.89166576
ES003,SECTOR,SME_GENERAL,1.26821305
ES003,PRODUCT_GROUP,DEPOSITS,0.94454647
ES003,PRODUCT_GROUP,CARDS,1.07393578
ES003,PRODUCT_GROUP,PERSONAL_CREDIT,0.95293902
ES003,PRODUCT_GROUP,MORTGAGES,0.861855
ES003,PRODUCT_GROUP,SME_CREDIT,1.32171064
ES003,PRODUCT_GROUP,AGRICULTURAL_CREDIT,0.85594644
ES003,PRODUCT_GROUP,BUSINESS_CREDIT_LINES,1.11482115
ES003,TRANSMISSION,transaction_activity,-0.17959178
ES003,TRANSMISSION,transaction_amount,-0.10135301
ES003,TRANSMISSION,cash_preference,0.0
ES003,TRANSMISSION,digital_preference,0.0
ES003,TRANSMISSION,deposit_growth,-0.12338972
ES003,TRANSMISSION,deposit_withdrawal_pressure,0.09917008
ES003,TRANSMISSION,loan_demand,-0.15368232
ES003,TRANSMISSION,payment_stress,0.19212047
ES003,TRANSMISSION,delinquency_entry,0.15342162
ES003,TRANSMISSION,cure_probability,-0.09056743
ES003,TRANSMISSION,branch_operating_cost,0.0
ES003,TRANSMISSION,business_activity,-0.25492396
ES003,TRANSMISSION,interest_rate_pressure,0.0
ES003,TRANSMISSION,usd_preference,0.0
ES004,REGION,MONTEVIDEO,1.28244576
ES004,REGION,METROPOLITAN,1.00926973
ES004,REGION,EAST,0.97236435
ES004,REGION,NORTH,0.89732438
ES004,REGION,CENTER,0.99250427
ES004,REGION,LITORAL,1.0290963
ES004,SECTOR,HOUSEHOLD,0.98199897
ES004,SECTOR,RETAIL_SERVICES,1.06651747
ES004,SECTOR,TOURISM,1.24784103
ES004,SECTOR,AGRICULTURE,0.95588224
ES004,SECTOR,TRADE_IMPORT,0.9477491
ES004,SECTOR,TRADE_EXPORT,0.96337516
ES004,SECTOR,SME_GENERAL,1.15311018
ES004,PRODUCT_GROUP,DEPOSITS,1.13124725
ES004,PRODUCT_GROUP,CARDS,1.11468016
ES004,PRODUCT_GROUP,PERSONAL_CREDIT,1.02705953
ES004,PRODUCT_GROUP,MORTGAGES,0.87070429
ES004,PRODUCT_GROUP,SME_CREDIT,1.17603069
ES004,PRODUCT_GROUP,AGRICULTURAL_CREDIT,1.23263305
ES004,PRODUCT_GROUP,BUSINESS_CREDIT_LINES,1.2347069
ES004,TRANSMISSION,transaction_activity,-0.14402434
ES004,TRANSMISSION,transaction_amount,-0.09638933
ES004,TRANSMISSION,cash_preference,0.0
ES004,TRANSMISSION,digital_preference,0.0
ES004,TRANSMISSION,deposit_growth,-0.10197902
ES004,TRANSMISSION,deposit_withdrawal_pressure,0.07890811
ES004,TRANSMISSION,loan_demand,-0.14915591
ES004,TRANSMISSION,payment_stress,0.17418171
ES004,TRANSMISSION,delinquency_entry,0.14519304
ES004,TRANSMISSION,cure_probability,-0.09684259
ES004,TRANSMISSION,branch_operating_cost,0.0
ES004,TRANSMISSION,business_activity,-0.25437768
ES004,TRANSMISSION,interest_rate_pressure,0.0
ES004,TRANSMISSION,usd_preference,0.0
ES005,REGION,MONTEVIDEO,0.37149613
ES005,REGION,METROPOLITAN,0.30040569
ES005,REGION,EAST,2.12479567
ES005,REGION,NORTH,0.14765763
ES005,REGION,CENTER,0.16808707
ES005,REGION,LITORAL,0.38597451
ES005,SECTOR,HOUSEHOLD,1.20559697
ES005,SECTOR,RETAIL_SERVICES,1.25573593
ES005,SECTOR,TOURISM,1.80349944
ES005,SECTOR,AGRICULTURE,0.23623878
ES005,SECTOR,TRADE_IMPORT,1.10794595
ES005,SECTOR,TRADE_EXPORT,1.13233954
ES005,SECTOR,SME_GENERAL,0.89434856
ES005,PRODUCT_GROUP,DEPOSITS,0.93659378
ES005,PRODUCT_GROUP,CARDS,1.18466623
ES005,PRODUCT_GROUP,PERSONAL_CREDIT,0.96283437
ES005,PRODUCT_GROUP,MORTGAGES,1.051607
ES005,PRODUCT_GROUP,SME_CREDIT,1.32078001
ES005,PRODUCT_GROUP,AGRICULTURAL_CREDIT,0.9705314
ES005,PRODUCT_GROUP,BUSINESS_CREDIT_LINES,1.04979137
ES005,TRANSMISSION,transaction_activity,0.19475256
ES005,TRANSMISSION,transaction_amount,0.13686358
ES005,TRANSMISSION,cash_preference,0.0
ES005,TRANSMISSION,digital_preference,0.0
ES005,TRANSMISSION,deposit_growth,0.09549566
ES005,TRANSMISSION,deposit_withdrawal_pressure,-0.02738306
ES005,TRANSMISSION,loan_demand,0.08510384
ES005,TRANSMISSION,payment_stress,-0.07480387
ES005,TRANSMISSION,delinquency_entry,-0.05004442
ES005,TRANSMISSION,cure_probability,0.05601866
ES005,TRANSMISSION,branch_operating_cost,0.06929862
ES005,TRANSMISSION,business_activity,0.21532386
ES005,TRANSMISSION,interest_rate_pressure,0.0
ES005,TRANSMISSION,usd_preference,0.0
