campaign_id,campaign_name,campaign_type,eligible_customers,production_selection_rate,selection_mean,selection_p05,selection_p50,selection_p95,production_exposure_rate,exposure_mean,exposure_p05,exposure_p50,exposure_p95,production_response_rate,response_mean,response_p05,response_p50,response_p95,production_events_per_exposed,events_per_exposed_mean,events_per_exposed_p05,events_per_exposed_p50,events_per_exposed_p95,zero_selected_world_share,zero_exposed_world_share,zero_response_world_share,all_selected_exposed_world_share,positive_mean,neutral_mean,negative_mean
M011,Summer East Coast 2024,ACQUISITION,58,0.27586206896551724,0.2741655172413793,0.15517241379310345,0.27586206896551724,0.39655172413793105,1.0,1.0,1.0,1.0,1.0,0.25,0.25035420986816326,0.06666666666666667,0.25,0.46153846153846156,1.3125,1.3102666539473768,1.0869565217391304,1.3,1.5714285714285714,0.0,0.0,0.0262,1.0,1.9716,0.9929,1.0176
M012,Drive with BTYT 2024,CROSS_SELL,5383,0.3680104031209363,0.3671878877949099,0.2857142857142857,0.36615270295374325,0.4523499907114992,0.8889449772841999,0.8889124240011994,0.8338395077918104,0.8913467740626546,0.9342313419243053,0.18852924474730268,0.18909761077415832,0.1195623519523191,0.1862689926842994,0.2686675519868231,1.7296990346394094,1.7281437038374587,1.5891747389118538,1.7241855366855368,1.8831865108603385,0.0,0.0,0.0,0.0,163.3074,103.3175,65.6519
M013,Stay with BTYT 2024,RETENTION,6176,0.14507772020725387,0.14523873056994818,0.08840673575129533,0.14248704663212436,0.2103384067357512,0.875,0.8748078318636104,0.8146709825589137,0.8775914074282455,0.9261570446038391,0.14540816326530612,0.1457564758208552,0.08161420753515496,0.14265528830418228,0.21981244647170334,1.6505102040816326,1.6498111205016117,1.5158921705891504,1.6466512702078522,1.7907521123706096,0.0,0.0,0.0,0.0,53.4155,40.001,20.9058
M014,Rural Investment 2025,CROSS_SELL,71,0.16901408450704225,0.16904647887323945,0.08450704225352113,0.16901408450704225,0.2676056338028169,1.0,0.9999,1.0,1.0,1.0,0.16666666666666666,0.16524795938300293,0.0,0.15384615384615385,0.38461538461538464,1.9166666666666667,1.9142835020166393,1.4375,1.8888888888888888,2.4615384615384617,0.0001,0.0001,0.1655,0.9999,1.9132,0.0363,0.035
M015,Business Equipment 2025,CROSS_SELL,543,0.4880294659300184,0.4885716390423573,0.39594843462246776,0.4880294659300184,0.58195211786372,0.7924528301886793,0.7925518066015212,0.713649243957614,0.7947309060412389,0.8643410852713178,0.20952380952380953,0.2082387429929565,0.12435093124212294,0.20526315789473684,0.30434782608695654,1.5095238095238095,1.5090475762110682,1.3874925889328062,1.5059056033480585,1.6411828644501276,0.0,0.0,0.0,0.0,24.3195,14.9183,4.5326
M016,Save in USD 2025,CROSS_SELL,6457,0.4111816633111352,0.41046276908781165,0.3260027876722936,0.4096329564813381,0.4958959269010376,0.9054613935969869,0.9053890351820999,0.8540199359038948,0.9081960328328624,0.948485571954194,0.1497504159733777,0.15008279378488984,0.08691858882972459,0.14655972106711024,0.22436331248577684,1.6713810316139768,1.6706856305729423,1.541154478772563,1.668314136669406,1.8088035233923891,0.0,0.0,0.0,0.0,177.1112,111.5256,71.7495
M017,Payroll with BTYT 2026,ACQUISITION,613,0.3556280587275693,0.35514779771615007,0.26916802610114193,0.3539967373572594,0.4453507340946166,0.9220183486238532,0.9215941218279131,0.8642506005251104,0.9246861924686193,0.9672169449977017,0.15920398009950248,0.15858319885738384,0.0858307786633967,0.155,0.24342105263157895,1.7164179104477613,1.7177517988321458,1.5507246376811594,1.7156180703508848,1.8971487279843444,0.0,0.0,0.0,0.0001,22.1605,8.1466,1.5041
M018,Premium Upgrade 2026,UPSELL,1978,0.18756319514661274,0.18715394337714866,0.12335692618806876,0.18478260869565216,0.2603640040444894,0.8679245283018868,0.8686990586940945,0.8042939115421724,0.8715596330275229,0.9252146736959821,0.11801242236024845,0.11782994845741218,0.057055915230820174,0.11356466876971609,0.19210854092526683,1.7267080745341614,1.7277047511048491,1.5717765567765567,1.7233333333333334,1.899767726161369,0.0,0.0,0.0,0.0,21.4474,10.1413,6.3113
M019,BTYT Eastern Roots 2026,CROSS_SELL,1992,0.35993975903614456,0.3598473393574297,0.2776104417670683,0.35843373493975905,0.44728915662650603,0.899581589958159,0.899038943514484,0.8447967738118166,0.9019323721605643,0.9451085444146524,0.16899224806201552,0.1690463735740729,0.10048920727989727,0.1656534954407295,0.24860173493736326,1.7054263565891472,1.7052869402223834,1.5625874447717232,1.700443811262039,1.8621708272751916,0.0,0.0,0.0,0.0,52.0882,36.0434,20.8315
M020,BTYT Cerca 2026,ACTIVATION,189,0.32275132275132273,0.32359047619047615,0.2275132275132275,0.32275132275132273,0.42328042328042326,0.8032786885245902,0.803802902540448,0.6909090909090909,0.8070175438596491,0.9016393442622951,0.20408163265306123,0.20391217157845704,0.08928571428571429,0.2,0.3392857142857143,1.7142857142857142,1.71421868465542,1.4821428571428572,1.7073170731707317,1.975,0.0,0.0,0.0005,0.0001,5.8875,3.0135,1.1212
