world,eligible_relationships,selected_relationships,exposed_relationships,responding_relationships,positive_responses,neutral_responses,negative_responses,exposure_events,overall_selection_rate,overall_exposure_rate,overall_response_rate_exposed,events_per_exposed_relationship
34,50109,16880,14651,2382,1223,658,501,24533,0.3368656329202339,0.8679502369668246,0.16258275885605078,1.6744932086546993
35,50109,17355,15068,2875,1489,934,452,24858,0.3463449679698258,0.86822241428983,0.1908016989646934,1.6497212636049907
36,50109,15820,13740,2466,1281,743,442,23391,0.31571174838851307,0.8685208596713021,0.1794759825327511,1.7024017467248909
37,50109,17287,14697,2630,1361,808,461,23989,0.34498792632062103,0.8501764331578643,0.17894808464312445,1.6322378716744914
38,50109,16737,14442,2430,1286,752,392,23541,0.3340118541579357,0.8628786520881878,0.1682592438720399,1.6300373909430828
39,50109,16535,14444,2873,1367,904,602,24259,0.329980642200004,0.8735409736921681,0.1989061201883135,1.679520908335641
40,50109,15720,13780,2132,1055,701,376,22823,0.31371609890438845,0.8765903307888041,0.15471698113207547,1.6562409288824382
41,50109,16627,14458,2834,1478,846,510,23824,0.33181663972539865,0.8695495278763457,0.19601604647945775,1.6478074422465072
42,50109,17065,14795,2555,1497,701,357,23900,0.3405575844658644,0.8669791971872253,0.17269347752619127,1.6154106116931395
43,50109,17617,15183,2835,1337,963,535,24551,0.3515735696182323,0.8618379973888858,0.18672199170124482,1.6170058618191399
44,50109,17303,14999,2585,1307,877,401,24326,0.34530723023808096,0.8668438999017511,0.17234482298819923,1.621841456097073
45,50109,15767,13659,2239,1154,763,322,22745,0.314654054161927,0.8663030379907402,0.16392122410132515,1.6652024306318178
46,50109,16808,14691,2105,1123,640,342,24855,0.33542876529166415,0.8740480723465016,0.14328500442447756,1.6918521543802327
47,50109,17674,15032,2650,1340,821,489,24809,0.35271108982418325,0.8505148806155935,0.17629058009579562,1.650412453432677
48,50109,16608,14233,2442,1363,715,364,24205,0.331437466323415,0.8569966281310212,0.1715731047565517,1.7006253073842479
49,50109,17415,15443,2650,1360,862,428,25580,0.34754235766030056,0.8867642836635085,0.17159878261995726,1.656413909214531
50,50109,17038,14986,2627,1323,948,356,25630,0.3400187591051508,0.8795633290292287,0.1752969438142266,1.7102629120512478
51,50109,17860,15638,2715,1455,769,491,25863,0.35642299786465503,0.8755879059350504,0.17361555186085176,1.6538559918148101
52,50109,16122,13982,2126,1053,724,349,22822,0.32173860983056934,0.8672621262870611,0.15205263910742384,1.6322414532970964
53,50109,17731,15417,2814,1438,956,420,25665,0.3538486100301343,0.8694941063673791,0.1825257832263086,1.664720762794318
54,50109,16423,14000,2230,1180,675,375,23390,0.3277455147777844,0.8524630091944224,0.15928571428571428,1.6707142857142858
55,50109,17654,15217,2551,1277,819,455,25128,0.35231195992735836,0.8619576299988672,0.16764145363737926,1.6513110337122954
56,50109,16318,14201,2858,1447,895,516,23898,0.32565008281945357,0.8702659639661723,0.20125343285684108,1.6828392366734737
57,50109,16363,14277,2372,1226,781,365,23901,0.3265481250873097,0.8725172645602884,0.16614134622119492,1.6740911956293338
58,50109,16944,14723,2631,1361,810,460,24851,0.33814284859007365,0.8689211520302171,0.178699993207906,1.6879032805814032
59,50109,17873,15663,2935,1635,847,453,26225,0.3566824322975913,0.8763498013763777,0.18738428142756816,1.6743280342207751
60,50109,16406,14240,2161,1118,723,320,24258,0.32740625436548326,0.867975131049616,0.1517556179775281,1.7035112359550562
61,50109,16136,13986,2608,1405,746,457,23316,0.3220180007583468,0.866757560733763,0.18647218647218647,1.6670956670956671
62,50109,17013,14312,2182,1186,662,334,23538,0.3395198467341196,0.8412390524892729,0.1524594745667971,1.6446338736724426
63,50109,17022,14339,2644,1396,839,409,24248,0.33969945518769085,0.8423804488309247,0.1843922170304763,1.6910523746425832
64,50109,17564,15265,2659,1310,840,509,25530,0.3505158753916462,0.8691072648599408,0.1741893219783819,1.6724533245987554
65,50109,17436,15000,2589,1327,837,425,25485,0.3479614440519667,0.8602890571231934,0.1726,1.699
66,50109,16683,14293,2636,1367,824,445,24084,0.3329342034365084,0.8567403944134748,0.18442594276918772,1.6850206394738683
67,50109,16809,14533,2691,1292,814,585,23911,0.3354487217865054,0.864596347194955,0.18516479735773755,1.6452900295878345
68,50109,16116,13669,2374,1243,754,377,21908,0.32161887086152185,0.8481633159592951,0.17367766478893848,1.602750749871973
69,50109,15931,13511,2485,1195,807,483,22220,0.31792691931589134,0.8480949092963405,0.18392420990304195,1.6445858929760935
70,50109,17865,15443,3028,1573,970,485,26272,0.35652278033886126,0.8644276518331934,0.19607589198989833,1.701223855468497
71,50109,16819,14709,2423,1141,682,600,24917,0.33564828673491787,0.8745466436767941,0.16472907743558365,1.6939968726629955
72,50109,18016,16165,3184,1817,972,395,26119,0.3595362110598894,0.8972579928952042,0.19696875966594493,1.615774822146613
73,50109,16874,14854,2664,1364,888,412,24281,0.3367458939511864,0.8802892023231006,0.17934563080651678,1.6346438669718595
74,50109,16889,14576,2275,1193,646,436,24679,0.3370452413738051,0.863046953638463,0.15607848518111964,1.6931256860592756
75,50109,17358,15162,2927,1404,936,587,25315,0.3464048374543495,0.873487729001037,0.19304841049993404,1.6696346128479091
76,50109,16177,13971,2381,1272,668,441,22666,0.3228362170468379,0.8636335538109662,0.17042445064777037,1.6223606041085106
77,50109,16322,14159,2677,1425,849,403,24337,0.3257299087988186,0.8674794755544664,0.18906702450738047,1.7188360759940673
78,50109,16600,14133,2708,1406,878,424,23596,0.331277814364685,0.8513855421686747,0.19160829264841153,1.6695676784829832
79,50109,16906,14698,2746,1424,834,488,24192,0.3373845017861063,0.869395480894357,0.18682813988297728,1.6459382228874677
80,50109,17171,14777,2467,1280,801,386,24532,0.3426729729190365,0.8605788830004076,0.1669486363943967,1.6601475265615484
81,50109,18182,15736,2593,1193,901,499,25526,0.3628489892035363,0.8654713452865471,0.16478139298423997,1.6221403152008134
82,50109,16434,14119,2434,1327,694,413,23127,0.3279650362210381,0.859133503711817,0.17239181245130675,1.6380055244705716
83,50109,16945,14909,2631,1423,820,388,24274,0.33816280508491486,0.8798465624077899,0.17647058823529413,1.6281440740492321
84,50109,15962,13814,2445,1249,840,356,22687,0.31854557065597,0.8654303971933341,0.17699435355436513,1.642319386130013
85,50109,16401,13914,2570,1261,884,425,23039,0.32730647189127704,0.8483629047009329,0.18470605145896218,1.655814287767716
86,50109,16901,14837,2726,1418,939,369,25134,0.33728471931190007,0.8778770486953434,0.18372986452786952,1.694008222686527
87,50109,16983,14799,2698,1320,970,408,25325,0.3389211518888822,0.8714008125772832,0.1823096155145618,1.7112642746131494
88,50109,16116,14041,2518,1247,896,375,23423,0.32161887086152185,0.8712459667411269,0.17933195641336086,1.6681860266362796
89,50109,17035,14748,2836,1401,940,495,24562,0.33995888962062704,0.8657469914881127,0.19229726064551125,1.6654461621914836
90,50109,17385,15010,2288,1172,690,426,25477,0.34694366281506317,0.8633879781420765,0.1524317121918721,1.6973351099267155
91,50109,17441,15270,3039,1494,1022,523,25986,0.34806122652617294,0.8755231924774955,0.19901768172888015,1.7017681728880156
92,50109,16286,13871,2749,1422,898,429,23494,0.3250114749845337,0.8517131278398624,0.19818326003893014,1.6937495494196526
93,50109,17676,15049,2840,1420,849,571,25091,0.3527510028138658,0.8513804028060648,0.18871685826300752,1.6672868629144795
94,50109,17301,15373,2834,1515,871,448,25660,0.3452673172483985,0.8885613548349807,0.1843491836336434,1.669160215963052
95,50109,18384,16123,2769,1502,804,463,26166,0.366880201161468,0.8770126196692777,0.17174223159461638,1.6228989642126155
96,50109,16999,14476,2795,1355,987,453,23451,0.33924045580634216,0.8515795046767457,0.19307819839734733,1.6199917104172423
97,50109,16260,14090,2545,1300,821,424,23539,0.3244926061186613,0.8665436654366544,0.18062455642299502,1.6706174591909155
98,50109,16151,13954,2343,1182,764,397,23194,0.32231734818096547,0.8639712711287226,0.16790884334241077,1.6621757202235918
99,50109,15743,13442,2290,1231,703,356,22497,0.3141750982857371,0.8538398018166804,0.17036155334027675,1.6736348757625354
100,50109,17063,14720,2704,1452,770,482,24880,0.34051767147618195,0.8626853425540644,0.18369565217391304,1.690217391304348
101,50109,18051,15801,2895,1415,973,507,25746,0.36023468837933303,0.8753531660295828,0.18321625213594075,1.6293905449022215
102,50109,16183,14101,2541,1356,778,407,23216,0.3229559560158854,0.8713464746956683,0.18019998581660876,1.6464080561662293
103,50109,16259,14431,2630,1368,890,372,23966,0.32447264962382005,0.8875699612522295,0.18224655256046013,1.6607303721155846
104,50109,16394,14036,2509,1275,733,501,24129,0.3271667764273883,0.8561668903257289,0.1787546309489883,1.719079509831861
105,50109,15672,13751,2732,1474,870,388,23038,0.31275818715200865,0.8774247064828994,0.1986764598938259,1.6753690640680678
106,50109,17291,15250,2601,1238,901,462,25574,0.34506775229998604,0.8819617141865711,0.17055737704918034,1.676983606557377
107,50109,17575,15330,2543,1293,825,425,25637,0.3507353968348999,0.8722617354196301,0.16588388780169602,1.672341813437704
108,50109,16827,14343,2233,1095,733,405,24107,0.33580793869364783,0.8523801034052416,0.15568570034163007,1.680750191731158
109,50109,16602,14182,2441,1191,827,423,23971,0.3313177273543675,0.8542344295867967,0.17211958821040757,1.6902411507544775
110,50109,16420,14261,2518,1249,872,397,23680,0.3276856452932607,0.8685140073081608,0.17656545824276,1.6604726176284974
111,50109,17522,15088,2484,1320,728,436,24510,0.3496777026083139,0.8610889167903207,0.16463414634146342,1.6244697773064687
112,50109,16548,14455,2497,1204,827,466,24141,0.3302400766329402,0.8735194585448393,0.17274299550328606,1.6700795572466274
113,50109,17512,14851,3171,1666,1024,481,24866,0.34947813765990143,0.8480470534490635,0.21352097501851727,1.674365362601845
114,50109,17079,14754,2231,1162,710,359,24599,0.3408369753936419,0.8638679079571403,0.1512132303104243,1.6672766707333604
115,50109,17648,15304,2878,1535,788,555,25812,0.3521922209583109,0.8671804170444243,0.18805541035023524,1.6866178776790381
116,50109,16808,14564,2491,1317,766,408,24325,0.33542876529166415,0.8664921465968587,0.1710381763251854,1.6702142268607525
117,50109,17579,15222,2568,1328,813,427,25244,0.3508152228142649,0.8659195631150804,0.1687031927473394,1.6583891735645775
118,50109,16304,14080,2278,1293,603,382,23096,0.32537069189167617,0.8635917566241413,0.16178977272727274,1.6403409090909091
119,50109,16663,14683,2624,1368,856,400,24398,0.3325350735396835,0.8811738582488148,0.178710072873391,1.6616495266634883
120,50109,16914,14848,2126,1024,659,443,24879,0.33754415374483626,0.8778526664301762,0.1431842672413793,1.6755792025862069
121,50109,17089,14811,3035,1489,1041,505,24674,0.34103654034205433,0.8666978758265551,0.20491526568091284,1.6659239754236717
122,50109,17765,15512,2667,1358,913,396,25581,0.3545271308547367,0.8731775963974107,0.17193140794223827,1.649110366168128
123,50109,16025,13744,2713,1282,1000,431,23661,0.31980282983096847,0.8576599063962559,0.19739522700814902,1.7215512223515717
124,50109,16550,14410,2806,1530,834,442,23574,0.33027998962262267,0.8706948640483384,0.19472588480222067,1.6359472588480222
125,50109,17445,15086,2525,1363,736,426,25684,0.34814105250553795,0.8647750071653769,0.16737372398250033,1.7025056343629856
126,50109,17815,15426,3157,1577,924,656,26241,0.355524955596799,0.8658995228739826,0.20465447945027876,1.7010890704006223
127,50109,16569,14461,2674,1317,877,480,23843,0.33065916302460635,0.8727744583257891,0.18491114030841574,1.6487794758315468
128,50109,16568,14295,2403,1212,736,455,23089,0.33063920652976514,0.8628078223080637,0.16810073452256033,1.6151801329136062
129,50109,17936,15326,2807,1558,809,440,25382,0.35793969147258975,0.8544826048171276,0.18315281221453739,1.6561398929923006
130,50109,16341,14361,2505,1247,876,382,24266,0.32610908220080226,0.878832384798972,0.17443074994777522,1.6897152008913028
131,50109,16490,14296,2218,1094,778,346,23648,0.3290825999321479,0.866949666464524,0.15514829322887522,1.6541689983212087
132,50109,17107,15027,2884,1423,954,507,25165,0.34139575724919674,0.8784123458233472,0.19192120849138217,1.6746522925400944
133,50109,17054,14623,2789,1533,852,404,24274,0.3403380630226107,0.8574527969977718,0.19072693701702798,1.659987690624359
134,50109,17692,15587,2742,1424,947,371,25694,0.3530703067313257,0.8810196699073027,0.17591582729197408,1.648424969525887
135,50109,18189,15690,2615,1374,860,381,26255,0.362988684667425,0.8626092693386113,0.16666666666666666,1.6733588272785214
136,50109,16961,14895,3092,1606,977,509,24761,0.3384821090023748,0.8781911443900713,0.20758643840214838,1.6623699227928834
137,50109,16386,13875,2277,1078,812,387,22562,0.3270071244686583,0.8467594287806665,0.1641081081081081,1.62609009009009
138,50109,14984,12947,2267,1042,848,377,21779,0.2990281187012313,0.8640549919914575,0.17509847841198733,1.6821657526840195
139,50109,16504,14561,2404,1181,863,360,23783,0.32936199085992535,0.8822709646146388,0.1650985509237003,1.6333356225533961
140,50109,16920,14388,2767,1526,818,423,23560,0.33766389271388375,0.850354609929078,0.19231303864331387,1.637475674172922
141,50109,15991,14047,2515,1229,779,507,22490,0.3191243090063661,0.8784316177850041,0.1790417882821955,1.6010536057521179
142,50109,16807,14472,2345,1316,682,347,24156,0.33540880879682294,0.8610697923484263,0.16203703703703703,1.6691542288557213
143,50109,16161,13943,2623,1388,790,445,23635,0.32251691312937797,0.86275601757317,0.18812307250950297,1.695115828731263
144,50109,16867,14764,2626,1376,817,433,24732,0.33660619848729767,0.8753186695915101,0.17786507721484693,1.6751557843402871
145,50109,15907,13709,2541,1461,629,451,22381,0.31744796343970144,0.8618218394417552,0.18535268801517252,1.632577139105697
146,50109,17190,15011,2689,1429,758,502,24503,0.34305214632102016,0.873240255962769,0.1791353007794284,1.6323362867230697
147,50109,17073,14310,2397,1266,726,405,24171,0.3407172364245944,0.838165524512388,0.16750524109014675,1.689098532494759
148,50109,15269,13301,2319,1133,780,406,21336,0.30471571973098643,0.8711114021874387,0.17434779339899256,1.6040899180512744
149,50109,16630,14162,2665,1385,863,417,23529,0.33187650920992234,0.8515935057125676,0.18817963564468296,1.6614178788306737
150,50109,16221,14055,2312,1056,859,397,24220,0.3237143028198527,0.8664693915294988,0.16449662041977944,1.7232301672002845
151,50109,17950,15594,2592,1263,863,466,25881,0.3582190824003672,0.8687465181058496,0.16621777606771834,1.6596767987687573
152,50109,16717,14496,2301,1293,649,359,23575,0.33361272426111077,0.8671412334749058,0.15873344370860928,1.6263107064017661
153,50109,17666,15631,2553,1235,899,419,26437,0.3525514378654533,0.8848069738480697,0.16332928155588253,1.6913185336830656
154,50109,16127,13838,2656,1473,828,355,23607,0.32183839230477557,0.8580641160786259,0.19193525075878018,1.7059546177193237
155,50109,16560,14159,2638,1450,830,358,22980,0.3304795545710351,0.855012077294686,0.1863125926972244,1.6229959742919697
156,50109,17360,15006,3105,1645,893,567,25611,0.346444750444032,0.8644009216589862,0.2069172331067573,1.7067173130747701
157,50109,17066,14816,2780,1523,862,395,24331,0.34057754096070564,0.8681589124575179,0.18763498920086394,1.6422111231101513
158,50109,17733,15433,2769,1334,853,582,25265,0.3538885230198168,0.8702983138780804,0.17942072182984514,1.6370763947385472
159,50109,17449,14880,2556,1352,747,457,24653,0.3482208784849029,0.852770932431658,0.1717741935483871,1.656787634408602
160,50109,16804,14453,2550,1348,770,432,24248,0.3353489393122992,0.8600928350392764,0.17643395834774786,1.6777139694181138
161,50109,17034,14674,2280,1176,769,335,24448,0.33993893312578577,0.8614535634613126,0.15537685702603243,1.6660760528826495
162,50109,17670,15215,2519,1239,740,540,25426,0.3526312638448183,0.8610639501980758,0.1655603023332238,1.6711140322050608
163,50109,16916,14757,2566,1376,749,441,24653,0.33758406673451874,0.8723693544573186,0.17388358067357865,1.670597004811276
164,50109,16111,14144,2806,1515,841,450,23171,0.32151908838731563,0.8779095028241574,0.19838800904977374,1.6382211538461537
165,50109,16860,14697,2333,1155,760,418,24391,0.33646650302340897,0.8717081850533808,0.15873987888684765,1.6595903925971287
166,50109,16928,14669,2442,1272,780,390,23954,0.3378235446726137,0.8665524574669187,0.16647351557706727,1.6329674824459746
167,50109,17314,15121,2672,1467,766,439,25117,0.3455267516813347,0.8733394940510569,0.17670788968983533,1.661067389722902
168,50109,16367,13960,2269,1194,734,341,23311,0.32662795106667464,0.8529357854218855,0.16253581661891117,1.6698424068767908
169,50109,16418,14312,2422,1291,743,388,23757,0.3276457323035782,0.871726154220977,0.16922861934041364,1.6599357182783678
170,50109,16271,13998,2411,1314,690,407,23341,0.32471212756191503,0.8603036076455043,0.17223889127018147,1.6674524932133161
171,50109,16061,13644,2494,1235,852,407,22932,0.32052126364525335,0.8495112384035863,0.182790970389915,1.6807387862796834
172,50109,17830,15351,2355,1178,794,383,25285,0.35582430301941764,0.860964666292765,0.15341020128981825,1.647123965865416
173,50109,16241,14028,2453,1271,780,402,23696,0.32411343271667764,0.8637399174927652,0.17486455660108355,1.6891930424864556
174,50109,17301,15032,2632,1357,824,451,25315,0.3452673172483985,0.8688515114733253,0.17509313464608833,1.684073975518893
175,50109,17317,14969,2478,1336,778,364,24996,0.3455866211658584,0.8644106946930762,0.16554212038212304,1.669851025452602
176,50109,16884,14553,2613,1373,729,511,24474,0.33694545889959887,0.8619402985074627,0.1795506081220367,1.6817151102865389
177,50109,17620,15407,2797,1486,843,468,25820,0.351633439102756,0.8744040862656073,0.18154085805153503,1.675861621340949
178,50109,16372,13969,2314,1184,697,433,23198,0.32672773354088086,0.8532250183239678,0.165652516286062,1.660677213830625
179,50109,17617,15134,2817,1444,914,459,24640,0.3515735696182323,0.8590565930635182,0.18613717457380732,1.6281221091581868
180,50109,17019,14759,2948,1580,898,470,24834,0.3396395857031671,0.867207238968212,0.19974252998170608,1.6826343248187547
181,50109,16557,14389,2421,1278,784,359,23866,0.3304196850865114,0.8690584043002959,0.16825352699979151,1.6586281187017862
182,50109,16695,14487,2267,1104,774,389,23960,0.33317368137460335,0.8677448337825696,0.156485124594464,1.6538965969489887
183,50109,17418,15085,2587,1424,792,371,24353,0.3476022271448243,0.8660581008152486,0.17149486244613854,1.614385150812065
184,50109,17500,15417,2916,1610,803,503,25419,0.34923865972180645,0.8809714285714285,0.18914185639229422,1.6487643510410586
185,50109,17964,15162,2777,1383,894,500,25462,0.35849847332814466,0.8440213760855043,0.1831552565624588,1.679329903706635
186,50109,17539,15278,2616,1374,888,354,24555,0.3500169630206151,0.8710872911796568,0.1712266003403587,1.607212985992931
187,50109,16249,14080,2548,1265,879,404,23001,0.3242730846754076,0.8665148624530741,0.1809659090909091,1.63359375
188,50109,15111,13031,1996,1068,634,294,22548,0.30156259354606957,0.8623519290583019,0.1531732023635945,1.7303353541554753
189,50109,16437,14323,2623,1330,780,513,22909,0.32802490570556186,0.8713877228204661,0.18313202541367032,1.5994554213502759
190,50109,16660,14864,2755,1429,763,563,24807,0.33247520405515973,0.8921968787515006,0.18534714747039827,1.668931646932185
191,50109,16996,14673,2485,1226,818,441,24299,0.3391805863218184,0.8633207813603201,0.16935868602194507,1.6560348940230356
192,50109,16451,14673,2480,1242,848,390,24188,0.3283042966333393,0.891921463740806,0.16901792407823893,1.6484699788727595
193,50109,16426,14298,2486,1298,729,459,23863,0.32780538426230815,0.8704492877145988,0.17387047139460066,1.6689746817736746
194,50109,18570,16047,3051,1580,957,514,26690,0.37059210920193975,0.8641357027463651,0.19012899607403252,1.663239234747928
195,50109,17338,14842,2486,1239,873,374,24168,0.3460057075575246,0.8560387587957089,0.167497641827247,1.6283519741274761
196,50109,16805,14477,2311,1281,641,389,24356,0.3353688958071404,0.8614698006545671,0.15963252054983768,1.6823927609311322
197,50109,15965,13712,2379,1154,828,397,22652,0.31860544014049375,0.8588787973692452,0.17349766627771296,1.6519836639439907
198,50109,17850,15856,2765,1527,775,463,26356,0.3562234329162426,0.8882913165266106,0.1743819374369324,1.662209889001009
199,50109,15954,13700,2130,1145,631,354,22534,0.31838591869724003,0.8587188165977184,0.1554744525547445,1.6448175182481752
200,50109,16313,14154,2529,1351,822,356,23946,0.32555030034524735,0.8676515662355176,0.17867740568037305,1.691818567189487
201,50109,17522,15001,2585,1255,838,492,24853,0.3496777026083139,0.8561237301677891,0.17232184521031932,1.6567562162522498
202,50109,16819,14468,2542,1351,754,437,23432,0.33564828673491787,0.8602176110351388,0.17569809234171965,1.6195742327896046
203,50109,17050,15062,3152,1655,1033,464,25865,0.3402582370432457,0.8834017595307918,0.20926835745584915,1.717235426902138
204,50109,17470,15253,2673,1349,803,521,24863,0.34863996487656906,0.8730967372638809,0.17524421425293385,1.6300399921326951
205,50109,18038,15492,2064,1139,610,315,26043,0.35997525394639684,0.8588535314336401,0.1332300542215337,1.6810611928737413
206,50109,16142,13989,2563,1387,751,425,24055,0.3221377397273943,0.8666212365258332,0.18321538351561942,1.7195653727929088
207,50109,17416,15172,2200,1185,658,357,25369,0.34756231415514177,0.8711529627928342,0.14500395465330873,1.672093329818086
208,50109,16699,14252,2368,1307,693,368,23203,0.33325350735396836,0.8534642792981616,0.16615211900084198,1.628052203199551
209,50109,17689,15350,3304,1659,1128,517,25940,0.353010437246802,0.8677709310871163,0.21524429967426711,1.6899022801302932
210,50109,16478,14493,2828,1464,913,451,24461,0.32884312199405297,0.8795363514989684,0.19512868281239218,1.6877803077347686
211,50109,16711,14585,2580,1364,752,464,24046,0.3334929852920633,0.8727784094309138,0.17689406924922865,1.648680150839904
212,50109,17623,15153,2815,1552,767,496,25578,0.3516933085872797,0.8598422516030187,0.1857717943641523,1.6879825777073847
213,50109,17296,15227,2386,1212,739,435,24793,0.34516753477419226,0.880376965772433,0.15669534379720235,1.628226177185263
214,50109,17012,14615,2844,1446,844,554,24760,0.33949989023927835,0.8590994592052669,0.1945945945945946,1.6941498460485802
215,50109,17371,14902,2749,1488,848,413,24906,0.3466642718872857,0.8578665592078752,0.18447188296872902,1.6713192860018788
216,50109,17704,15257,2613,1431,759,423,25541,0.35330978466942065,0.861782647989155,0.17126564855476176,1.6740512551615652
217,50109,17776,15465,2594,1326,785,483,25944,0.3547466522979904,0.8699932493249325,0.1677335919818946,1.6775945683802134
218,50109,16181,14134,2227,1176,636,415,23260,0.32291604302620286,0.8734936036091713,0.15756332248478847,1.6456770907032687
219,50109,17034,15254,2715,1513,700,502,24624,0.33993893312578577,0.8955031114242104,0.1779861020060312,1.6142651107906123
220,50109,18089,15521,2446,1244,808,394,25757,0.3609930351833004,0.8580352700536238,0.15759293859931706,1.6594935893305844
221,50109,17873,15513,2532,1363,818,351,26439,0.3566824322975913,0.8679572539584849,0.16321794623863856,1.704312512086637
222,50109,17028,14475,2784,1411,908,465,24102,0.33981919415673834,0.8500704721634954,0.19233160621761658,1.665077720207254
223,50109,16711,14490,2208,1147,689,372,24283,0.3334929852920633,0.8670935312069894,0.1523809523809524,1.6758454106280194
224,50109,17150,15006,2514,1365,774,375,25333,0.3422538865273703,0.8749854227405248,0.1675329868052779,1.6881913901106225
225,50109,17377,15426,2733,1315,954,464,25461,0.3467840108563332,0.8877251539391149,0.17716841695838195,1.6505250875145858
226,50109,17107,15022,2550,1447,732,371,25016,0.34139575724919674,0.8781200678084995,0.16975103181999734,1.665290906670217
227,50109,18184,15724,2401,1270,701,430,26447,0.3628889021932188,0.8647162340519138,0.1526965148817095,1.6819511574662935
228,50109,16871,14584,2508,1340,784,384,25108,0.3366860244666627,0.8644419417936103,0.17196928140427867,1.7216127262753702
229,50109,17086,14896,2470,1287,747,436,24647,0.3409766708575306,0.8718248858714738,0.16581632653061223,1.6546052631578947
230,50109,17193,15204,2570,1369,777,424,25786,0.3431120158055439,0.8843133833536905,0.1690344646145751,1.6960010523546436
231,50109,17117,14837,2893,1418,1015,460,24834,0.3415953221976092,0.8667990886253433,0.19498550919997304,1.6737885017186762
