realized_shocks,systemic_shocks,regional_shocks,sectoral_shocks,positive_shocks,negative_shocks,active_months,quiet_months,overlap_months,max_simultaneous_shocks,mean_abs_net_intensity,audit_world,world_seed
4,4,0,0,3,1,23,49,10,3,0.07810501916666666,103,21068739
9,5,3,1,5,4,56,16,24,4,0.21563142125,104,21076658
4,4,0,0,1,3,35,37,1,2,0.17333054041666668,105,21084577
7,3,2,2,5,2,51,21,19,2,0.18997572499999998,106,21092496
9,5,3,1,2,7,51,21,33,3,0.35528626875,107,21100415
8,5,1,2,3,5,58,14,26,2,0.27861244,108,21108334
11,7,2,2,6,5,58,14,30,5,0.2709503872222222,109,21116253
13,7,5,1,1,12,72,0,49,3,0.49359268958333335,110,21124172
5,4,0,1,1,4,29,43,7,2,0.1118599698611111,111,21132091
4,1,2,1,2,2,37,35,5,2,0.18446591694444445,112,21140010
4,2,2,0,0,4,24,48,13,3,0.15983951722222223,113,21147929
4,1,3,0,1,3,22,50,5,2,0.13533267,114,21155848
6,2,2,2,3,3,44,28,9,4,0.22714419402777775,115,21163767
8,5,2,1,1,7,59,13,23,3,0.3301094625,116,21171686
6,3,2,1,3,3,32,40,12,2,0.09886169180555554,117,21179605
4,2,2,0,0,4,36,36,6,2,0.1478949161111111,118,21187524
6,2,3,1,3,3,45,27,10,3,0.17806800152777777,119,21195443
7,4,3,0,4,3,53,19,26,4,0.22412701416666664,120,21203362
8,2,3,3,6,2,56,16,26,3,0.3436924941666667,121,21211281
7,4,3,0,2,5,50,22,13,2,0.2861970586111111,122,21219200
3,1,1,1,1,2,30,42,0,1,0.11514584166666667,123,21227119
8,2,2,4,2,6,51,21,19,3,0.22925210208333333,124,21235038
3,2,1,0,0,3,26,46,1,2,0.12285707680555556,125,21242957
12,7,3,2,2,10,68,4,40,4,0.4546284652777778,126,21250876
6,3,2,1,1,5,43,29,21,3,0.23816821972222224,127,21258795
5,1,1,3,2,3,33,39,9,2,0.16860513430555557,128,21266714
7,2,2,3,3,4,26,46,16,4,0.14236954430555557,129,21274633
9,2,3,4,4,5,52,20,24,3,0.29708044791666666,130,21282552
9,3,3,3,1,8,48,24,34,3,0.3675003988888889,131,21290471
6,3,3,0,2,4,51,21,11,3,0.22087770055555556,132,21298390
7,3,2,2,2,5,38,34,8,3,0.22305122458333335,133,21306309
6,2,2,2,2,4,42,30,15,3,0.17250424,134,21314228
12,7,1,4,3,9,69,3,38,5,0.36635526416666664,135,21322147
3,1,1,1,1,2,18,54,1,2,0.04806219847222223,136,21330066
6,5,1,0,3,3,60,12,10,2,0.22019491458333335,137,21337985
4,2,2,0,2,2,27,45,4,2,0.08153647027777779,138,21345904
5,0,3,2,4,1,35,37,10,2,0.1342176779166667,139,21353823
5,2,2,1,2,3,33,39,11,3,0.09709354263888889,140,21361742
5,3,2,0,2,3,35,37,14,3,0.14255665611111112,141,21369661
4,4,0,0,4,0,35,37,8,2,0.17239361944444442,142,21377580
10,5,3,2,3,7,69,3,43,3,0.40292288916666663,143,21385499
3,2,1,0,2,1,26,46,0,1,0.11408465013888887,144,21393418
8,2,3,3,4,4,53,19,29,3,0.18507557375,145,21401337
9,7,1,1,5,4,55,17,25,3,0.2562406836111111,146,21409256
2,0,0,2,1,1,11,61,0,1,0.05227956763888889,147,21417175
10,4,3,3,6,4,50,22,19,4,0.2566766006944445,148,21425094
13,6,5,2,6,7,60,12,38,5,0.23255146263888887,149,21433013
9,4,3,2,4,5,40,32,24,3,0.13501708819444444,150,21440932
11,7,3,1,3,8,51,21,31,4,0.36205481819444446,151,21448851
5,2,1,2,3,2,23,49,12,3,0.09437149111111112,152,21456770
6,4,0,2,2,4,54,18,12,2,0.25936743305555554,153,21464689
7,5,2,0,3,4,58,14,21,3,0.28626488819444446,154,21472608
6,5,1,0,2,4,49,23,18,3,0.23954452152777772,155,21480527
11,5,4,2,2,9,54,18,23,5,0.31079701402777776,156,21488446
3,3,0,0,1,2,37,35,3,2,0.16438132083333334,157,21496365
6,5,1,0,0,6,49,23,16,2,0.2764674070833333,158,21504284
5,2,1,2,1,4,26,46,7,3,0.21651924694444447,159,21512203
4,3,0,1,3,1,42,30,12,3,0.20293541333333331,160,21520122
5,1,1,3,1,4,36,36,7,2,0.19321402722222222,161,21528041
1,0,0,1,0,1,2,70,0,1,0.01022851125,162,21535960
8,4,2,2,4,4,47,25,23,3,0.22333901250000002,163,21543879
6,3,2,1,2,4,40,32,17,2,0.21122565472222224,164,21551798
9,5,4,0,2,7,52,20,45,3,0.20200159222222222,165,21559717
6,4,2,0,2,4,42,30,16,3,0.21765266569444444,166,21567636
3,2,1,0,1,2,44,28,6,2,0.18260260347222224,167,21575555
5,2,2,1,3,2,33,39,6,3,0.17351695444444445,168,21583474
9,5,1,3,6,3,54,18,32,4,0.2228016097222222,169,21591393
4,1,0,3,3,1,28,44,8,3,0.12116991722222223,170,21599312
6,3,2,1,2,4,31,41,11,4,0.16565226527777777,171,21607231
6,4,1,1,1,5,42,30,25,4,0.18843796819444447,172,21615150
3,1,1,1,0,3,24,48,6,2,0.1388282788888889,173,21623069
5,4,1,0,0,5,34,38,0,1,0.1594009723611111,174,21630988
10,5,5,0,3,7,62,10,31,4,0.24585906319444442,175,21638907
6,5,0,1,1,5,37,35,20,4,0.2530948216666667,176,21646826
7,4,1,2,6,1,50,22,11,3,0.21458702430555554,177,21654745
8,5,2,1,5,3,44,28,30,4,0.12577673972222222,178,21662664
3,1,2,0,0,3,27,45,1,2,0.11838153347222222,179,21670583
2,1,1,0,0,2,20,52,0,1,0.08920286166666666,180,21678502
7,3,2,2,2,5,40,32,20,3,0.26358771249999996,181,21686421
4,1,1,2,0,4,25,47,3,2,0.15859072680555558,182,21694340
8,5,2,1,1,7,55,17,18,4,0.21997684222222225,183,21702259
7,3,3,1,0,7,40,32,15,2,0.23542631430555558,184,21710178
6,4,1,1,4,2,40,32,7,3,0.15867832819444447,185,21718097
13,6,5,2,3,10,63,9,32,4,0.33213532375,186,21726016
6,3,1,2,2,4,35,37,12,3,0.17481972208333332,187,21733935
3,1,0,2,2,1,19,53,7,2,0.07613581541666666,188,21741854
5,2,1,2,0,5,26,46,12,4,0.21674894458333333,189,21749773
7,4,2,1,1,6,42,30,13,3,0.20297615027777777,190,21757692
5,2,2,1,0,5,48,24,10,2,0.22544795625000003,191,21765611
11,4,5,2,5,6,58,14,43,5,0.3020850665277777,192,21773530
7,2,2,3,1,6,33,39,16,3,0.2975632706944444,193,21781449
6,4,1,1,3,3,49,23,10,2,0.30297163930555554,194,21789368
2,2,0,0,0,2,22,50,0,1,0.08375408777777776,195,21797287
7,2,4,1,1,6,44,28,19,2,0.22799092222222217,196,21805206
5,2,2,1,0,5,44,28,21,2,0.3031076069444445,197,21813125
9,6,3,0,3,6,52,20,26,4,0.22817401041666663,198,21821044
6,3,2,1,3,3,42,30,16,3,0.19981825277777776,199,21828963
4,1,2,1,0,4,29,43,0,1,0.11784443500000001,200,21836882
7,3,0,4,3,4,66,6,13,3,0.24695231027777778,201,21844801
10,5,3,2,3,7,46,26,19,5,0.21355662249999996,202,21852720
7,0,4,3,2,5,47,25,22,3,0.1476661098611111,203,21860639
8,5,2,1,1,7,54,18,22,2,0.29405640041666664,204,21868558
7,4,1,2,3,4,43,29,26,4,0.20289301472222224,205,21876477
10,6,3,1,2,8,53,19,35,4,0.36524082625000004,206,21884396
4,0,1,3,2,2,27,45,0,1,0.08265713875,207,21892315
5,4,0,1,2,3,39,33,6,3,0.18889720375,208,21900234
6,4,0,2,1,5,46,26,7,2,0.29611048472222223,209,21908153
4,0,2,2,3,1,32,40,4,2,0.17090271638888888,210,21916072
5,1,2,2,1,4,30,42,7,3,0.08493614333333332,211,21923991
5,2,2,1,3,2,44,28,26,2,0.13706979541666667,212,21931910
5,3,1,1,4,1,39,33,9,3,0.21242943819444443,213,21939829
5,2,1,2,1,4,34,38,8,3,0.1922349440277778,214,21947748
9,3,3,3,3,6,59,13,36,4,0.32043407791666667,215,21955667
11,6,3,2,2,9,55,17,31,3,0.33795248916666665,216,21963586
9,3,3,3,2,7,53,19,29,3,0.2424801579166667,217,21971505
3,3,0,0,2,1,27,45,11,2,0.06292775013888889,218,21979424
12,5,5,2,5,7,63,9,35,6,0.45998792069444444,219,21987343
7,5,1,1,4,3,41,31,16,4,0.11867227430555556,220,21995262
4,1,2,1,2,2,28,44,2,2,0.09696896847222222,221,22003181
6,3,2,1,3,3,42,30,21,3,0.20187399916666665,222,22011100
3,2,1,0,2,1,36,36,0,1,0.15719989708333332,223,22019019
7,3,2,2,2,5,44,28,23,3,0.23711024944444448,224,22026938
10,3,3,4,2,8,52,20,28,3,0.34274876083333333,225,22034857
8,5,3,0,2,6,54,18,28,4,0.34558559944444445,226,22042776
5,4,0,1,2,3,34,38,18,3,0.21334528166666666,227,22050695
9,8,1,0,4,5,69,3,16,3,0.3541858756944445,228,22058614
4,4,0,0,3,1,29,43,17,2,0.10172907569444443,229,22066533
4,1,1,2,2,2,32,40,11,2,0.05363392347222222,230,22074452
8,3,3,2,0,8,41,31,16,3,0.23638459944444445,231,22082371
9,5,3,1,3,6,58,14,35,3,0.2363377052777778,232,22090290
4,2,0,2,2,2,43,29,5,2,0.1998357211111111,233,22098209
1,0,0,1,1,0,13,59,0,1,0.04217267597222222,234,22106128
7,3,2,2,2,5,48,24,29,3,0.31641003291666664,235,22114047
3,1,1,1,1,2,28,44,0,1,0.09839749416666668,236,22121966
6,2,3,1,1,5,55,17,10,2,0.2382069531944445,237,22129885
1,1,0,0,0,1,7,65,0,1,0.05073882763888889,238,22137804
7,2,3,2,3,4,36,36,18,3,0.23427814111111112,239,22145723
8,2,5,1,1,7,48,24,21,4,0.2189960102777778,240,22153642
10,5,3,2,7,3,54,18,22,6,0.22672911652777777,241,22161561
6,3,1,2,1,5,56,16,18,2,0.3591924559722222,242,22169480
6,2,2,2,2,4,49,23,10,3,0.28214975277777776,243,22177399
7,1,3,3,1,6,40,32,12,3,0.2556651075,244,22185318
7,4,1,2,2,5,42,30,22,3,0.22360203805555554,245,22193237
14,8,3,3,6,8,70,2,49,4,0.34694223625000004,246,22201156
10,5,4,1,4,6,39,33,31,4,0.3011905005555555,247,22209075
6,5,0,1,3,3,48,24,23,4,0.12962250138888887,248,22216994
3,1,1,1,1,2,17,55,1,2,0.06884972652777778,249,22224913
5,3,1,1,3,2,33,39,4,2,0.18932875,250,22232832
7,3,3,1,3,4,36,36,18,4,0.21532120430555557,251,22240751
4,2,0,2,2,2,42,30,12,2,0.1351959397222222,252,22248670
6,3,1,2,3,3,44,28,15,2,0.1828617351388889,253,22256589
8,5,3,0,3,5,52,20,24,4,0.18922089416666668,254,22264508
8,3,2,3,3,5,49,23,25,3,0.3451087375,255,22272427
4,3,0,1,2,2,29,43,8,2,0.14796993055555557,256,22280346
11,9,1,1,5,6,65,7,50,4,0.2952237040277778,257,22288265
4,3,1,0,1,3,37,35,0,1,0.1687823986111111,258,22296184
6,6,0,0,2,4,58,14,21,3,0.32661768638888894,259,22304103
3,2,1,0,0,3,23,49,0,1,0.06233108569444444,260,22312022
4,2,1,1,2,2,37,35,12,3,0.20188722597222222,261,22319941
4,0,1,3,2,2,23,49,11,3,0.10713611361111111,262,22327860
7,4,1,2,3,4,63,9,20,3,0.40217253666666664,263,22335779
9,6,3,0,1,8,63,9,20,3,0.26434228069444443,264,22343698
2,2,0,0,1,1,29,43,0,1,0.1027596548611111,265,22351617
8,3,1,4,1,7,39,33,18,4,0.23012015972222225,266,22359536
5,3,1,1,4,1,32,40,18,3,0.14738475708333335,267,22367455
7,1,4,2,3,4,47,25,22,3,0.29408878652777776,268,22375374
5,1,3,1,3,2,43,29,7,2,0.21426662861111112,269,22383293
9,5,2,2,4,5,63,9,34,3,0.28574730875,270,22391212
7,3,2,2,0,7,38,34,19,5,0.34507303125,271,22399131
10,4,5,1,2,8,59,13,35,4,0.3799879977777778,272,22407050
9,2,4,3,4,5,57,15,25,3,0.30966612027777773,273,22414969
9,5,2,2,3,6,61,11,34,3,0.2777775498611111,274,22422888
5,4,0,1,0,5,37,35,7,2,0.1877541163888889,275,22430807
5,2,1,2,1,4,40,32,0,1,0.19942461458333335,276,22438726
10,3,4,3,2,8,52,20,29,5,0.2793680318055556,277,22446645
8,3,4,1,2,6,47,25,21,3,0.3690434343055556,278,22454564
9,6,0,3,4,5,52,20,22,3,0.23853030805555558,279,22462483
5,3,2,0,1,4,56,16,13,2,0.24065474694444441,280,22470402
7,5,2,0,1,6,54,18,12,2,0.21891568819444443,281,22478321
6,3,2,1,0,6,35,37,11,2,0.18977820916666666,282,22486240
5,1,2,2,1,4,37,35,6,2,0.15959290944444446,283,22494159
7,4,1,2,2,5,52,20,17,2,0.2606028769444444,284,22502078
8,3,2,3,5,3,51,21,18,2,0.26013053374999995,285,22509997
5,3,0,2,4,1,41,31,16,2,0.1814779122222222,286,22517916
4,1,0,3,2,2,36,36,14,2,0.16534993611111112,287,22525835
9,4,1,4,4,5,50,22,33,3,0.32069003083333336,288,22533754
6,4,2,0,1,5,45,27,12,3,0.13000891888888888,289,22541673
9,6,2,1,2,7,54,18,16,5,0.32181419930555555,290,22549592
4,1,1,2,2,2,34,38,5,2,0.16971482694444445,291,22557511
8,6,0,2,5,3,51,21,17,5,0.26030157,292,22565430
4,1,1,2,1,3,26,46,10,3,0.10406688472222221,293,22573349
4,3,0,1,2,2,38,34,5,2,0.17607904472222222,294,22581268
4,2,0,2,2,2,32,40,13,2,0.08833626055555556,295,22589187
8,5,2,1,3,5,40,32,21,3,0.2231312851388889,296,22597106
3,2,1,0,2,1,27,45,4,2,0.09442028361111111,297,22605025
7,6,0,1,4,3,56,16,12,2,0.33622824944444446,298,22612944
12,4,5,3,6,6,56,16,31,4,0.2137597109722222,299,22620863
4,4,0,0,2,2,34,38,10,2,0.17444907652777777,300,22628782
7,1,4,2,1,6,37,35,18,2,0.20383867319444446,301,22636701
9,4,3,2,4,5,49,23,23,3,0.3262863265277778,302,22644620
7,3,1,3,1,6,49,23,22,3,0.23864144486111113,303,22652539
5,1,3,1,0,5,36,36,4,2,0.19443847416666665,304,22660458
3,2,1,0,1,2,23,49,0,1,0.11690051472222221,305,22668377
8,3,2,3,3,5,44,28,25,4,0.3830985601388889,306,22676296
4,2,0,2,2,2,30,42,5,2,0.14331649194444443,307,22684215
9,5,2,2,4,5,48,24,17,3,0.19572561430555555,308,22692134
5,2,2,1,1,4,21,51,1,2,0.08952555416666669,309,22700053
4,2,2,0,1,3,26,46,12,3,0.07601007583333333,310,22707972
5,4,0,1,2,3,32,40,21,3,0.12281743861111111,311,22715891
2,1,0,1,1,1,13,59,3,2,0.04325429847222222,312,22723810
6,0,4,2,1,5,39,33,13,2,0.11966761180555555,313,22731729
3,2,0,1,2,1,30,42,4,2,0.14680357847222222,314,22739648
6,3,2,1,2,4,47,25,8,3,0.22808363958333336,315,22747567
6,0,2,4,4,2,43,29,6,2,0.1476729738888889,316,22755486
4,3,1,0,0,4,39,33,4,2,0.15654476597222222,317,22763405
9,3,3,3,3,6,59,13,25,3,0.35914054513888893,318,22771324
3,2,0,1,2,1,25,47,15,2,0.09153963097222222,319,22779243
4,3,0,1,1,3,32,40,1,2,0.19257316930555557,320,22787162
4,2,2,0,1,3,31,41,9,2,0.15690188944444444,321,22795081
7,3,2,2,3,4,48,24,13,3,0.24047802847222222,322,22803000
9,3,5,1,2,7,43,29,18,4,0.2633208076388889,323,22810919
11,6,2,3,4,7,52,20,26,3,0.2617222066666667,324,22818838
4,2,2,0,0,4,26,46,17,3,0.16037115666666668,325,22826757
8,1,5,2,2,6,40,32,25,3,0.2490139340277778,326,22834676
6,3,2,1,5,1,43,29,12,2,0.16448478972222225,327,22842595
3,0,3,0,0,3,17,55,0,1,0.09130595875,328,22850514
6,4,0,2,1,5,30,42,19,4,0.21930460472222224,329,22858433
8,3,4,1,1,7,59,13,19,3,0.27389626958333335,330,22866352
8,6,2,0,3,5,51,21,20,3,0.1690552147222222,331,22874271
5,4,1,0,0,5,34,38,7,2,0.18077427875000002,332,22882190
6,5,1,0,1,5,21,51,16,3,0.17077925027777777,333,22890109
8,5,1,2,3,5,52,20,37,3,0.26714644888888883,334,22898028
8,5,2,1,4,4,42,30,23,4,0.3940640711111112,335,22905947
4,2,2,0,2,2,44,28,0,1,0.16466396388888888,336,22913866
8,4,3,1,2,6,43,29,14,3,0.2991377822222222,337,22921785
6,1,2,3,2,4,39,33,12,2,0.16256065986111112,338,22929704
10,5,1,4,3,7,59,13,28,4,0.2885402266666667,339,22937623
5,2,2,1,2,3,28,44,13,2,0.19536461944444444,340,22945542
9,3,4,2,3,6,53,19,22,4,0.27889404583333327,341,22953461
6,4,1,1,2,4,41,31,20,4,0.2271790338888889,342,22961380
10,3,4,3,3,7,58,14,25,3,0.27570337972222225,343,22969299
5,2,1,2,3,2,49,23,5,2,0.17580624430555558,344,22977218
7,2,3,2,2,5,54,18,28,3,0.2986557847222222,345,22985137
4,2,0,2,1,3,26,46,13,2,0.1309936576388889,346,22993056
10,5,3,2,4,6,52,20,18,3,0.2999025897222223,347,23000975
5,3,0,2,1,4,34,38,17,2,0.11609640388888888,348,23008894
11,4,4,3,6,5,57,15,27,4,0.42491144444444445,349,23016813
10,3,4,3,4,6,56,16,22,4,0.2731515672222222,350,23024732
6,5,1,0,2,4,33,39,21,4,0.14753398083333333,351,23032651
8,2,5,1,1,7,50,22,19,2,0.2982081654166666,352,23040570
7,2,2,3,2,5,38,34,13,3,0.19188390972222222,353,23048489
6,3,2,1,2,4,49,23,20,3,0.24595438583333332,354,23056408
6,4,2,0,2,4,44,28,26,2,0.3154331733333333,355,23064327
6,5,1,0,4,2,29,43,17,3,0.24285410708333333,356,23072246
5,3,2,0,1,4,44,28,5,2,0.17865932541666668,357,23080165
4,3,1,0,2,2,33,39,9,2,0.17053139722222221,358,23088084
3,2,1,0,1,2,37,35,0,1,0.22235920125,359,23096003
4,4,0,0,1,3,47,25,0,1,0.14926717597222222,360,23103922
7,1,3,3,2,5,51,21,6,2,0.16863592430555555,361,23111841
8,5,1,2,2,6,47,25,16,3,0.2677752061111111,362,23119760
7,6,1,0,2,5,55,17,35,3,0.2532710470833333,363,23127679
6,1,3,2,3,3,43,29,11,2,0.1807393302777778,364,23135598
5,3,0,2,1,4,34,38,14,3,0.1391436251388889,365,23143517
8,2,4,2,2,6,30,42,15,4,0.1697010022222222,366,23151436
8,7,1,0,3,5,64,8,31,3,0.40396433930555564,367,23159355
4,3,1,0,2,2,36,36,8,2,0.20019133916666665,368,23167274
7,5,2,0,3,4,59,13,14,2,0.31594862055555556,369,23175193
13,7,4,2,2,11,56,16,40,4,0.3298140561111111,370,23183112
11,5,5,1,6,5,49,23,21,4,0.23034754013888886,371,23191031
8,3,3,2,2,6,45,27,24,3,0.24269854694444445,372,23198950
6,4,2,0,5,1,34,38,14,2,0.2085195586111111,373,23206869
6,4,1,1,2,4,54,18,11,2,0.3524778641666667,374,23214788
3,2,0,1,2,1,42,30,12,2,0.10607353222222222,375,23222707
4,1,3,0,2,2,25,47,6,2,0.12235966833333332,376,23230626
7,2,2,3,3,4,53,19,18,2,0.22721764555555554,377,23238545
4,1,2,1,3,1,21,51,12,3,0.17881403361111112,378,23246464
6,3,3,0,1,5,52,20,13,3,0.26676642319444444,379,23254383
11,6,2,3,6,5,52,20,28,5,0.20850609291666666,380,23262302
7,2,3,2,0,7,44,28,8,2,0.24858283986111107,381,23270221
7,4,2,1,4,3,44,28,8,2,0.2634225604166667,382,23278140
10,7,1,2,4,6,64,8,21,3,0.3533035729166667,383,23286059
3,1,1,1,1,2,20,52,0,1,0.06579082777777777,384,23293978
7,1,4,2,3,4,50,22,19,3,0.2494316701388889,385,23301897
5,1,2,2,2,3,38,34,9,3,0.1598018744444444,386,23309816
2,2,0,0,2,0,22,50,0,1,0.09095260208333333,387,23317735
9,5,3,1,0,9,69,3,25,2,0.38422339916666665,388,23325654
5,3,1,1,3,2,46,26,7,3,0.18107652444444444,389,23333573
6,4,1,1,1,5,25,47,19,4,0.28300599708333335,390,23341492
5,3,1,1,2,3,33,39,9,2,0.13745049333333334,391,23349411
5,4,1,0,3,2,50,22,8,2,0.21681158777777776,392,23357330
5,1,1,3,3,2,32,40,15,3,0.1563236963888889,393,23365249
3,2,1,0,0,3,27,45,0,1,0.08785181708333334,394,23373168
7,5,1,1,3,4,48,24,17,4,0.27221317027777775,395,23381087
7,5,2,0,2,5,59,13,18,3,0.32194091208333336,396,23389006
