internal_transfer_id,transaction_datetime,currency,amount,sender_account_id,receiver_account_id,sender_transaction_id,receiver_transaction_id
IT0000000037,2021-01-06 11:17:37,UYU,15606.22,A0007191,A0011256,T0000000385,T0000000386
IT0000000038,2021-01-06 11:18:49,UYU,39773.66,A0007745,A0010259,T0000000387,T0000000388
IT0000000039,2021-01-06 11:56:14,UYU,10836.67,A0002755,A0002819,T0000000394,T0000000395
IT0000000040,2021-01-06 13:16:38,USD,2533.42,A0004186,A0002676,T0000000399,T0000000398
IT0000000041,2021-01-06 16:19:38,UYU,51966.14,A0002675,A0008892,T0000000422,T0000000423
IT0000000042,2021-01-06 16:24:00,USD,836.64,A0001732,A0002481,T0000000424,T0000000425
IT0000000043,2021-01-06 16:40:25,UYU,193270.39,A0002675,A0011888,T0000000432,T0000000433
IT0000000044,2021-01-06 17:29:40,USD,8032.12,A0002676,A0002346,T0000000437,T0000000436
IT0000000045,2021-01-06 23:31:44,USD,266.29,A0002481,A0002346,T0000000452,T0000000451
IT0000000046,2021-01-07 10:07:08,UYU,1590.03,A0001937,A0003106,T0000000469,T0000000470
IT0000000047,2021-01-07 11:12:01,UYU,16586.89,A0008325,A0010792,T0000000473,T0000000474
IT0000000048,2021-01-07 11:25:14,UYU,11707.83,A0011561,A0012107,T0000000475,T0000000476
IT0000000049,2021-01-07 11:56:22,UYU,48976.49,A0012171,A0008281,T0000000480,T0000000479
IT0000000050,2021-01-07 12:11:30,UYU,13077.61,A0009797,A0000807,T0000000483,T0000000482
IT0000000051,2021-01-07 13:25:55,USD,3543.37,A0002481,A0001887,T0000000490,T0000000489
IT0000000052,2021-01-07 16:05:12,UYU,4148.71,A0008332,A0001935,T0000000514,T0000000513
IT0000000053,2021-01-07 18:30:10,UYU,18474.55,A0009795,A0005790,T0000000525,T0000000524
IT0000000054,2021-01-07 20:04:56,UYU,4331.07,A0008325,A0001134,T0000000532,T0000000531
IT0000000055,2021-01-08 10:05:32,UYU,108720.29,A0002675,A0011888,T0000000556,T0000000557
IT0000000056,2021-01-08 11:05:47,UYU,8069.67,A0007745,A0009795,T0000000565,T0000000566
IT0000000057,2021-01-08 11:22:00,UYU,4471.24,A0002826,A0008330,T0000000570,T0000000571
IT0000000058,2021-01-08 11:44:05,UYU,4757.31,A0012361,A0005284,T0000000573,T0000000572
IT0000000059,2021-01-08 13:24:29,UYU,11255.77,A0002629,A0002755,T0000000583,T0000000584
IT0000000060,2021-01-08 13:37:00,UYU,2579.22,A0009610,A0002620,T0000000588,T0000000587
IT0000000061,2021-01-08 14:04:45,UYU,795.54,A0002627,A0005179,T0000000594,T0000000595
IT0000000062,2021-01-08 15:08:18,UYU,1906.02,A0007763,A0012394,T0000000607,T0000000608
IT0000000063,2021-01-08 16:07:39,UYU,4634.85,A0002622,A0011889,T0000000619,T0000000620
IT0000000064,2021-01-08 22:20:48,UYU,774.99,A0005284,A0002055,T0000000643,T0000000642
IT0000000065,2021-01-09 14:56:40,UYU,19712.75,A0006611,A0001885,T0000000656,T0000000655
IT0000000066,2021-01-09 15:08:23,UYU,6654.85,A0001485,A0007763,T0000000657,T0000000658
IT0000000067,2021-01-09 18:10:28,UYU,2387.9,A0002819,A0005790,T0000000667,T0000000668
IT0000000068,2021-01-09 21:29:36,UYU,16612.38,A0011094,A0012172,T0000000677,T0000000678
IT0000000069,2021-01-10 09:41:16,UYU,4041.4,A0003106,A0012394,T0000000693,T0000000694
IT0000000070,2021-01-10 17:15:58,UYU,15441.35,A0000896,A0010278,T0000000713,T0000000714
IT0000000071,2021-01-10 19:34:55,UYU,11587.82,A0001337,A0008327,T0000000722,T0000000723
IT0000000072,2021-01-10 22:50:00,UYU,19504.21,A0003347,A0008281,T0000000728,T0000000729
IT0000000073,2021-01-11 12:32:37,USD,32173.55,A0002481,A0012522,T0000000751,T0000000752
IT0000000074,2021-01-11 12:34:44,UYU,2907.34,A0002622,A0003388,T0000000753,T0000000754
IT0000000075,2021-01-11 14:47:49,UYU,1862.63,A0002072,A0011464,T0000000771,T0000000772
IT0000000076,2021-01-11 15:09:06,UYU,2536.47,A0002055,A0001885,T0000000777,T0000000776
IT0000000077,2021-01-11 19:21:53,UYU,31036.06,A0009797,A0008331,T0000000791,T0000000790
IT0000000078,2021-01-12 10:10:13,UYU,31888.2,A0008892,A0007633,T0000000820,T0000000819
IT0000000079,2021-01-12 12:07:54,UYU,7578.57,A0000995,A0005367,T0000000832,T0000000833
IT0000000080,2021-01-12 12:23:06,UYU,508391.84,A0002675,A0003781,T0000000834,T0000000835
IT0000000081,2021-01-12 13:56:22,USD,24.35,A0002481,A0000326,T0000000848,T0000000847
IT0000000082,2021-01-12 16:46:27,UYU,12141.32,A0008005,A0011886,T0000000867,T0000000868
IT0000000083,2021-01-12 17:27:06,UYU,2566.98,A0000303,A0012394,T0000000869,T0000000870
IT0000000084,2021-01-12 17:31:57,UYU,9327.45,A0006611,A0001921,T0000000872,T0000000871
IT0000000085,2021-01-12 18:19:12,UYU,129226.21,A0000896,A0002675,T0000000873,T0000000874
IT0000000086,2021-01-13 05:52:38,UYU,2411.51,A0000509,A0003782,T0000000889,T0000000890
IT0000000087,2021-01-13 12:46:21,USD,86.71,A0003555,A0011558,T0000000907,T0000000908
IT0000000088,2021-01-13 14:09:27,UYU,1404.78,A0008004,A0002629,T0000000915,T0000000914
IT0000000089,2021-01-13 23:04:10,UYU,23561.94,A0000807,A0008281,T0000000937,T0000000938
IT0000000090,2021-01-13 23:14:24,USD,9903.77,A0003065,A0002481,T0000000940,T0000000939
IT0000000091,2021-01-14 11:34:07,UYU,363139.36,A0005179,A0002675,T0000000961,T0000000960
IT0000000092,2021-01-14 12:01:02,USD,1019.54,A0002676,A0007206,T0000000962,T0000000963
IT0000000093,2021-01-14 12:55:42,USD,29962.56,A0002346,A0002481,T0000000967,T0000000968
IT0000000094,2021-01-14 14:04:56,UYU,8283.86,A0007191,A0003106,T0000000978,T0000000977
IT0000000095,2021-01-14 15:36:36,UYU,17237.47,A0001485,A0012172,T0000000984,T0000000985
IT0000000096,2021-01-14 16:10:41,UYU,213096.66,A0002675,A0010381,T0000000992,T0000000993
IT0000000097,2021-01-14 16:18:03,UYU,28653.45,A0011889,A0002755,T0000000997,T0000000996
IT0000000098,2021-01-14 16:43:08,UYU,21083.28,A0002072,A0002755,T0000000999,T0000001000
IT0000000099,2021-01-14 16:56:23,UYU,8285.49,A0008372,A0011256,T0000001004,T0000001005
IT0000000100,2021-01-15 07:20:28,UYU,4467.01,A0008005,A0010259,T0000001024,T0000001025
IT0000000101,2021-01-15 09:32:53,UYU,7955.92,A0003010,A0002826,T0000001028,T0000001027
IT0000000102,2021-01-15 10:57:52,USD,121.16,A0012522,A0008370,T0000001036,T0000001035
IT0000000103,2021-01-15 16:12:50,UYU,296246.11,A0002675,A0002622,T0000001079,T0000001078
IT0000000104,2021-01-15 16:33:41,USD,292.74,A0008249,A0000220,T0000001084,T0000001083
IT0000000105,2021-01-15 18:10:13,UYU,8434.46,A0007912,A0012107,T0000001088,T0000001089
IT0000000106,2021-01-15 19:03:33,UYU,894.32,A0000819,A0011464,T0000001090,T0000001091
IT0000000107,2021-01-16 14:00:45,UYU,6913.24,A0002055,A0007769,T0000001121,T0000001122
IT0000000108,2021-01-16 15:05:43,UYU,1371.93,A0011561,A0000995,T0000001126,T0000001125
IT0000000109,2021-01-16 18:54:09,UYU,679.0,A0011868,A0011718,T0000001148,T0000001147
IT0000000110,2021-01-17 15:08:54,UYU,18744.43,A0009795,A0011889,T0000001175,T0000001176
IT0000000111,2021-01-17 15:19:31,UYU,3960.64,A0004157,A0005770,T0000001179,T0000001180
IT0000000112,2021-01-17 19:55:18,UYU,4043.48,A0007072,A0009609,T0000001193,T0000001194
IT0000000113,2021-01-18 11:28:00,USD,13835.76,A0002481,A0001936,T0000001223,T0000001222
IT0000000114,2021-01-18 11:56:01,UYU,782.93,A0003888,A0001134,T0000001228,T0000001227
IT0000000115,2021-01-18 12:51:03,UYU,5632.09,A0004157,A0012171,T0000001234,T0000001235
IT0000000116,2021-01-18 13:22:59,USD,1324.74,A0002628,A0002676,T0000001237,T0000001238
IT0000000117,2021-01-18 14:05:27,UYU,2617.1,A0005367,A0008554,T0000001242,T0000001243
IT0000000118,2021-01-18 15:58:23,USD,385.62,A0003065,A0008371,T0000001254,T0000001255
IT0000000119,2021-01-18 16:10:32,USD,9334.61,A0002073,A0012668,T0000001256,T0000001257
IT0000000120,2021-01-18 18:50:24,UYU,328457.78,A0002675,A0002755,T0000001270,T0000001271
IT0000000121,2021-01-19 06:43:47,UYU,5216.74,A0008331,A0009797,T0000001287,T0000001288
IT0000000122,2021-01-19 08:24:33,USD,95.69,A0010279,A0007360,T0000001291,T0000001290
IT0000000123,2021-01-19 11:44:48,USD,35998.13,A0002481,A0007739,T0000001300,T0000001301
IT0000000124,2021-01-19 11:55:46,UYU,6302.44,A0012171,A0010381,T0000001304,T0000001303
IT0000000125,2021-01-19 14:41:19,USD,21796.26,A0002481,A0000323,T0000001325,T0000001324
IT0000000126,2021-01-19 14:56:16,UYU,3929.47,A0007763,A0005790,T0000001330,T0000001329
IT0000000127,2021-01-19 15:41:12,UYU,3000.31,A0011888,A0000819,T0000001336,T0000001335
IT0000000128,2021-01-19 16:11:36,USD,220.71,A0002481,A0001732,T0000001340,T0000001339
IT0000000129,2021-01-19 17:55:29,USD,5253.2,A0007914,A0002481,T0000001352,T0000001351
IT0000000130,2021-01-19 20:53:15,UYU,2421.1,A0007763,A0007633,T0000001357,T0000001356
IT0000000131,2021-01-19 22:01:16,UYU,7296.89,A0011464,A0011256,T0000001361,T0000001360
IT0000000132,2021-01-20 10:18:52,UYU,828.3,A0006927,A0003010,T0000001377,T0000001376
IT0000000133,2021-01-20 11:00:29,USD,303.65,A0000323,A0001936,T0000001380,T0000001381
IT0000000134,2021-01-20 11:48:59,USD,18317.86,A0012109,A0002481,T0000001385,T0000001384
IT0000000135,2021-01-20 12:45:31,UYU,199781.36,A0008326,A0002072,T0000001392,T0000001391
IT0000000136,2021-01-20 12:46:55,UYU,3992.66,A0009797,A0009985,T0000001393,T0000001394
IT0000000137,2021-01-20 12:54:18,UYU,6422.85,A0008372,A0002620,T0000001396,T0000001395
IT0000000138,2021-01-20 13:58:43,USD,1484.96,A0002676,A0006925,T0000001400,T0000001401
IT0000000139,2021-01-20 16:20:59,UYU,6459.25,A0002819,A0009797,T0000001413,T0000001414
IT0000000140,2021-01-20 18:23:56,UYU,10089.43,A0005087,A0001921,T0000001423,T0000001422
IT0000000141,2021-01-21 15:03:15,USD,63.05,A0002073,A0008249,T0000001472,T0000001473
IT0000000142,2021-01-21 19:04:00,UYU,12212.94,A0009610,A0011094,T0000001491,T0000001492
IT0000000143,2021-01-22 11:42:29,UYU,3564.35,A0002620,A0002675,T0000001521,T0000001522
IT0000000144,2021-01-22 12:15:52,USD,8178.79,A0002073,A0000323,T0000001531,T0000001530
IT0000000145,2021-01-22 12:33:58,UYU,8629.73,A0007763,A0012172,T0000001534,T0000001535
IT0000000146,2021-01-22 12:45:28,UYU,5656.47,A0005367,A0011464,T0000001537,T0000001538
IT0000000147,2021-01-22 12:47:25,UYU,8341.67,A0011465,A0003388,T0000001540,T0000001539
IT0000000148,2021-01-22 13:20:16,UYU,26183.77,A0007745,A0002622,T0000001551,T0000001550
IT0000000149,2021-01-22 13:20:28,USD,2819.45,A0002676,A0010279,T0000001552,T0000001553
IT0000000150,2021-01-22 14:19:46,UYU,61462.23,A0002826,A0011256,T0000001560,T0000001561
IT0000000151,2021-01-22 14:51:12,UYU,6771.64,A0001485,A0002819,T0000001564,T0000001565
IT0000000152,2021-01-23 10:33:41,UYU,8806.69,A0008005,A0012107,T0000001600,T0000001601
IT0000000153,2021-01-23 13:17:10,UYU,26521.5,A0007633,A0010228,T0000001607,T0000001608
IT0000000154,2021-01-23 14:03:11,UYU,46350.8,A0001885,A0002675,T0000001611,T0000001612
IT0000000155,2021-01-23 16:04:54,UYU,9304.67,A0002755,A0000896,T0000001624,T0000001623
IT0000000156,2021-01-23 18:48:47,UYU,33248.02,A0011718,A0012172,T0000001630,T0000001631
IT0000000157,2021-01-24 14:24:50,USD,6394.94,A0002676,A0007360,T0000001650,T0000001651
IT0000000158,2021-01-24 14:46:08,UYU,5141.7,A0001937,A0011256,T0000001652,T0000001653
IT0000000159,2021-01-24 18:28:42,UYU,7807.27,A0008004,A0001485,T0000001667,T0000001666
IT0000000160,2021-01-24 20:59:16,UYU,1176.89,A0000303,A0004157,T0000001673,T0000001674
IT0000000161,2021-01-25 08:06:08,UYU,37296.76,A0011809,A0006780,T0000001685,T0000001684
IT0000000162,2021-01-25 11:00:08,UYU,11557.34,A0003782,A0011256,T0000001700,T0000001701
IT0000000163,2021-01-25 11:17:50,UYU,827051.53,A0002072,A0011809,T0000001704,T0000001705
IT0000000164,2021-01-25 11:31:37,UYU,11052.26,A0008325,A0003388,T0000001708,T0000001707
IT0000000165,2021-01-25 14:26:34,UYU,212515.8,A0002675,A0002627,T0000001723,T0000001722
IT0000000166,2021-01-26 08:31:05,UYU,16259.65,A0008004,A0012107,T0000001768,T0000001769
IT0000000167,2021-01-26 10:30:50,UYU,4709.82,A0001485,A0002623,T0000001777,T0000001778
IT0000000168,2021-01-26 12:00:28,UYU,1945.89,A0002622,A0007072,T0000001781,T0000001782
IT0000000169,2021-01-26 15:19:29,UYU,412225.48,A0002675,A0008554,T0000001799,T0000001800
IT0000000170,2021-01-26 16:05:00,UYU,16162.39,A0011807,A0007190,T0000001802,T0000001801
IT0000000171,2021-01-26 16:31:22,UYU,24897.3,A0011888,A0007190,T0000001804,T0000001803
IT0000000172,2021-01-26 17:09:18,UYU,22509.7,A0010228,A0009610,T0000001808,T0000001807
IT0000000173,2021-01-26 17:38:59,UYU,15035.99,A0009609,A0010228,T0000001810,T0000001811
IT0000000174,2021-01-26 23:03:36,UYU,14925.0,A0011888,A0001921,T0000001819,T0000001818
IT0000000175,2021-01-26 23:08:34,USD,1511.43,A0011255,A0011466,T0000001820,T0000001821
IT0000000176,2021-01-27 06:20:42,USD,1497.62,A0002676,A0011466,T0000001827,T0000001828
IT0000000177,2021-01-27 09:21:06,UYU,2699.45,A0011886,A0007767,T0000001834,T0000001833
IT0000000178,2021-01-27 12:40:22,USD,29165.99,A0002481,A0002630,T0000001849,T0000001850
IT0000000179,2021-01-27 12:52:04,UYU,3119.33,A0011889,A0000995,T0000001855,T0000001854
IT0000000180,2021-01-28 08:25:40,UYU,8875.56,A0011890,A0009797,T0000001888,T0000001887
IT0000000181,2021-01-28 15:22:35,UYU,36804.17,A0003713,A0007884,T0000001913,T0000001914
IT0000000182,2021-01-28 16:27:51,UYU,13223.33,A0009985,A0008666,T0000001920,T0000001919
IT0000000183,2021-01-29 11:26:22,UYU,45375.38,A0000324,A0005284,T0000001957,T0000001958
IT0000000184,2021-01-29 14:19:59,UYU,1382.82,A0008326,A0008005,T0000001984,T0000001983
IT0000000185,2021-01-29 15:29:01,UYU,6122.75,A0000819,A0011718,T0000001992,T0000001993
IT0000000186,2021-01-29 16:19:16,UYU,8340.16,A0012519,A0002819,T0000002005,T0000002004
IT0000000187,2021-01-29 16:37:24,UYU,3963.25,A0009609,A0002055,T0000002010,T0000002009
IT0000000188,2021-01-29 17:02:38,UYU,11644.12,A0011868,A0009609,T0000002014,T0000002013
IT0000000189,2021-01-29 21:05:03,UYU,1523.33,A0000509,A0000896,T0000002025,T0000002026
IT0000000190,2021-01-30 13:38:05,UYU,10624.86,A0002629,A0008326,T0000002042,T0000002043
IT0000000191,2021-01-30 18:20:16,UYU,5043.92,A0003782,A0005285,T0000002056,T0000002057
IT0000000192,2021-01-30 19:23:41,UYU,24515.29,A0009609,A0007763,T0000002065,T0000002064
IT0000000193,2021-01-30 19:29:27,USD,37048.31,A0004186,A0002481,T0000002068,T0000002067
IT0000000194,2021-01-30 20:23:01,UYU,7804.66,A0010259,A0003888,T0000002070,T0000002069
IT0000000195,2021-01-30 22:06:01,UYU,673.18,A0003888,A0007885,T0000002071,T0000002072
IT0000000196,2021-01-31 05:31:10,UYU,3895.04,A0000509,A0002072,T0000002079,T0000002080
IT0000000197,2021-01-31 12:07:01,USD,133.89,A0008370,A0011549,T0000002088,T0000002089
IT0000000198,2021-01-31 15:45:00,UYU,167786.58,A0008330,A0012173,T0000002105,T0000002106
IT0000000199,2021-01-31 18:27:25,UYU,3517.73,A0007072,A0008281,T0000002117,T0000002118
IT0000000200,2021-01-31 20:10:44,UYU,2972.67,A0001921,A0003888,T0000002125,T0000002126
IT0000000201,2021-02-01 09:05:01,UYU,3209.43,A0008634,A0009949,T0000002131,T0000002132
IT0000000202,2021-02-01 15:23:53,UYU,2464.11,A0002055,A0001935,T0000002165,T0000002164
IT0000000203,2021-02-01 16:29:33,UYU,6702.51,A0007884,A0008634,T0000002169,T0000002170
IT0000000204,2021-02-01 16:46:57,UYU,5680.74,A0009609,A0007745,T0000002173,T0000002172
IT0000000205,2021-02-01 17:41:57,UYU,4954.99,A0008665,A0001885,T0000002182,T0000002181
IT0000000206,2021-02-01 18:15:36,UYU,5639.0,A0002620,A0012520,T0000002185,T0000002186
IT0000000207,2021-02-01 18:56:19,UYU,11338.93,A0000807,A0007634,T0000002190,T0000002191
IT0000000208,2021-02-01 22:06:31,UYU,6461.94,A0001485,A0001885,T0000002200,T0000002201
IT0000000209,2021-02-01 23:14:52,USD,60.35,A0002676,A0008249,T0000002203,T0000002204
IT0000000210,2021-02-02 14:18:45,UYU,22965.98,A0012171,A0001937,T0000002234,T0000002233
IT0000000211,2021-02-02 15:32:27,USD,1787.02,A0008371,A0003714,T0000002246,T0000002245
IT0000000212,2021-02-02 17:03:51,UYU,3880.34,A0007072,A0001309,T0000002258,T0000002257
IT0000000213,2021-02-02 17:10:47,UYU,3499.52,A0008554,A0008634,T0000002260,T0000002261
IT0000000214,2021-02-02 17:37:57,UYU,2152.39,A0005179,A0004156,T0000002267,T0000002266
IT0000000215,2021-02-02 22:13:26,UYU,12463.9,A0008666,A0008004,T0000002278,T0000002277
IT0000000216,2021-02-02 23:30:18,UYU,2215.45,A0002623,A0012897,T0000002281,T0000002282
IT0000000217,2021-02-03 06:46:12,UYU,43426.71,A0009985,A0003388,T0000002288,T0000002287
IT0000000218,2021-02-03 06:53:05,USD,664.55,A0009443,A0003065,T0000002290,T0000002289
IT0000000219,2021-02-03 07:20:08,UYU,4263.22,A0000807,A0001935,T0000002292,T0000002293
IT0000000220,2021-02-03 07:24:45,UYU,22417.11,A0007745,A0001309,T0000002296,T0000002295
IT0000000221,2021-02-03 10:40:55,UYU,9357.52,A0008325,A0007191,T0000002305,T0000002304
IT0000000222,2021-02-03 17:48:41,UYU,2768.41,A0009949,A0008666,T0000002341,T0000002340
IT0000000223,2021-02-04 10:03:07,UYU,1864.28,A0011561,A0008281,T0000002373,T0000002372
IT0000000224,2021-02-04 12:27:03,UYU,6352.23,A0011095,A0003347,T0000002385,T0000002384
IT0000000225,2021-02-04 12:45:07,UYU,9830.24,A0000509,A0005177,T0000002387,T0000002388
IT0000000226,2021-02-04 13:00:27,USD,148.13,A0002835,A0003065,T0000002392,T0000002393
IT0000000227,2021-02-04 15:25:26,UYU,3968.55,A0007190,A0007767,T0000002405,T0000002406
IT0000000228,2021-02-04 20:31:15,UYU,8970.9,A0011095,A0008281,T0000002427,T0000002426
IT0000000229,2021-02-05 09:56:18,UYU,14317.39,A0001309,A0008554,T0000002449,T0000002450
IT0000000230,2021-02-05 11:54:34,USD,26046.1,A0002481,A0002676,T0000002471,T0000002472
IT0000000231,2021-02-05 12:17:22,UYU,4942.03,A0006928,A0012172,T0000002478,T0000002479
IT0000000232,2021-02-05 12:38:52,UYU,18248.18,A0002622,A0003347,T0000002481,T0000002482
IT0000000233,2021-02-05 12:44:18,UYU,116.6,A0002620,A0007763,T0000002483,T0000002484
IT0000000234,2021-02-05 13:23:04,UYU,139223.99,A0002755,A0008634,T0000002488,T0000002489
IT0000000235,2021-02-05 13:45:35,UYU,1558.68,A0001337,A0006926,T0000002493,T0000002494
IT0000000236,2021-02-05 14:38:14,UYU,11711.74,A0003388,A0007763,T0000002501,T0000002502
IT0000000237,2021-02-05 15:13:46,UYU,3674.07,A0007191,A0011465,T0000002506,T0000002507
IT0000000238,2021-02-05 16:41:55,UYU,4785.48,A0011808,A0000807,T0000002516,T0000002515
IT0000000239,2021-02-05 17:45:30,USD,1766.71,A0002481,A0012521,T0000002520,T0000002521
IT0000000240,2021-02-05 17:45:59,UYU,19274.3,A0000896,A0005284,T0000002522,T0000002523
IT0000000241,2021-02-06 08:47:06,UYU,1878.22,A0007884,A0005820,T0000002548,T0000002547
IT0000000242,2021-02-06 09:13:15,UYU,1175.49,A0012172,A0005950,T0000002550,T0000002549
IT0000000243,2021-02-06 11:38:37,UYU,23261.54,A0002826,A0003389,T0000002551,T0000002552
IT0000000244,2021-02-06 16:04:40,UYU,9571.61,A0009797,A0003389,T0000002565,T0000002564
IT0000000245,2021-02-06 17:17:49,UYU,961.4,A0008372,A0007072,T0000002572,T0000002571
IT0000000246,2021-02-06 18:07:55,UYU,3348.55,A0007633,A0008634,T0000002575,T0000002576
IT0000000247,2021-02-06 20:03:47,UYU,6273.46,A0007633,A0011256,T0000002579,T0000002580
IT0000000248,2021-02-06 23:37:19,UYU,9425.47,A0011561,A0001337,T0000002588,T0000002587
IT0000000249,2021-02-06 23:45:32,UYU,12816.95,A0006780,A0010278,T0000002589,T0000002590
IT0000000250,2021-02-07 12:04:11,UYU,17235.75,A0002620,A0007885,T0000002599,T0000002600
IT0000000251,2021-02-07 13:22:21,UYU,25619.3,A0011561,A0002675,T0000002606,T0000002605
IT0000000252,2021-02-07 14:00:35,UYU,1751.18,A0012897,A0000509,T0000002609,T0000002608
IT0000000253,2021-02-07 14:09:00,UYU,32338.01,A0008281,A0002622,T0000002611,T0000002610
IT0000000254,2021-02-07 16:18:00,UYU,24200.64,A0012171,A0003781,T0000002616,T0000002615
IT0000000255,2021-02-07 17:19:25,UYU,5303.6,A0011808,A0005790,T0000002623,T0000002622
IT0000000256,2021-02-07 17:29:43,UYU,6263.18,A0011888,A0008892,T0000002625,T0000002624
IT0000000257,2021-02-08 05:16:00,UYU,9655.49,A0001935,A0011888,T0000002648,T0000002649
IT0000000258,2021-02-08 10:06:21,UYU,11702.24,A0007205,A0000325,T0000002654,T0000002653
IT0000000259,2021-02-08 11:36:25,USD,191.83,A0002346,A0009443,T0000002661,T0000002662
IT0000000260,2021-02-08 13:19:01,UYU,3292.15,A0007763,A0007072,T0000002671,T0000002670
IT0000000261,2021-02-08 18:42:43,UYU,351.32,A0002675,A0006611,T0000002688,T0000002689
IT0000000262,2021-02-08 19:24:43,UYU,13403.38,A0011561,A0012897,T0000002692,T0000002693
IT0000000263,2021-02-08 20:35:17,UYU,4123.11,A0008326,A0002629,T0000002698,T0000002697
IT0000000264,2021-02-08 20:55:20,UYU,49380.45,A0011561,A0003782,T0000002701,T0000002700
IT0000000265,2021-02-08 23:02:07,UYU,4261.94,A0008327,A0011888,T0000002705,T0000002706
IT0000000266,2021-02-08 23:41:53,UYU,1075.78,A0003713,A0001937,T0000002711,T0000002710
IT0000000267,2021-02-09 09:11:48,UYU,156303.7,A0010228,A0003713,T0000002722,T0000002721
IT0000000268,2021-02-09 09:32:42,USD,58.87,A0003714,A0011552,T0000002724,T0000002725
IT0000000269,2021-02-09 10:46:03,UYU,2766.49,A0005950,A0009949,T0000002728,T0000002729
IT0000000270,2021-02-09 12:26:31,UYU,5507.41,A0008554,A0005179,T0000002738,T0000002737
IT0000000271,2021-02-09 13:08:23,UYU,599.65,A0012897,A0001921,T0000002742,T0000002741
IT0000000272,2021-02-09 14:06:50,USD,3962.13,A0002346,A0002676,T0000002746,T0000002747
IT0000000273,2021-02-10 09:33:07,UYU,949.66,A0003389,A0008554,T0000002793,T0000002794
