year_month,active_customers,active_accounts,average_deposits,average_loan_balance,transaction_count,transaction_volume,branch_transaction_count,interest_income,interest_expense,net_interest_income,fee_income,total_revenue,personnel_cost,fixed_cost,variable_cost,operational_cost,total_operating_cost,credit_loss,pre_provision_profit,net_income
2024-10,5456,9773,20135979585.47,15627036242.98,98658,8900919194.33,18558,138789786.93,11392788.52,127396998.38,8059284.91,135456283.33,51241121.62,16963102.98,10975932.77,11947463.63,91127621.0,11806760.71,44328662.36,32521901.64
2024-11,5480,9804,20512456104.81,15752908280.15,98659,8300720303.67,17865,137295043.98,11442993.53,125852050.46,8071007.2,133923057.65,51528455.03,17019309.44,10990360.54,12007622.51,91545747.51,40808629.15,42377310.13,1568680.97
2024-12,5504,9847,20912393773.08,15867057253.76,109410,9294721872.57,20333,137655002.12,11537456.48,126117545.62,8358258.16,134475803.79,51815788.44,17075515.89,11860237.26,12067781.46,92819323.0,18961336.43,41656480.82,22695144.45
2025-01,5544,9894,21473516568.6,16071748321.54,94811,8823248727.2,17610,139614030.46,10751273.01,128862757.43,8612080.52,137474837.95,52099523.24,17129021.23,10840160.5,12104073.44,92172778.32,284319.33,45302059.67,45017740.29
2025-02,5601,9957,22187536905.18,16137673344.77,99977,9231541714.65,18320,141380793.58,10909207.0,130471586.59,8676944.63,139148531.2,52354913.06,17185218.82,11226031.74,12158535.96,92924699.54,-14748370.25,46223831.64,60972201.92
2025-03,5643,10011,22780424782.03,16255632314.89,101218,10085300685.15,18326,142633681.49,11027650.42,131606031.06,8780795.74,140386826.79,52610302.84,17241416.35,11326066.72,12212998.47,93390784.44,9210698.98,46996042.4,37785343.38
2025-04,5680,10062,22889667396.53,16510119557.92,101871,9563802576.81,18398,145590876.54,11088807.31,134502069.2,8821311.41,143323380.61,52865692.69,17297613.98,11417450.6,12267461.02,93848218.23,-2135172.58,49475162.39,51610334.91
2025-05,5714,10115,22989217128.71,16662748262.43,102353,10687784593.35,18361,147205685.7,11133380.37,136072305.34,8814781.5,144887086.88,53121082.52,17353811.5,11508695.15,12321923.57,94305512.73,10184356.32,50581574.14,40397217.8
2025-06,5747,10176,23208519075.77,16796585151.84,101444,9283329055.32,18255,148162745.24,11168629.5,136994115.66,8790342.94,145784458.65,53376472.32,17410009.11,11531555.47,12376386.09,94694422.96,21750810.85,51090035.66,29339224.8
2025-07,5776,10211,23690651790.02,16854439937.27,104216,10685327478.81,18616,148518132.74,11292226.5,137225906.23,8876871.61,146102777.79,53631862.14,17466206.69,11775652.95,12430848.6,95304570.41,6264523.74,50798207.44,44533683.68
2025-08,5804,10244,24184612558.26,16890102390.25,104696,9503318278.71,18493,148802070.57,11448681.94,137353388.67,8897044.49,146250433.1,53887251.96,17522404.25,11839321.75,12485311.15,95734289.09,4237763.49,50516144.0,46278380.51
2025-09,5822,10268,24456819722.38,16966961112.13,104690,9589494694.61,18536,147741804.56,11422163.27,136319641.29,8851747.19,145171388.45,54142641.78,17578601.82,11874143.13,12539773.69,96135160.45,30677399.07,49036228.02,18358828.97
2025-10,5839,10295,24865554550.12,16962473512.57,104181,10387872470.72,18246,144060308.31,11273231.3,132787076.99,9022395.12,141809472.1,54398031.6,17634799.4,11912171.21,12594236.21,96539238.43,48243199.9,45270233.71,-2972966.27
2025-11,5852,10353,25669583136.35,17034815374.74,104274,11670245683.28,18286,142775649.12,11811408.3,130964240.81,8934470.81,139898711.61,54653421.42,17690996.95,11952023.78,12648698.74,96945140.94,31437872.47,42953570.66,11515698.2
2025-12,5867,10400,26461272353.08,17259766094.77,116673,11974781370.47,20263,143468606.44,12492716.26,130975890.15,9271246.57,140247136.71,54908811.26,17747194.54,12918128.07,12703161.27,98277295.13,32959673.9,41969841.6,9010167.68
2026-01,5917,10482,27116272450.83,17579236709.1,105105,11372177054.97,18218,143103112.41,12133111.21,130970001.25,9498375.83,140468377.07,55376302.82,17944861.23,12209770.52,13098726.77,98629661.36,47299419.31,41838715.69,-5460703.64
2026-02,5997,10564,27730682452.38,17503932691.7,110063,11523454108.73,19033,144047905.45,12231836.5,131816068.95,9680519.24,141496588.21,55376302.82,17944861.23,12598272.45,13098726.77,99018163.24,2507359.72,42478424.94,39971065.23
2026-03,6068,10645,28464312288.46,17567109645.95,109814,12922817386.46,18992,145316155.83,12306236.9,133009918.93,9759716.21,142769635.11,55376302.82,17944861.23,12572933.73,13098726.77,98992824.56,21844806.99,43776810.58,21932003.56
2026-04,6147,10719,29360351252.22,17556465831.36,111623,13040693897.56,19012,146531188.23,12448829.84,134082358.44,9730343.52,143812701.94,55376302.82,17944861.23,12650490.7,13098726.77,99070381.5,13348604.48,44742320.42,31393715.94
2026-05,6198,10803,29491512300.6,17428136441.73,113171,13245512307.86,19333,144993049.39,11955629.8,133037419.58,9901508.99,142938928.58,55376302.82,17944861.23,12780799.15,13098726.77,99200689.97,38172793.09,43738238.62,5565445.5
2026-06,6267,10891,29024426823.01,17399513050.08,115360,10594566197.34,19661,144123768.24,11399081.82,132724686.44,9766603.84,142491290.26,55376302.82,17944861.23,12939180.88,13098726.77,99359071.71,30337279.53,43132218.58,12794939.01
2026-07,6319,10948,29303416433.92,17378060533.65,114922,10783165179.13,19304,141826073.67,11484732.62,130341341.05,9809586.7,140150927.72,55376302.82,17944861.23,12899417.14,13098726.77,99319307.94,63149258.56,40831619.85,-22317638.72
2026-08,6374,11009,29735361900.03,17279924664.84,114583,11951500135.97,19323,135770377.01,11585452.3,124184924.67,9859324.77,134044249.42,55376302.82,17944861.23,12877709.14,13098726.77,99297599.95,101681202.15,34746649.48,-66934552.67
2026-09,6442,11085,30007988636.46,17037963291.01,116326,10285965571.43,19351,129968249.45,11657663.95,118310585.53,9692996.02,128003581.57,55376302.82,17944861.23,12867775.93,13098726.77,99287666.75,87800330.24,28715914.79,-59084415.44
2026-10,6497,11139,30055544729.27,16834787929.18,115566,10718356840.97,19005,125726515.01,11659495.77,114067019.28,9761015.1,123828034.34,55376302.82,17944861.23,12833033.6,13098726.77,99252924.43,68493854.34,24575109.95,-43918744.41
2026-11,6535,11208,30285699109.32,16543707998.11,118530,12379910563.49,19779,126323819.28,11707487.45,114616331.85,9901279.73,124517611.56,55376302.82,17944861.23,13092917.37,13098726.77,99512808.21,-16666726.83,25004803.35,41671530.19
2026-12,6559,11256,30616389784.1,15934616512.19,130431,15142917249.67,21323,162780990.86,11698062.8,151082928.06,10240721.13,161323649.25,55376302.82,17944861.23,13837438.63,13098726.77,100257329.44,-583692972.15,61066319.77,644759291.96
