loan_id,origination_month_internal,lifecycle_seed,resolution_month_internal,terminal_event_internal,pre2021_inherited_state
L0000076,2026-08,700076,2026-08,EARLY_PREPAYMENT,CURRENT
L0000077,2017-07,700077,2017-12,FACILITY_EXPIRY,CURRENT
L0000078,2022-07,700078,2024-08,SCHEDULED_MATURITY,CURRENT
L0000079,2025-03,700079,2025-03,EARLY_PREPAYMENT,CURRENT
L0000080,2025-01,700080,2026-04,EARLY_PREPAYMENT,CURRENT
L0000081,2026-10,700081,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000082,2025-08,700082,,OPEN_SEVERE_AT_CUTOFF,CURRENT
L0000083,2024-08,700083,2025-12,EARLY_PREPAYMENT,CURRENT
L0000084,2026-04,700084,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000085,2019-02,700085,2023-07,SCHEDULED_MATURITY,CURRENT
L0000086,2022-05,700086,2026-09,SEVERE_RECOGNIZED_AT_CUTOFF,CURRENT
